,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Glee's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
104,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tomboy: The Surprising History and Future of Girls Who Dare to Be Different,"Davis, Lisa Selin*",0316458317,9780316458313,0316458317,336        pp,3.68,474,"Aug 11, 2020","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't know if this is a 1-star, 3-star, or 5-star book, but I don't want to punish it only because it turns out I'm not interested in it, and therefI don't know if this is a 1-star, 3-star, or 5-star book, but I don't want to punish it only because it turns out I'm not interested in it, and therefore didn't finish it. I was hoping for a little nostalgia about my very tomboyish childhood, but this is a much more academic exploration of gender identities and current cultural labeling. I just liked to ride bikes and horses as a girl, and had no use for dolls or dresses, and I was hoping to wallow in fond memories.This isn't that book....more",Notes are private!,0,1,1,not set,"Nov 28, 2020","Nov 28, 2020",,Hardcover,view (with text),/book/show/50176600-tomboy
105,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dutch House,"Patchett, Ann",0062963678,9780062963673,0062963678,337        pp,4.10,"446,718","Sep 24, 2019","Sep 24, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"About a house that wasn't a home, a family that wasn't intact, and lives lived in search of both. This is up there with Bel Canto - it transported me About a house that wasn't a home, a family that wasn't intact, and lives lived in search of both. This is up there with Bel Canto - it transported me in the same way. That writing.And a beautiful story about lives lived-one that makes you cry in a good way, not because of sadness or happiness, but because of completeness. Highly recommend....more",Notes are private!,0,1,1,not set,"Nov 26, 2020","Nov 26, 2020",,Hardcover,view (with text),/book/show/44318414-the-dutch-house
106,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dovekeepers,"Hoffman, Alice*",145161747X,9781451617474,B0068EO6HK,504        pp,4.06,"76,746","Oct 04, 2011","Oct 04, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF. Just dragging. I made myself happy by reading up on the Siege of Masada, and I'm calling it a day. I dislike too much immersion in misogynistic eDNF. Just dragging. I made myself happy by reading up on the Siege of Masada, and I'm calling it a day. I dislike too much immersion in misogynistic experiences, maybe especially in the name of religion. It just seems like torture, so I don't want to go on. It is a compelling story of survival, but in these days that's not enough....more",Notes are private!,0,1,1,"Nov 17, 2020","Nov 17, 2020","Nov 17, 2020",,Hardcover,view (with text),/book/show/10950924-the-dovekeepers
107,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",,,,213        pp,4.26,"245,132","Jul 16, 2019","Jul 16, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really wanted to like this book more than I did. It had its moments, especially the twist at the end. But I really couldn't connect to the characterI really wanted to like this book more than I did. It had its moments, especially the twist at the end. But I really couldn't connect to the characters in the book. I'm sure it has to be partly because I share neither gender or color with the main protagonist, but I have made the connection in other books, so those can't be the only reasons.This is a novel that is a very sad and horrifying couple of years in a real place - The Dozier School for Boys - or Nickel Academy in the book. It has all the horrific elements - beatings, starvings, no possibility of keeping one's hygiene up. ""Reform"" school that lives up to all the terrible things people said about all reform schools - which were more prisons than any kind of educational establishments.Worth reading, but I wouldn't put it in the ""must read"" category....more",Notes are private!,0,1,1,not set,"Nov 02, 2020","Nov 02, 2020",,Kindle Edition,view (with text),/book/show/42270835-the-nickel-boys
108,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",198216963X,9781982169633,198216963X,336        pp,4.18,"633,812","Apr 25, 2019","Jan 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No one is better at observing people, and especially their quirks. How a hostage situation ends up making the world a better place. This isn't as goodNo one is better at observing people, and especially their quirks. How a hostage situation ends up making the world a better place. This isn't as good as Ove or Beartown, but not much is. Pretty great. I did get impatient in the beginning, but didn't want to finish or leave the group by the ending.......more",Notes are private!,0,3,1,not set,"Oct 27, 2020","Oct 27, 2020",,Hardcover,view (with text),/book/show/49127718-anxious-people
109,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fauci,"Specter, Michael",1735803200,,,3        pp,4.12,"1,349","Oct 05, 2020","Oct 05, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty dry. If you read Specter's article in the New Yorker, you already have heard about two-thirds of this book. Audible freebie.Pretty dry. If you read Specter's article in the New Yorker, you already have heard about two-thirds of this book. Audible freebie....more",Notes are private!,0,0,1,not set,"Oct 27, 2020","Oct 27, 2020",,Audiobook,view (with text),/book/show/55608657-fauci
110,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Confederacy: Truth and Reconciliation,NOT A BOOK,,,B08JNJP76G,unknown,3.95,172,"Sep 24, 2020","Sep 24, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An Audible freebie that for once, was worth the listen. T.Bone Burnett, a son of the south, comes to a reckoning with its history. And musical interluAn Audible freebie that for once, was worth the listen. T.Bone Burnett, a son of the south, comes to a reckoning with its history. And musical interludes (it IS T. Bone Burnett, after all)! In an extended essay form, he reconstructs our country's history (north and south), and leaves no room for equivocation. Kind of what I needed in these times....more",Notes are private!,0,1,1,not set,"Oct 13, 2020","Oct 13, 2020",,Audiobook,view (with text),/book/show/55890661-the-confederacy
111,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Back When We Were Grownups,"Tyler, Anne*",0345477243,9780345477248,0345477243,336        pp,3.55,"21,017","May 01, 2001","Oct 26, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love Tyler's attention to detail, especially the mundane travails of everyday life. The minute observations about our behaviors, the spaces we inhabI love Tyler's attention to detail, especially the mundane travails of everyday life. The minute observations about our behaviors, the spaces we inhabit. A good story about, well, not much. Mid-life crisis leads to less than rigorous examination of ""how I got here"" and what it might have been if I had taken the other fork in the road 20-40 years ago. As irritating as some of the characters are, they are true to my personal experiences. Sometimes the people that you care about the most are the ones who annoy you the most.This was a book club read, and it was a good one in the it engendered good discussion. No one describes human interactions any better than Tyler does....more",Notes are private!,0,1,2,not setnot set,"Oct 13, 2020not set","Oct 13, 2020",,Mass Market Paperback,view (with text),/book/show/31178.Back_When_We_Were_Grownups
112,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Next to Last Stand        (Walt Longmire, #16)","Johnson, Craig",,,B084M5JR2Y,336        pp,4.26,"9,996","Sep 22, 2020","Sep 22, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I get so much pleasure from being in Walt's company for a few days, that I am unable to judge anymore about the relative rating the book deserves. I dI get so much pleasure from being in Walt's company for a few days, that I am unable to judge anymore about the relative rating the book deserves. I don't care, I just love Walt, and time spent with him is a joy for me....more",Notes are private!,0,1,1,not set,"Oct 05, 2020","Oct 06, 2020",,Kindle Edition,view (with text),/book/show/51213213-next-to-last-stand
113,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This is How You Lose the Time War,"El-Mohtar, Amal*",,,,209        pp,3.91,"205,675","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF. This one had such potential, but I couldn't make it work. Takes the idea of star-crossed lovers to a new place. Two soldiers on opposite sides ofDNF. This one had such potential, but I couldn't make it work. Takes the idea of star-crossed lovers to a new place. Two soldiers on opposite sides of some war (that has no definition or shape) leave each other notes that start as a salute to the other's cleverness, but they are both time travelers (or time manipulators, not sure what). Beautiful but headache inducing. This is made for someone who is not as linear and anal as I am....more",Notes are private!,0,1,1,not set,"Sep 26, 2020","Sep 26, 2020",,Kindle Edition,view (with text),/book/show/43352954-this-is-how-you-lose-the-time-war
114,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travels with Charley: In Search of America,"Steinbeck, John",0142000701,9780142000700,0142000701,214        pp,4.08,"94,553",1961,"Feb 05, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a good book for the moment we are in. Steinbeck wanders the United States, and his prose wanders. It is lovely.",Notes are private!,0,1,1,not set,"Sep 24, 2020","Sep 25, 2020",,Paperback,view (with text),/book/show/5306.Travels_with_Charley
115,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fair Warning        (Jack McEvoy, #3; Harry Bosch Universe, #34)","Connelly, Michael*",,,B07YSNB24G,416        pp,4.19,"46,737","May 26, 2020","May 26, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love Michael Connelly but he just phoned this one in. That doesn't make it a bad book, just not up to his usual standard. No Bosch or Rene Ballard -I love Michael Connelly but he just phoned this one in. That doesn't make it a bad book, just not up to his usual standard. No Bosch or Rene Ballard - or Lincoln Lawyer, Mickey Haller. Rather, we get Jack McEvoy who hasn't been around for quite a while.It is a good book and reads easily, just like all of Connelly's work, but it never felt like there were any stakes in it. There is a personal angle here for Connelly that he explains in an afterward - there is a real Fair Warning consumer organization and Connelly is on the board. This book will probably shed a little light/love on an agency he believes in, and that's all to the good. Just maybe set up the wrong stakes for writing a book. But he has earned it, so not complaining....This is a serial killer book where the killer has a very specific MO. He basically decapitates people by twisting their necks a la the little girl/demon in the Exorcist. A fairly monstrous technique. And the guy calls himself the Shrike, because there is a bird by that name that kills its prey by decapitation. Ick. I like the name Shrike, because it harkens back to a wonderful book by Dan Simmons - Hyperion. Now THAT book is a real classic....more",Notes are private!,0,0,1,not set,"Sep 05, 2020","Sep 05, 2020",,Kindle Edition,view (with text),/book/show/48985654-fair-warning
116,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City in the Middle of the Night,"Anders, Charlie Jane*",0765379961,9780765379962,0765379961,366        pp,3.50,"11,732","Feb 12, 2019","Feb 12, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really wanted this to be five stars and it almost was. Just a bit too YA for me - I'm pretty much past the unrequited love part of my emotional develoReally wanted this to be five stars and it almost was. Just a bit too YA for me - I'm pretty much past the unrequited love part of my emotional development. But. The world building, the intricately woven narrations were great! I was pushing the YA stuff into the background pretty successfully until the protagonist went back one time too many. Or maybe two times too many.That said, the exploration of a tidally locked planet (one side always in the sun, the other always in the dark - like our moon) was fascinating in itself; the impact that has on life on that planet, both native and interlopers such as humans (presumably from Earth) was also beautifully explored; and the inevitability of the ugly side of human nature, no matter the circumstances, while predictable, was presented fairly realistically. But the most amazing part was the development of the native species as characters. Beings that communicate in a totally different manner, coupled with a very different relationship to time than humans have, was extraordinarily well done.A good read, but spare me the teenage angst. For others, that may be a selling point, but not for me....more",Notes are private!,0,2,1,not set,"Aug 24, 2020","Aug 25, 2020",,Hardcover,view (with text),/book/show/37534907-the-city-in-the-middle-of-the-night
117,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart's Invisible Furies,"Boyne, John*",,,,582        pp,4.51,"162,359","Feb 09, 2017","Aug 22, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The book had me at the first page from its chapter header and first sentence:The Good People of Goleen""Long before we discovered that he had fathered The book had me at the first page from its chapter header and first sentence:The Good People of Goleen""Long before we discovered that he had fathered two children by two different women, one in Drimoleague and one in Clonakilty, Father James Monroe stood on the altar of the Church of Our Lady, Star of the Sea, in the parish of Goleen, West Cork, and denounced my mother as a whore.""And later, in the same paragraph:""My six uncles, their dark hair glistening with rose-scented lacquer, sat next to her in ascending order of age and stupidity.""And all delivered in a wonderful Irish brogue.I was hooked. The dialogue is just some of the best I've ever encountered. This is a long story that is filled with a lot of sadness and occasional violent incidents. But I (sometimes guiltily) laughed a LOT. This writing reminds me of Richard Russo or some weird combination of Thomas Hardy and Carl Hiaasen. All of whom I adore. Yes, even Hardy. But not too much Hardy.I'd recommend the audio version, but there are a lot of characters by the end of the book to keep track of, so.... I did my usual audio for an hour or two followed by print reading of the same material to keep it all straight. Not for everyone, but it works for me....more",Notes are private!,0,2,2,not setnot set,"Aug 09, 2020not set","Aug 13, 2020",,Hardcover,view (with text),/book/show/33253215-the-heart-s-invisible-furies
118,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firefly: The Unification War  Vol. 1,"Pak, Greg*",1684153220,9781684153220,1684153220,144        pp,3.92,"1,501","Apr 30, 2019","Apr 30, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm a sucker for Firefly related anything, but this was really thin. Not interesting enough for me to pursue Vol. 2. :-(I'm a sucker for Firefly related anything, but this was really thin. Not interesting enough for me to pursue Vol. 2. :-(...more",Notes are private!,0,0,1,not set,"Jul 20, 2020","Jul 20, 2020",,Hardcover,view (with text),/book/show/40744570-firefly
119,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Agent 355,"Benedict, Marie*",,,B08BDQ36W5,2        pp,3.72,"5,973","Jul 02, 2020","Jul 02, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not a bad story, but terrible writing. I couldn't figure out if this was pitched for school-age kids - such as in K-3. Almost seemed like a parody. ThNot a bad story, but terrible writing. I couldn't figure out if this was pitched for school-age kids - such as in K-3. Almost seemed like a parody. This is based on a real mystery related to the Culper spy ring in the American Revolution. If you want to know about it, watch TURN: Washington's Spies from AMC for a much more interesting (and longer) presentation than this short audiobook....more",Notes are private!,0,1,1,not set,"Jul 20, 2020","Jul 20, 2020",,Audible Audio,view (with text),/book/show/54375258-agent-355
120,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firewalkers,"Tchaikovsky, Adrian*",1781088489,9781781088487,1781088489,184        pp,3.73,"2,453","May 12, 2020","May 12, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Adrian Tchaikovsky isn't for everybody. But if you are lucky, he might be for you. His world-building is second to none. And his bugs - real, AI, otheAdrian Tchaikovsky isn't for everybody. But if you are lucky, he might be for you. His world-building is second to none. And his bugs - real, AI, other-worldly, are second to none. Of course, they can be creepy or endearing (not many endearing in this book), but they are always interesting. His prose is deeply laced with references to obscure poetry and ancient mythology. I just love his stuff, but it is taxing to wade through at times.This is the most overtly political of his books that I have read - climate change, income/resource inequality are at the heart of this story. And the Firewalkers - the protagonists of the story - inhabit the pretty much uninhabitable parts of the devastated earth.Sadly, the locusts of this book aren't nearly as interesting as the spiders and squids of Children of Time or Children of Ruin, but they are pretty horrific.......more",Notes are private!,0,0,1,not set,"Jul 18, 2020","Jul 18, 2020",,Hardcover,view (with text),/book/show/52758714-firewalkers
121,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Messengers,"Joelle, Lindsay",,,B084MN1PY7,2        pp,3.31,"2,730","Mar 05, 2020","Mar 05, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Decent concept, very weak execution. But even if time wasted, it was very little time....",Notes are private!,0,0,1,not set,"Jul 05, 2020","Jul 06, 2020",,Audible Audio,view (with text),/book/show/52167587-the-messengers
122,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Water: A Black Man's Tribute to His White Mother,"McBride, James*",1573225789,9781573225786,1573225789,291        pp,4.13,"123,676",1995,"Feb 01, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is one of those ""has to be true, because no one could make this up"" books. Reads a lot like a novel, but it is written as a memoir/tribute to a mThis is one of those ""has to be true, because no one could make this up"" books. Reads a lot like a novel, but it is written as a memoir/tribute to a mother. A mother who was born into an Orthodox Jewish immigrant family - a cold and unloving family except for her own mother, who was treated very badly by her itinerant rabbi husband and abandoned by her own family. That this woman ended up having 12 children with two wonderful and loving husbands and pushed all of her children to go to college, many of them to postgraduate and professional school, is a testament in and of itself. When her first husband died, she was only 37 and pregnant with her eighth child (the author, James McBride). In a few years, she had remarried and had four more children with her second husband. She may have lost her sanity at times, but her energy and drive didn't leave her time to dwell on her difficulties. In fact, she adopted Christianity and with her first husband founded a church in Red Hook (infamous projects in NYC), the New Brown Memorial Baptist Church - first in their apartment, later in its own building, that is still standing. Religion was very important in her life.There is a lot in the book about the confusion/difficulty of growing up biracial, especially when your mother refuses to acknowledge such a concept. McBride wrote this book as a way to find out about his own heritage, and tapped into an incredibly rich vein that is his own mother's story.I read The Good Lord Bird a few years ago, and it was, and is, one of my very favorite books. Reading this book was a completely different experience - not surprising, since they are very different stories - but a good experience, nonetheless.In these days of coronavirus and Black Lives Matter, it was also a bit jarring to read, but it throws a light on humanity that is ultimately affirming and generous. A good read....more",Notes are private!,0,1,1,not set,"Jul 05, 2020","Jul 05, 2020",,Paperback,view (with text),/book/show/29209.The_Color_of_Water
123,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Network Effect        (The Murderbot Diaries, #5)","Wells, Martha*",1250229863,9781250229861,1250229863,350        pp,4.48,"83,354","May 05, 2020","May 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The latest of this series is a wonderful addition. It was more complicated and longer compared to the 4 previous novellas, but still as playful, sarcaThe latest of this series is a wonderful addition. It was more complicated and longer compared to the 4 previous novellas, but still as playful, sarcastic, action-packed, and yes, soulful as its predecessors. I hope Martha Wells is making a lot of money for these (and, as it turns out, all the other stuff she writes) books. I really enjoy them, and the exploration of what sentience means and who/what has it, has always been one of my favorite tropes. Data lives!!! ...more",Notes are private!,0,0,1,not set,"Jun 27, 2020","Jun 27, 2020",,Hardcover,view (with text),/book/show/52381770-network-effect
124,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of October,"Wright, Lawrence*",0525658653,9780525658658,0525658653,374        pp,3.76,"18,789","Apr 28, 2020","Apr 28, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A timely read. And a thrilling one. Because of the overlap between our current pandemic and the one in this book, a lot of the information isn't as deA timely read. And a thrilling one. Because of the overlap between our current pandemic and the one in this book, a lot of the information isn't as dense as it could be - a lot of scientific jargon and human behavior that is in our daily lives right now makes the novel much more accessible than it would otherwise be. I could nitpick about lack of character development and some of the writing, it feels cheap to do so. Quite the accomplishment!...more",Notes are private!,0,1,1,not set,"Jun 06, 2020","Jun 07, 2020",,Paperback,view (with text),/book/show/52669505-the-end-of-october
125,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,350","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not as good as Hunger Games trilogy, but interesting. Coriolanus Snow as an eighteen year old Eddie Haskell. Not really, but definitely duplicitous. TNot as good as Hunger Games trilogy, but interesting. Coriolanus Snow as an eighteen year old Eddie Haskell. Not really, but definitely duplicitous. The beginning of his path to becoming President Snow, presiding over the Katniss Everdeen-era Hunger Games.There was enough cross-over with The Hunger Games in the sense of place, especially District 12, that gave me a creepy sense of deja vu at times. I'm not sure Snow is deserving of an entire book, but I enjoyed it. If you're a fan of the original trilogy, there is probably enough here to make it worth your while....more",Notes are private!,0,2,1,"May 22, 2020","May 25, 2020","May 22, 2020",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
126,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Giver of Stars,"Moyes, Jojo*",0399562486,9780399562488,0399562486,390        pp,4.29,"422,914","Oct 03, 2019","Oct 08, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nice read. Combined two of my favorite things - horses and libraries - in one of my favorite genres - historical fiction. What's not to like? A bit coNice read. Combined two of my favorite things - horses and libraries - in one of my favorite genres - historical fiction. What's not to like? A bit contrived, but very enjoyable. Sort of an early beach read......more",Notes are private!,0,1,1,not set,"May 21, 2020","May 21, 2020",,Hardcover,view (with text),/book/show/43925876-the-giver-of-stars
127,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Broken,"Winslow, Don*",0062988905,9780062988904,0062988905,338        pp,4.17,"7,699","Oct 07, 2020","Apr 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Six novellas all for the price of one. All excellent. Winslow uses a different style in each of them - New Orleans hard noir, semi-Hiaasen goofy, RaymSix novellas all for the price of one. All excellent. Winslow uses a different style in each of them - New Orleans hard noir, semi-Hiaasen goofy, Raymond Chandler, Elmore Leonard - all a delight. And lots of political commentary, especially in the last story about kids in cages. At least one particular kid....more",Notes are private!,0,0,1,not set,"May 19, 2020","May 19, 2020",,Hardcover,view (with text),/book/show/51195598-broken
128,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Odyssey        (Sigma Force, #15)","Rollins, James*",0062892894,9780062892898,0062892894,464        pp,4.19,"10,157","Mar 24, 2020","Mar 24, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty standard Rollins. Take a little science bending (a la Michael Crichton), mix with nonstop action (Dan Brown, maybe?), and throw everyone in a fPretty standard Rollins. Take a little science bending (a la Michael Crichton), mix with nonstop action (Dan Brown, maybe?), and throw everyone in a fast-moving story that has formidable assassins, science-y weapons, government treachery, etc etc. I had more trouble than usual with the defects of Rollins' writing - thin characters, just-in-time escapes and rescues, wanton destruction of treasures (in this one, he destroys the papal summer home; my least favorite was when he destroyed the Roman Coliseum in an earlier novel), ridiculous coincidences, etc. But, I have to admit he can write a page-turner. In this one, our happy protagonists are following Odysseus's path home, but via the gates of Hell. I do love the travelogue aspect - kept me busy on Wikipedia and Google maps, which I really like to do while reading a novel. Lots of Mediterranean exploration - and then down the coast of Africa.I will not remember any plot points in a day or two, but while reading, it's a hell of a ride....more",Notes are private!,0,0,1,not set,"May 09, 2020","May 10, 2020",,Hardcover,view (with text),/book/show/44890050-the-last-odyssey
129,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Sorcerer’s Stone        (Harry Potter, #1)","Rowling, J.K.",,,,333        pp,4.47,"10,053,252","Jun 26, 1997","Dec 08, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, better late than never....our library (and probably most libraries) is making this available in audio and e-book format with no due date.... I wWell, better late than never....our library (and probably most libraries) is making this available in audio and e-book format with no due date.... I was pretty familiar with the story, but decided to indulge. Nice way to spend some hours while cutting up vegetables, doing laundry, and staying at home.Definitely a bit juvenile, but in a very good way....more",Notes are private!,0,2,2,not setnot set,"Apr 25, 2020not set","Apr 25, 2020",,Kindle Edition,view (with text),/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
130,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Boy from the Woods        (Wilde, #1)","Coben, Harlan*",1538748142,9781538748145,1538748142,371        pp,3.95,"99,672","Mar 17, 2020","Mar 17, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I haven't read any Harlan Coben books before this one, and based on my experience, I won't be reading another. I thought the book was a hot mess. LotsI haven't read any Harlan Coben books before this one, and based on my experience, I won't be reading another. I thought the book was a hot mess. Lots of plots and sub-plots that don't go anywhere, loose ends galore and no appealing characters. At the beginning, the pages flew by, but as I went on, the original mystery was subsumed in a larger political plot that wasn't very interesting.Obviously, other people got more out of this than I did. Hope others do too. But I'm not worried anymore about whether or not to read Coben's books.Oh yeah - most of the characters are supernaturally smart, handsome, gorgeous, etc. They get tiresome....more",Notes are private!,0,8,1,not set,"Apr 19, 2020","Apr 19, 2020",,Hardcover,view (with text),/book/show/51204046-the-boy-from-the-woods
131,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"White Sky, Black Ice        (Nathan Active Mystery, #1)","Jones, Stan*",1569473331,9781569473337,B007F7UJQ6,284        pp,3.85,"1,941",1999,"Jul 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a pretty good book and a pretty good mystery. But I have been fighting to read and to finish it. I have been attributing that to the times we This is a pretty good book and a pretty good mystery. But I have been fighting to read and to finish it. I have been attributing that to the times we are living in - coronavirus and staying home - but after finishing and going back over it, I do believe that this is a good book, just not very well written. It is a first novel, and the plot was interesting, but the mystery was a bit obscure and the writing was, well, not very good. I know that I decided to read it because it was situated in Alaska, which is always a draw for me. The author uses a device that usually appeals to me - embedding foreign words and including a glossary. However, there aren't a lot of words, and since it is based on a real native language which bears no relationship to English-Germanic languages, it seems more like Welsh (as in, VERY limited vowels) than anything else. In other words, pretty resistant to incorporating into a narrative without bringing the whole thing to a halt while you look up the word for the 112th time. (There are only a handful of words.) But I was very satisfied with the ending. It just took me forever. And again, I am reluctant to blame that all on the author........more",Notes are private!,0,0,1,not set,"Apr 11, 2020","Apr 11, 2020",,Paperback,view (with text),/book/show/24253.White_Sky_Black_Ice
132,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Break Shot: My First 21 Years,"Taylor, James",,,B081D9H5J3,2        pp,3.96,"5,757","Jan 31, 2020","Jan 31, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a great audiobook. I knew that James Taylor had issues with his mental health and that it “ran” in his family, but I didn’t have any real understWhat a great audiobook. I knew that James Taylor had issues with his mental health and that it “ran” in his family, but I didn’t have any real understanding of what that meant. It is a tragic story, especially since it was a history that was multigenerational. This only covers his early years until he was 21 or 22. While some of this story is painful to listen to, Taylor has his guitar and uses it to smooth out the transitions. Sometimes he just strums a few chords, sometimes song fragments, sometimes the whole song. These are the early glorious years of Joan Baez, Joni Mitchell, the Beatles, and Taylor tells us how he grew from those experiences. Since I am almost exactly his age, the stories echoed my youth, so of course, it made all of this more meaningful to me. Perfect little freebie....more",Notes are private!,0,3,1,not set,"Mar 23, 2020","Mar 23, 2020",,Audible Audio,view (with text),/book/show/52191800-break-shot
