,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jolynn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
102,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fourteen Days: An Unauthorized Gathering,"Atwood, Margaret*",,,B09PGCJQSK,384        pp,3.32,"2,228","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 04, 2024",not set,"Oct 23, 2022",,Kindle Edition,view,/book/show/57467696-fourteen-days
103,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hook, Line, and Sinker        (Bellinger Sisters, #2)","Bailey, Tessa*",,,B0968BGXG4,368        pp,3.93,"342,520","Mar 01, 2022","Mar 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 21, 2022","Oct 23, 2022","Oct 21, 2022",,Kindle Edition,view,/book/show/58310915-hook-line-and-sinker
104,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spanish Love Deception        (Spanish Love Deception, #1)","Armas, Elena*",1668002531,9781668002537,,487        pp,3.84,"681,325","Feb 23, 2021","Feb 23, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 ⭐️ the beginning was way too long, but it was fantastic from middle to end. Aaron Blackford is in my top three book boyfriends.",Notes are private!,0,0,1,"Nov 12, 2022","Nov 30, 2022","Oct 19, 2022",,ebook,view (with text),/book/show/54189398-the-spanish-love-deception
105,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossing to Safety,"Stegner, Wallace",037575931X,9780375759314,037575931X,335        pp,4.16,"46,375",1987,"Apr 09, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2022",,Paperback,view,/book/show/9820.Crossing_to_Safety
106,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angle of Repose,"Stegner, Wallace",,9780140169300,014016930X,569        pp,4.24,"59,186","Mar 01, 1971","May 28, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2022",,Paperback,view,/book/show/292408.Angle_of_Repose
107,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sarah Bastard's Notebook,"Engel, Marian",1897178123,9781897178126,1897178123,194        pp,3.41,44,"Jan 01, 1968","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Paperback,view,/book/show/1803200.Sarah_Bastard_s_Notebook
108,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bear,"Engel, Marian",0771030134,9780771030130,0771030134,128        pp,3.43,"8,110","Jan 01, 1976","Dec 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Paperback,view,/book/show/23308433-bear
109,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dolores Claiborne,"King, Stephen*",1501143808,9781501143809,1501143808,395        pp,3.92,"153,336",Nov 1992,"May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2022",,Mass Market Paperback,view,/book/show/29430672-dolores-claiborne
110,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to Jonestown: Jim Jones and Peoples Temple,"Guinn, Jeff",,,B01HMXV0AQ,454        pp,4.16,"16,611","Apr 11, 2017","Apr 11, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 12, 2022","Oct 22, 2022","Oct 12, 2022",,Kindle Edition,view,/book/show/40726412-the-road-to-jonestown
111,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Know My Name,"Miller, Chanel",0735223718,9780735223714,,384        pp,4.71,"199,539","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2022",,ebook,view,/book/show/50196744-know-my-name
112,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",,,152473165X,339        pp,4.41,"259,819","May 21, 2018","May 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 10, 2023","Oct 10, 2023","Oct 09, 2022",,Hardcover,view,/book/show/37976541-bad-blood
113,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Southern Book Club's Guide to Slaying Vampires,"Hendrix, Grady*",,,B082WNRYKD,14        pp,3.80,"217,272","Apr 07, 2020","Apr 07, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 24, 2022","Nov 04, 2022","Oct 09, 2022",,Audible Audio,view,/book/show/52744300-the-southern-book-club-s-guide-to-slaying-vampires
114,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley’s Lover,"Lawrence, D.H.",039460430X,9780394604305,039460430X,376        pp,3.50,"125,611",1928,"Jun 12, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2022",,Hardcover,view,/book/show/32049.Lady_Chatterley_s_Lover
115,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pet Sematary,"King, Stephen*",0385182449,9780385182447,0385182449,374        pp,4.06,"591,579","Nov 14, 1983","Oct 01, 1983",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 07, 2022","Oct 31, 2022","Oct 05, 2022",,Hardcover,view,/book/show/832795.Pet_Sematary
116,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,110","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2022",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
117,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cleopatra and Frankenstein,"Mellors, Coco*",1635576814,9781635576818,1635576814,384        pp,3.76,"106,435","Feb 15, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2022",,Hardcover,view,/book/show/57693262-cleopatra-and-frankenstein
118,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Innocents,"Crummey, Michael*",0385685432,9780385685436,0385685432,304        pp,3.78,"8,710","Aug 27, 2019","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2022",,Paperback,view,/book/show/54429816-the-innocents
119,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tomb of Sand,"Shree, Geetanjali",0063299402,9780063299405,0063299402,624        pp,3.70,"3,021",2018,"Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2022",,Hardcover,view,/book/show/61319780-tomb-of-sand
120,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Recipe for Persuasion        (The Rajes, #2)","Dev, Sonali*",0062839071,9780062839077,0062839071,464        pp,3.80,"11,812","May 26, 2020","May 26, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 16, 2022",,Paperback,view,/book/show/52695036-recipe-for-persuasion
121,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Secretly Yours        (A Vine Mess, #1)","Bailey, Tessa*",0063238985,9780063238985,0063238985,384        pp,3.30,"108,589","Feb 07, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 28, 2023","Mar 06, 2023","Sep 12, 2022",,Paperback,view,/book/show/61109599-secretly-yours
122,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oranges Are Not the Only Fruit,"Winterson, Jeanette",0802135161,9780802135162,0802135161,176        pp,3.73,"79,677","Mar 21, 1985","Aug 20, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2022",,Paperback,view,/book/show/16475459-oranges-are-not-the-only-fruit
123,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valley of the Dolls,"Susann, Jacqueline",0802125344,9780802125347,0802125344,466        pp,3.83,"67,775",Feb 1966,"Jul 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2022",,Paperback,view,/book/show/27070076-valley-of-the-dolls
124,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Oleander,"Fitch, Janet*",0316182540,9780316182546,0316182540,446        pp,3.99,"353,270",Jul 1999,"Sep 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2022",,Paperback,view,/book/show/32234.White_Oleander
125,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vanderbilt: The Rise and Fall of an American Dynasty,"Cooper, Anderson",0062964615,9780062964618,0062964615,317        pp,3.83,"48,516","Sep 21, 2021","Sep 21, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to the audio book for this and Anderson Cooper was an excellent narrator! This book felt like reading a juicy gossip column. If you like HBO’Listened to the audio book for this and Anderson Cooper was an excellent narrator! This book felt like reading a juicy gossip column. If you like HBO’s The Gilded Age then you’ll LOVE this book. ...more,Notes are private!,0,2,1,"Oct 07, 2022","Oct 11, 2022","Sep 09, 2022",,Hardcover,view (with text),/book/show/56382342-vanderbilt
126,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oh William!        (Amgash, #3)","Strout, Elizabeth*",0812989430,9780812989434,0812989430,240        pp,3.86,"80,111","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2022",,Hardcover,view,/book/show/56294820-oh-william
127,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Many Daughters of Afong Moy,"Ford, Jamie*",1982158212,9781982158217,1982158212,362        pp,3.88,"23,913","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2022",,Hardcover,view,/book/show/59348307-the-many-daughters-of-afong-moy
128,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breaking Free,"Jeffs, Rachel",0062692828,9780062692825,0062692828,400        pp,4.08,"12,177","Nov 14, 2017","Nov 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2022",,Paperback,view,/book/show/34217597-breaking-free
129,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Friends, Lovers, and the Big Terrible Thing","Perry, Matthew",1250866448,9781250866448,1250866448,250        pp,3.90,"250,226","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 24, 2022",,Hardcover,view,/book/show/59641216-friends-lovers-and-the-big-terrible-thing
130,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Want to Die but I Want to Eat Tteokbokki,"Baek, Se-hee",1635579384,9781635579383,1635579384,208        pp,3.31,"51,824","Jun 20, 2018","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2022",,Hardcover,view,/book/show/59808426-i-want-to-die-but-i-want-to-eat-tteokbokki
131,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"It Happened One Summer        (Bellinger Sisters, #1)","Bailey, Tessa*",0063045656,9780063045651,0063045656,397        pp,3.96,"539,639","Jul 13, 2021","Aug 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 12, 2022","Aug 16, 2022","Aug 12, 2022",,Paperback,view,/book/show/55659629-it-happened-one-summer
132,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,027","Apr 25, 2023","Apr 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was absolutely perfect in every way!!!!! Who’s cutting the damn onions?!???,Notes are private!,0,6,1,May 2023,"May 05, 2023","Aug 11, 2022",,Hardcover,view (with text),/book/show/61718053-happy-place
133,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,B09VHWC5YK,7        pp,4.47,"965,281","Aug 09, 2022","Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Aug 15, 2022","Aug 17, 2022","Aug 04, 2022",,Audible Audio,view,/book/show/61917728-i-m-glad-my-mom-died
134,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Opioid, Indiana","Carr, Brian Allen*",1641290781,9781641290784,1641290781,224        pp,3.34,"2,199","Sep 17, 2019","Sep 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2022",,Hardcover,view,/book/show/43797420-opioid-indiana
135,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret Book of Grazia dei Rossi: Book 1        (Grazia dei Rossi Trilogy, 1)","Park, Jacqueline",1770898891,9781770898899,1770898891,752        pp,3.87,"1,850",1997,"Mar 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2022",,Paperback,view,/book/show/20809766-the-secret-book-of-grazia-dei-rossi
136,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reward System: Stories,"Calder, Jem",0374602425,9780374602420,0374602425,304        pp,3.28,"1,072","Jul 19, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2022",,Hardcover,view,/book/show/58772718-reward-system
137,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Valley Road: Inside the Mind of an American Family,"Kolker, Robert*",,,,14        pp,4.16,"122,396","Apr 07, 2020","Apr 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to the audio book for this one. What a wild ride! Both fascinating and heartbreaking.,Notes are private!,0,3,1,"Aug 18, 2022","Aug 26, 2022","Jul 28, 2022",,Audiobook,view (with text),/book/show/53059664-hidden-valley-road
138,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Swans: Three Daughters of China,"Chang, Jung",,,,562        pp,4.28,"112,972",1991,"Aug 12, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 25, 2022",,Paperback,view,/book/show/1848.Wild_Swans
139,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kitchen House,"Grissom, Kathleen*",1439153663,9781439153666,1439153663,369        pp,4.22,"275,052","Feb 02, 2010","Feb 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2022",,Paperback,view,/book/show/6837103-the-kitchen-house
140,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small World,"Evison, Jonathan*",0593184122,9780593184127,0593184122,480        pp,4.08,"3,674","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2022",,Hardcover,view,/book/show/56702688-small-world
141,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tokyo Ueno Station,Yū Miri,0593187520,9780593187524,0593187520,192        pp,3.48,"22,905","Mar 19, 2014","Jun 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2022",,Paperback,view,/book/show/52585192-tokyo-ueno-station
142,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If I Fall, If I Die","Christie, Michael*",0804140804,9780804140805,0804140804,288        pp,3.33,"2,498","Jan 01, 2015","Jan 20, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2022",,Hardcover,view,/book/show/21462154-if-i-fall-if-i-die
143,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Mountain,"Frazier, Charles",1400077826,9781400077823,1400077826,449        pp,3.88,"242,732","Jan 01, 1997","Nov 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2022",,Paperback,view,/book/show/227582.Cold_Mountain
144,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Water Dancer,"Coates, Ta-Nehisi",0399590617,9780399590610,0399590617,432        pp,4.07,"110,067","Sep 24, 2019","Nov 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 07, 2022",,Paperback,view,/book/show/55271032-the-water-dancer
145,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scent of Burnt Flowers,"Bazawule, Blitz",059349623X,9780593496237,059349623X,233        pp,3.49,"1,532","Jun 28, 2022","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2022",,Hardcover,view,/book/show/58988437-the-scent-of-burnt-flowers
146,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling Man,"DeLillo, Don",1416546065,9781416546061,1416546065,246        pp,3.26,"16,408",2007,"Jun 03, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2022",,Paperback,view,/book/show/2439025.Falling_Man
147,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny You Should Ask,"Sussman, Elissa",0593357329,9780593357323,0593357329,352        pp,3.60,"119,840","Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2022",,Paperback,view,/book/show/58065414-funny-you-should-ask
148,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire of Pain: The Secret History of the Sackler Dynasty,"Keefe, Patrick Radden",0593162390,9780593162392,,18        pp,4.54,"102,987","Apr 13, 2021","Apr 13, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,Sep 2022,"Oct 06, 2022","Jun 26, 2022",,Audiobook,view,/book/show/55890379-empire-of-pain
149,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Passing,"Larsen, Nella",,,,160        pp,3.93,"65,234",Apr 1929,Jan 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2022",,Paperback,view,/book/show/38116170-passing
150,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wolf Den        (Wolf Den Trilogy, #1)","Harper, Elodie",1838933530,,,464        pp,4.06,"27,885","May 13, 2021","May 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2022",,Hardcover,view,/book/show/56563852-the-wolf-den
151,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Truly, Madly: Vivien Leigh, Laurence Olivier, and the Romance of the Century","Galloway, Stephen",1538731975,9781538731970,1538731975,416        pp,3.74,"2,374",unknown,"Mar 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2022",,Hardcover,view,/book/show/58340956-truly-madly
152,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brickmakers,"Almada, Selva",1644450690,9781644450697,1644450690,160        pp,4.16,"2,317",2013,"Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2022",,Paperback,view,/book/show/56269261-brickmakers
153,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yoko Ono: An Artful Life,"Brackett, Donald",1989555586,9781989555583,1989555586,350        pp,3.84,56,unknown,"Apr 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2022",,Hardcover,view,/book/show/60762888-yoko-ono
154,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kamila Knows Best,"Heron, Farah*",1538735008,9781538735008,1538735008,368        pp,3.76,"2,390","Mar 08, 2022","Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2022",,Paperback,view,/book/show/58340958-kamila-knows-best
155,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mists of Avalon        (Avalon, #1)","Bradley, Marion Zimmer",0345350499,9780345350497,B007C4RJZG,884        pp,4.13,"206,405",Dec 1982,"Apr 12, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 06, 2022",,Paperback,view,/book/show/402045.The_Mists_of_Avalon
156,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fayne,"MacDonald, Ann-Marie",,9780735276642,,640        pp,4.27,"3,542","Oct 11, 2022","Oct 11, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Feb 17, 2023","Mar 18, 2023","Jun 06, 2022",,ebook,view,/book/show/61039484-fayne
157,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Viscount Who Loved Me        (Bridgerton, #2)","Quinn, Julia*",0063139502,9780063139503,0063139502,480        pp,4.02,"357,528","Dec 05, 2000","May 25, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was fun, but I probably won’t continue in the series. The book misses the mark on following all of the siblings and creating those complex storylThis was fun, but I probably won’t continue in the series. The book misses the mark on following all of the siblings and creating those complex storylines that the TV show does so right. ...more",Notes are private!,0,1,1,"Jun 03, 2022","Jun 13, 2022","Jun 03, 2022",,Mass Market Paperback,view (with text),/book/show/57094329-the-viscount-who-loved-me
158,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dinosaurs,"Millet, Lydia",1324021462,9781324021469,1324021462,230        pp,3.89,"9,608","Oct 11, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 02, 2022",,Hardcover,view,/book/show/60165418-dinosaurs
159,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interpreter of Maladies,"Lahiri, Jhumpa",0358213266,9780358213260,0358213266,193        pp,4.17,"193,356","Apr 20, 1999","Oct 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 01, 2022",,Paperback,view,/book/show/44165800-interpreter-of-maladies
160,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sophie’s Choice,"Styron, William",0679736379,9780679736370,0679736379,562        pp,4.17,"91,058",1979,"Mar 03, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2022",,Paperback,view,/book/show/228560.Sophie_s_Choice
161,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Circle,"Shipstead, Maggie*",,,,608        pp,4.11,"67,582","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 25, 2022",,Hardcover,view,/book/show/54976986-great-circle
