,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Boy’s Own Story        (The Edmund Trilogy, #1)","White, Edmund",0375707409,9780375707407,0375707409,218        pp,3.72,"8,581","Sep 28, 1982","May 30, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 3Last 2 chapters made the book. Interesting insight into his developing mind and developing sexuality. A good reminder that the queer experience high 3Last 2 chapters made the book. Interesting insight into his developing mind and developing sexuality. A good reminder that the queer experience is simultaneously universal and unique. ...more,Notes are private!,0,2,1,"Apr 08, 2023","Apr 19, 2023","Mar 25, 2023",,Paperback,view (with text),/book/show/1025100.A_Boy_s_Own_Story
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Do Nothing: Resisting the Attention Economy,"Odell, Jenny*",1612197493,9781612197494,1612197493,232        pp,3.69,"48,584","Apr 09, 2019","Apr 09, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"low 4she loves to ramble abt random shit but when she’s not she has a lot to saymy anger, discomfort, confusion with the attention economy has grown olow 4she loves to ramble abt random shit but when she’s not she has a lot to saymy anger, discomfort, confusion with the attention economy has grown over the past few years and it’s nice to know i am not aloneat the end of the day this read like a privileged person’s take on the evils of capitalism which meant i was the exact audience she was trying to reach. i do think it gave me more insight on why&how to stay true to humanity in an efficiency-driven world...more",Notes are private!,0,0,1,"Apr 29, 2023","May 24, 2023","Mar 21, 2023",,Hardcover,view (with text),/book/show/42771901-how-to-do-nothing
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",0060936223,9780060936228,0060936223,306        pp,4.21,"280,519","Jan 19, 2010","Nov 02, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4i wouldn’t say i was engrossed but i found myself picking it up a lot more often than i anticipatedthis is the truest example of ‘art is never comid 4i wouldn’t say i was engrossed but i found myself picking it up a lot more often than i anticipatedthis is the truest example of ‘art is never comfortable’robert and patti were a dream duo. made me think a lot abt artistic vs. personal relations and how/if they intersect. this one has a few rlly good one liners that i loved that i feel like a lot of the books i’ve been reading lately have lackedalso fuck aids...more,Notes are private!,0,2,1,"May 18, 2023","May 26, 2023","Mar 15, 2023",,Paperback,view (with text),/book/show/7741657-just-kids
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798622,9781524798628,1524798622,355        pp,4.21,"1,486,961","Mar 05, 2019","Mar 05, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2023","Mar 15, 2023","Mar 02, 2023",,Hardcover,view,/book/show/40597810-daisy-jones-the-six
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orlando,"Woolf, Virginia",0141184272,9780141184272,0141184272,336        pp,3.87,"93,134","Oct 11, 1928","Oct 03, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,0,1,"Mar 02, 2023","Mar 23, 2023","Feb 28, 2023",,Paperback,view (with text),/book/show/18839.Orlando
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,558","Mar 31, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"highest of 4si loved probably All the characters in this. the author did a really good job of making everyone feel real and human (even if one was a dhighest of 4si loved probably All the characters in this. the author did a really good job of making everyone feel real and human (even if one was a dog)this book felt like a true testament to how far we have come yet how much progress there still is to be madeelizabeth is my favorite protagonist i’ve read in a book this year i’d say. she had So many punching lines and i loved all of them. enjoyable, comprehensible, i get the hype. ...more",Notes are private!,0,0,1,"Jun 05, 2023","Jun 09, 2023","Feb 23, 2023",,Hardcover,view (with text),/book/show/58065033-lessons-in-chemistry
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,447","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"mid 4this was a slow burn for me until the last third. sam, sadie, and marx are some of the best characters i’ve read in a book. she really nails theimid 4this was a slow burn for me until the last third. sam, sadie, and marx are some of the best characters i’ve read in a book. she really nails their quirks and human flaws that make them feel so natural and could exist in real life. All 3 were highlights of the book. My one complaint is it took a second to build but the release was magnificent. also grandpa’s will did it for me. ...more",Notes are private!,0,0,1,"Jun 22, 2023","Jul 12, 2023","Feb 23, 2023",,Hardcover,view (with text),/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beautiful World, Where Are You","Rooney, Sally*",0374602603,9780374602604,0374602603,356        pp,3.54,"388,536","Sep 07, 2021","Sep 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 4,Notes are private!,0,0,1,"Feb 17, 2023","Feb 28, 2023","Feb 17, 2023",,Hardcover,view (with text),/book/show/56597885-beautiful-world-where-are-you
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bell Jar,"Plath, Sylvia",,,,294        pp,4.05,"960,113",Jan 1963,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2023",,Paperback,view,/book/show/6514.The_Bell_Jar
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations with Friends,"Rooney, Sally*",0451499077,,B01M6XMA62,304        pp,3.76,"474,069","May 25, 2017","Jul 11, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,0,1,"Feb 14, 2023","Feb 17, 2023","Feb 14, 2023",,Kindle Edition,view (with text),/book/show/32187419-conversations-with-friends
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Call Me By Your Name        (Call Me By Your Name, #1)","Aciman, André*",1786495252,9781786495259,1786495252,248        pp,4.11,"493,027","Jan 23, 2007","Sep 21, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"elio is insane, but i get it",Notes are private!,0,2,1,"Mar 16, 2023","Mar 17, 2023","Feb 11, 2023",,Paperback,view (with text),/book/show/36336078-call-me-by-your-name
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",0525657746,9780525657743,0525657746,256        pp,4.27,"417,205","Apr 20, 2021","Apr 20, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 3,Notes are private!,0,1,1,"Feb 13, 2023","Feb 23, 2023","Feb 08, 2023",,Hardcover,view (with text),/book/show/54814676-crying-in-h-mart
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Awakening,"Chopin, Kate",0543898083,9780543898081,0543898083,195        pp,3.68,"208,652",1899,2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,0,1,not set,not set,"Feb 03, 2023",,Paperback,view (with text),/book/show/58345.The_Awakening
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Will to Change: Men, Masculinity, and Love","hooks, bell",0743456084,9780743456081,0743456084,208        pp,4.38,"18,425","Dec 30, 2003","Dec 21, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,1,1,"Feb 23, 2023","Mar 04, 2023","Jan 30, 2023",,Mass Market Paperback,view (with text),/book/show/17601.The_Will_to_Change
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gone Girl,"Flynn, Gillian*",,,,415        pp,4.13,"3,091,066","Dec 06, 2012","Apr 22, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,0,1,"Feb 06, 2023","Feb 13, 2023","Jan 29, 2023",,Paperback,view (with text),/book/show/19288043-gone-girl
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All About Love: New Visions,"hooks, bell",0688168442,9780688168445,0688168442,240        pp,4.06,"86,227","Dec 22, 1999","Dec 22, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 4,Notes are private!,0,0,1,"Jan 26, 2023","Jan 30, 2023","Jan 26, 2023",,Hardcover,view (with text),/book/show/17607.All_About_Love
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uncle Tungsten,"Sacks, Oliver",0330390287,9780330390286,0330390287,337        pp,3.99,"6,590",2001,"Aug 23, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,low 3,Notes are private!,0,0,1,"Jan 09, 2023","Feb 02, 2023","Jan 09, 2023",,Paperback,view (with text),/book/show/64664.Uncle_Tungsten
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,729","Aug 09, 2022","Aug 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2023","Feb 08, 2023","Jan 06, 2023",,ebook,view,/book/show/59364173-i-m-glad-my-mom-died
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gray,"Wentz, Pete",1416567828,9781416567820,1416567828,240        pp,4.10,"2,631","Jan 08, 2013","Feb 19, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2023",,Hardcover,view,/book/show/2931120-gray
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,395","Mar 10, 2015","Mar 10, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 07, 2022","Jan 25, 2023","Dec 07, 2022",,Hardcover,view,/book/show/22822858-a-little-life
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Rocks: A Memoir,"Trohman, Joe",0306847353,9780306847356,0306847353,240        pp,4.07,"1,722","Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,0,1,"Jan 03, 2023","Jan 06, 2023","Sep 24, 2022",,Hardcover,view (with text),/book/show/60617125-none-of-this-rocks
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matilda,"Dahl, Roald",0141301066,9780141301068,0141301066,240        pp,4.34,"949,170","Oct 01, 1988","Jun 01, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,mid 4,Notes are private!,0,2,1,"Jul 27, 2022","Jan 08, 2023","Jul 27, 2022",,Paperback,view (with text),/book/show/39988.Matilda
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All My Mother's Lovers,"Masad, Ilana*",1524745979,9781524745974,1524745979,336        pp,3.57,"4,321","May 26, 2020","May 26, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 3,Notes are private!,0,0,1,"Jul 17, 2022","Jul 27, 2022","Jul 17, 2022",,Hardcover,view (with text),/book/show/49532609-all-my-mother-s-lovers
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dancer from the Dance,"Holleran, Andrew",0060937068,9780060937065,0060937068,250        pp,3.98,"8,705","May 01, 1978","Dec 18, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 17, 2022",,Paperback,view,/book/show/232431.Dancer_from_the_Dance
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giovanni’s Room,"Baldwin, James",,,,159        pp,4.32,"156,600","Jan 01, 1956",Jun 2000,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 17, 2022",,Paperback,view,/book/show/38462.Giovanni_s_Room
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memorial,"Washington, Bryan",,,,320        pp,3.57,"34,768","Oct 27, 2020","Oct 27, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 17, 2022",,Hardcover,view,/book/show/48902303-memorial
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth We're Briefly Gorgeous,"Vuong, Ocean",0525562028,9780525562023,0525562028,246        pp,4.04,"299,662","Jun 04, 2019","Jun 04, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 05, 2021",,Hardcover,view,/book/show/41880609-on-earth-we-re-briefly-gorgeous
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brave New World,"Huxley, Aldous",0060929871,9780060929879,0060929871,268        pp,3.99,"1,855,356",1932,"Jan 01, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 20, 2021",,Paperback,view,/book/show/5129.Brave_New_World
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Gatsby,"Fitzgerald, F. Scott",,,,180        pp,3.93,"5,238,676","Apr 10, 1925",1925,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 20, 2021",,Paperback,view,/book/show/4671.The_Great_Gatsby
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",,,,298        pp,4.19,"4,598,499","Jun 08, 1949","Sep 03, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,high 4part 1: 3 starspart 2: 5 starspart 3: 4 starsloved the contrast between julia vs winston and their outcomes. didn’t need the beginning but also high 4part 1: 3 starspart 2: 5 starspart 3: 4 starsloved the contrast between julia vs winston and their outcomes. didn’t need the beginning but also could’ve been bc i kinda knew the premise. makes me wanna give brave new world another shot...more,Notes are private!,0,0,1,"Mar 29, 2023","Apr 07, 2023","Aug 20, 2021",,Kindle Edition,view (with text),/book/show/40961427-1984
