,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Emily M's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Chamber of Secrets        (Harry Potter, #2)","Rowling, J.K.",,,B00ES27LCQ,352        pp,4.43,"3,928,089","Jul 02, 1998","Jun 02, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2002","Apr 02, 2022",,Hardcover,view,/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Goblet of Fire        (Harry Potter, #4)","Rowling, J.K.",,,,734        pp,4.57,"3,694,796","Jul 08, 2000","Sep 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2002","Apr 02, 2022",,Paperback,view,/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Prisoner of Azkaban        (Harry Potter, #3)","Rowling, J.K.",043965548X,9780439655484,043965548X,435        pp,4.58,"4,184,753","Jul 08, 1999","May 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2002","Apr 02, 2022",,Mass Market Paperback,view,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matilda,"Dahl, Roald",0141301066,9780141301068,0141301066,240        pp,4.34,"949,110","Oct 01, 1988","Jun 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 1998","Apr 02, 2022",,Paperback,view,/book/show/39988.Matilda
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Giver        (The Giver, #1)","Lowry, Lois*",0385732554,9780385732550,0385732554,208        pp,4.12,"2,478,383","Apr 26, 1993","Jan 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 1999","Apr 02, 2022",,Paperback,view,/book/show/3636.The_Giver
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Odyssey,Homer,0143039954,9780143039952,0143039954,541        pp,3.81,"1,080,409",-700,"Oct 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2002","Apr 02, 2022",,Paperback,view,/book/show/1381.The_Odyssey
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Swiftly Tilting Planet        (Time Quintet, #3)","L'Engle, Madeleine",0440401585,9780440401582,0440401585,278        pp,4.08,"108,380",Jul 1978,Jan 1981,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2006","Apr 02, 2022",,Paperback,view,/book/show/77276.A_Swiftly_Tilting_Planet
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Wrinkle in Time        (Time Quintet, #1)","L'Engle, Madeleine",1250153271,9781250153272,1250153271,218        pp,3.98,"1,202,323",1962,"Nov 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2006","Apr 02, 2022",,Paperback,view,/book/show/33574273-a-wrinkle-in-time
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Wind in the Door        (Time Quintet, #2)","L'Engle, Madeleine",,9780440487616,0440487617,236        pp,3.99,"127,357","Jan 01, 1973",Mar 1976,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2006","Apr 02, 2022",,Mass Market Paperback,view,/book/show/18130.A_Wind_in_the_Door
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romeo and Juliet,"Shakespeare, William",,,0743477111,281        pp,3.74,"2,603,467",1597,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 02, 2003","Apr 02, 2022",,Mass Market Paperback,view,/book/show/18135.Romeo_and_Juliet
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taft,"Patchett, Ann",0060540761,9780060540760,0060540761,246        pp,3.55,"9,942","Oct 01, 1994","Mar 18, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I picked up an Ann Patchett habit a while back, and this was the last novel I still hadn't read. Patchett always delivers on her characters, and this I picked up an Ann Patchett habit a while back, and this was the last novel I still hadn't read. Patchett always delivers on her characters, and this book is not an exception to that. But, I had a hard time figuring out what the plot was here and what it had to do with Taft. This made the good writing feel a little clumsy. Unfortunately, I also found the treatment of race to be a little off.I think I might have liked this novel better if it weren't written by Ann Patchett, which is why I'm rating it a little higher than I think I otherwise would. Ha. This wasn't a drag to get through, and as an activity I guess I did enjoy the experience of reading it! Just wish I had saved a different novel, like State of Wonder, for last....more",Notes are private!,0,0,1,"Mar 28, 2022",Apr 2022,"Mar 28, 2022",,Paperback,view (with text),/book/show/255511.Taft
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Lives We Ever Lived: Seeking Solace in Virginia Woolf,"Smyth, Katharine*",1524760625,9781524760625,1524760625,320        pp,3.81,805,"Jan 29, 2019","Jan 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2022",,Hardcover,view,/book/show/40068068-all-the-lives-we-ever-lived
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician's Assistant,"Patchett, Ann",,,,357        pp,3.72,"44,007",1997,"Dec 01, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2022","Mar 27, 2022","Mar 21, 2022",,Paperback,view,/book/show/16055.The_Magician_s_Assistant
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sing, Unburied, Sing","Ward, Jesmyn*",,,,285        pp,4.01,"135,224","Sep 05, 2017","Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2022","Apr 03, 2022","Mar 16, 2022",,Hardcover,view,/book/show/32920226-sing-unburied-sing
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Patron Saint of Liars,"Patchett, Ann",1841150509,9781841150505,1841150509,352        pp,3.87,"50,660",1992,"Jan 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2022","Feb 12, 2022","Feb 08, 2022",,Paperback,view,/book/show/15957.The_Patron_Saint_of_Liars
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"North of Normal: A Memoir of My Wilderness Childhood, My Unusual Family, and How I Survived Both","Person, Cea Sunrise*",0062289861,9780062289865,0062289861,352        pp,4.24,"15,190","Apr 21, 2014","Jun 24, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2022","Apr 10, 2022","Feb 03, 2022",,Hardcover,view,/book/show/18635097-north-of-normal
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paper Palace,"Heller, Miranda Cowley",,,,400        pp,3.81,"321,139","Jul 06, 2021","Jul 06, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 03, 2022","Feb 07, 2022","Feb 03, 2022",,Hardcover,view,/book/show/55994372-the-paper-palace
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Patricia Wants to Cuddle,"Allen, Samantha*",163893004X,9781638930044,163893004X,256        pp,3.57,"11,959","Jun 28, 2022","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2022",,Hardcover,view,/book/show/59093587-patricia-wants-to-cuddle
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In My Dreams I Hold a Knife,"Winstead, Ashley*",172822988X,9781728229881,172822988X,345        pp,3.85,"96,600","Aug 03, 2021","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2022",,Hardcover,view,/book/show/50485649-in-my-dreams-i-hold-a-knife
