,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Josh's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cruel Summer,"Brubaker, Ed",1534316434,9781534316430,1534316434,287        pp,4.39,"1,232","Jun 23, 2020","Aug 18, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 06, 2021",,Hardcover,view,/book/show/49050408-cruel-summer
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redbone: The True Story of a Native American Rock Band,"Staebler, Christian",1684057140,9781684057146,1684057140,160        pp,3.84,"1,174","Jan 30, 2019","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 03, 2021",,Paperback,view,/book/show/50321132-redbone
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Came As a Shadow: An Autobiography,"Thompson, John",1250619351,9781250619358,1250619351,352        pp,4.48,"1,709",unknown,"Dec 15, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When I was 11, 12, or 13 I got to be one of the rich white boys who had the opportunity to be smoked by the best basketball prospects in the country aWhen I was 11, 12, or 13 I got to be one of the rich white boys who had the opportunity to be smoked by the best basketball prospects in the country at John Thompson’s Basketball Camp at Georgetown University. (My mother had worked in an office at Georgetown before I was born and still had friends there ... I had connections).Upon registration each attendee got to meet Thompson and have a moment to chat one-on-one. I shook his hand. He shook my arm. At the opening lecture he asked for everyone who brought a book to raise their hand. I raised mine, along with several other guys. Then he asked who brought a Game Gear. Many more hands went up. “You’re all jackasses”, he said. In “I Came as a Shadow”, the title a reference to a poem written by his uncle, Thompson discusses how much he loves to cuss and uses the language freely. This isn’t so much a book about basketball as it is about pedagogy and race in America and the confluence of the two. Thompson was keen to the equity versus equality argument back in 70s and used “we may have the same goal but some get to start on the 50 yard line” throughout the book. He also tells some good stories about the superstars who had played for him. And we learn that he is an avid fan of country music. “I Came as a Shadow” may not be a great piece of literature but it is a great story about a great man who lived a great life. By the way, I didn’t crack open the book I brought a single time. It was during our free time, which I had intent to use for reading, that I first learned about the Notorious B.I.G....more",Notes are private!,0,16,1,not set,not set,"Mar 02, 2021",,Hardcover,view (with text),/book/show/53470668-i-came-as-a-shadow
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Star Wars: Kanan, Vol. 1: The Last Padawan","Weisman, Greg",0785193669,9780785193661,0785193669,144        pp,4.13,"4,767","Apr 01, 2015","Apr 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a fun piece with a bunch of morally ambiguous characters and solid cartooning. A nice addition to the Star Wars canon.,Notes are private!,0,0,1,not set,not set,"Feb 28, 2021",,Paperback,view (with text),/book/show/25066765-star-wars
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,November Vol. II,"Fraction, Matt",1534313699,9781534313699,1534313699,80        pp,3.57,382,"Mar 11, 2020","May 26, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was not as strong as the first volume but I am still compelled to continue.,Notes are private!,0,0,1,not set,not set,"Feb 17, 2021",,Hardcover,view (with text),/book/show/49426132-november-vol-ii
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homegoing,"Gyasi, Yaa*",,,,305        pp,4.47,"341,227","Jun 07, 2016","Jun 07, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 16, 2021",,Hardcover,view,/book/show/27071490-homegoing
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wolverine,"Claremont, Chris",0785123296,9780785123293,0785123296,160        pp,4.05,"9,398",2007,"Jan 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I understand that this is a classic arc. However, despite the slick art and innovative design, I didn’t get much out of it.",Notes are private!,0,0,1,not set,not set,"Feb 14, 2021",,Hardcover,view (with text),/book/show/59962.Wolverine
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"November, Volume I: The Girl on the Roof","Fraction, Matt",1534313540,9781534313545,1534313540,80        pp,3.20,987,"Nov 12, 2019","Nov 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am going to hold off on a  until I’ve finished the other volumes, but I feel like they are onto something here.",Notes are private!,0,0,1,not set,not set,"Feb 11, 2021",,Hardcover,view (with text),/book/show/50220072-november-volume-i
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Batman, Volume 1: The Court of Owls","Snyder, Scott*",1401235417,9781401235413,1401235417,176        pp,4.33,"59,440","May 15, 2012","May 15, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 08, 2021",,Hardcover,view,/book/show/13223349-batman-volume-1
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Star Wars: Darth Maul - Son of Dathomir,"Barlow, Jeremy",1616555513,9781616555511,1616555513,96        pp,3.89,"4,968","May 01, 2015","Oct 14, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2021",,Paperback,view,/book/show/21532254-star-wars
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bix,"Chantler, Scott*",1501190784,9781501190780,1501190784,256        pp,3.76,264,unknown,"Apr 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m not sure if it is appropriate to I read this. Beyond much stylized onomatopoeia within the illustrations, there is very little text. This is not tI’m not sure if it is appropriate to I read this. Beyond much stylized onomatopoeia within the illustrations, there is very little text. This is not to say, however, that the lacked a syntax or vocabulary. Chantler executes a master class in possibilities of graphic storytelling. Bix is the story of jazz musician Bix Beiderbecke and his struggles with family, fame, and addiction. Chantler tells it with over 200 pages of nearly wordless panels. For the most part the panels are presented in a strait line, not unlike a newspaper comic strip, on a seemingly oversized page. But when the action starts, particularly when the jazz really starts swing, we get to see what all that white space is there for. The illustrations are a touch on the simple side and perhaps the book would’ve been more powerful if it 100% without conversation (though it makes those few more significant) but Bix is an excellent and unique piece of storytelling. ...more",Notes are private!,0,3,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/50804759-bix
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Ignorants : Récit d'une initiation croisée,"Davodeau, Étienne",2754803823,9782754803823,2754803823,272        pp,4.21,"2,469","Oct 06, 2011","Oct 06, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a quiet book. Probably much like the bucolic life of the winemaker featured in this tale. Respect to Davodeau for being able to articulate thaThis is a quiet book. Probably much like the bucolic life of the winemaker featured in this tale. Respect to Davodeau for being able to articulate that experience. ...more,Notes are private!,0,1,1,not set,not set,"Jan 31, 2021",,Hardcover,view (with text),/book/show/12867689-les-ignorants
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,MARVELS X,"Ross, Alex",1302921517,9781302921514,1302921517,160        pp,3.79,261,"Dec 16, 2020","Dec 15, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 29, 2021",,Paperback,view,/book/show/49088984-marvels-x
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homeland Elegies,"Akhtar, Ayad*",0316496421,9780316496421,0316496421,368        pp,4.14,"23,272","Sep 15, 2020","Sep 15, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In this novel(?), Akhtar is able to navigate the bombast of the American Experience of the last 20 years - 9/11 to Trump - as a man of Muslim heritageIn this novel(?), Akhtar is able to navigate the bombast of the American Experience of the last 20 years - 9/11 to Trump - as a man of Muslim heritage. At times it is deeply personal but then also speaking successfully for the Everyman. The auto fiction makes everything a bit meta. Though the text’s sell awareness really shines when the narrator tells of his love of Philip Roth after a very Rothian yarn concerning his diagnosis with syphilis. I give it five stars. It deserved all of the awards and accolades it received. ...more",Notes are private!,0,1,1,not set,not set,"Jan 27, 2021",,Hardcover,view (with text),/book/show/50358133-homeland-elegies
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Star Wars: Jedi of the Republic - Mace Windu,"Owens, Matt",130290941X,9781302909413,130290941X,120        pp,3.06,"1,504","Mar 06, 2018","Feb 27, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 23, 2021",,Paperback,view,/book/show/35605160-star-wars
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ascender, Vol. 3: The Digital Mage","Lemire, Jeff",1534317260,9781534317260,1534317260,104        pp,4.10,"1,423","Dec 23, 2020","Dec 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A suitable continuation of the of the tale of Andy, Tim-21, and the gang with perpetually lovely art by Dustin Nguyen. This time with space vampires.",Notes are private!,0,1,1,not set,not set,"Jan 23, 2021",,Paperback,view (with text),/book/show/54232638-ascender-vol-3
