,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elaine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madame Bovary,"Flaubert, Gustave",1542099277,,B074J8BQ2W,397        pp,3.70,"334,502","Dec 15, 1856","Sep 26, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 24, 2023","Oct 24, 2023",,Kindle Edition,view,/book/show/35996146-madame-bovary
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter of Winter and Twilight        (Queen of Coin and Whispers #2),"Corcoran, Helen*",1788494636,9781788494632,B0C6P4Z75R,576        pp,3.91,152,"Sep 04, 2023","Sep 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 20, 2023","Oct 20, 2023",,Kindle Edition,view,/book/show/168486553-daughter-of-winter-and-twilight
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Triple Knot: A Novel,"Campion, Emma*",,,B00I763KW4,482        pp,3.65,832,"Jul 29, 2014","Jul 08, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 13, 2023","Oct 13, 2023",,Kindle Edition,view,/book/show/21425504-a-triple-knot
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Weaver and the Witch Queen,"Gornichec, Genevieve*",0593438264,9780593438268,B0BLRP48NJ,368        pp,3.92,"5,286","Jul 25, 2023","Jul 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Oct 04, 2023","Oct 04, 2023",,Kindle Edition,view,/book/show/63277436-the-weaver-and-the-witch-queen
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Soul of Ash and Blood        (Blood and Ash, #5)","Armentrout, Jennifer L.*",1957568461,9781957568461,B0BNCF5W6M,703        pp,3.94,"71,716","Jul 18, 2023","Jul 18, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 28, 2023","Sep 28, 2023",,Kindle Edition,view,/book/show/63847274-a-soul-of-ash-and-blood
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Curse Workers: White Cat; Red Glove; Black Heart,"Black, Holly*",,,B08W5F1LPH,988        pp,3.93,"1,325","Nov 23, 2021","Dec 14, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view,/book/show/57435958-the-curse-workers
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crook Manifesto        (Ray Carney, #2)","Whitehead, Colson*",,,B0BHL2SCGQ,336        pp,3.90,"13,325","Jul 18, 2023","Jul 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 20, 2023","Sep 20, 2023",,Kindle Edition,view,/book/show/60873125-crook-manifesto
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Shift,"King, Stephen*",,,B001BANK2S,370        pp,4.03,"181,531","Jan 01, 1978","Jun 24, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Sep 17, 2023","Sep 17, 2023",,Kindle Edition,view,/book/show/42955713-night-shift
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422961,9780593422960,B0BPNP7YQB,400        pp,4.08,"129,052","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 14, 2023","Sep 14, 2023",,Kindle Edition,view,/book/show/85148114-the-heaven-earth-grocery-store
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch’s Lens        (The Order of the Seven Stars #1),"Smith, Luanne G.*",166251039X,9781662510397,B0BT5XBY5C,255        pp,3.91,"5,179","Oct 01, 2023","Oct 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 07, 2023","Sep 07, 2023",,Kindle Edition,view,/book/show/98651418-the-witch-s-lens
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Camera Girl: The Coming of Age of Jackie Bouvier Kennedy,"Anthony, Carl Sferrazza",,,B0BHTN9GKG,396        pp,4.00,912,"May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Sep 02, 2023","Sep 02, 2023",,Kindle Edition,view,/book/show/74892107-camera-girl
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,"Felton, Tom",1538741385,,B09ZXMG884,288        pp,4.30,"108,748","Oct 18, 2022","Oct 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 31, 2023","Aug 31, 2023",,Kindle Edition,view,/book/show/61239374-beyond-the-wand
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Impossible Wife: Why He Stayed: A True Story of Love, Marriage, and Mental Illness        (Impossible, #2)","Siddoway, Rachael",,,,213        pp,4.35,43,unknown,"Sep 28, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 30, 2023","Aug 30, 2023",,Kindle Edition,view,/book/show/59077808-an-impossible-wife
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jade Legacy        (The Green Bone Saga, #3)","Lee, Fonda*",0316440957,,B091PQZFWY,640        pp,4.65,"24,680","Nov 30, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 29, 2023","Aug 29, 2023",,Kindle Edition,view,/book/show/57703904-jade-legacy
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Flowers of Alice Hart,"Ringland, Holly",1487005245,9781487005245,B07DCDZFCX,393        pp,4.10,"31,951",Mar 2018,"Aug 07, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 24, 2023","Aug 24, 2023",,Kindle Edition,view,/book/show/40830203-the-lost-flowers-of-alice-hart
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession","Finkel, Michael*",0525657339,9780525657330,B0BGN34TG7,384        pp,3.99,"26,310","Jun 22, 2023","Jun 27, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 23, 2023","Aug 23, 2023",,ebook,view,/book/show/58929334-the-art-thief
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mobility,"Kiesling, Lydia*",1638930570,9781638930570,B0BSMW5YMM,352        pp,3.75,"1,577","Aug 01, 2023","Aug 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 21, 2023","Aug 21, 2023",,Kindle Edition,view,/book/show/61288242-mobility
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jade War        (The Green Bone Saga, #2)","Lee, Fonda*",0316440930,,B07H27TV1G,608        pp,4.42,"32,192","Jul 23, 2019","Jul 23, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 19, 2023","Aug 19, 2023",,Kindle Edition,view,/book/show/41806382-jade-war
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"From Blood and Ash        (Blood and Ash, #1)","Armentrout, Jennifer L.*",,,B086JMSSVH,622        pp,4.24,"567,475","Mar 29, 2020","Mar 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 15, 2023","Aug 15, 2023",,Kindle Edition,view,/book/show/52831247-from-blood-and-ash
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chronicle of a Death Foretold,"García Márquez, Gabriel",,,B00NKDOZFU,128        pp,3.97,"193,426",1981,"Oct 15, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 12, 2023","Aug 12, 2023",,Kindle Edition,view,/book/show/23248865-chronicle-of-a-death-foretold
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Keeper of Hidden Books,"Martin, Madeline*",,,B0B9YBBNQ7,407        pp,4.15,"14,136","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 11, 2023","Aug 11, 2023",,Kindle Edition,view,/book/show/60317191-the-keeper-of-hidden-books
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"House of Beating Wings        (The Kingdom of Crows, #1)","Wildenstein, Olivia*",,,B0BDB9L2L8,577        pp,4.10,"23,020","Sep 27, 2022","Sep 29, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Aug 09, 2023","Aug 09, 2023",,Kindle Edition,view,/book/show/62323681-house-of-beating-wings
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zeroboxer,"Lee, Fonda*",,,B01KMOBXD6,245        pp,3.67,"1,510","Apr 08, 2015","Aug 17, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 05, 2023","Aug 05, 2023",,Kindle Edition,view,/book/show/31824177-zeroboxer
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coldest Girl in Coldtown,"Black, Holly*",,,B00BAXFB3C,433        pp,3.84,"71,987","Sep 03, 2013","Sep 03, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 03, 2023","Aug 03, 2023",,Kindle Edition,view,/book/show/17406279-the-coldest-girl-in-coldtown
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Stolen Heir        (The Stolen Heir Duology, #1)","Black, Holly*",,,B0B2P2N58X,345        pp,4.00,"96,939","Jan 03, 2023","Jan 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 02, 2023","Aug 02, 2023",,Kindle Edition,view,/book/show/61213701-the-stolen-heir
