,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sally's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once More with Feeling,"Sussman, Elissa",059335737X,9780593357378,059335737X,416        pp,3.58,"23,707","May 30, 2023","May 30, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,It was exactly what I expected and overall meh? I prefer her other book! The themes of forgiveness and second chances were good,Notes are private!,0,0,1,"Dec 18, 2023","Dec 19, 2023","Dec 19, 2023",,Paperback,view (with text),/book/show/61420112-once-more-with-feeling
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Nash's Ashes,"Adler, Sarah*",0593547799,9780593547793,0593547799,352        pp,4.06,"28,871","May 23, 2023","May 23, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,delightful and surprisingly introspective and a good buffer book after I’ve read some more intense books the past few weeks,Notes are private!,0,0,1,"Dec 16, 2023","Dec 17, 2023","Dec 17, 2023",,Paperback,view (with text),/book/show/62296523-mrs-nash-s-ashes
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,766","Mar 14, 2023","Mar 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Do you ever read a book and think “Ah yes this is why literature exists!” Five stars doesn’t feel like enough for this one. It is about everything. AnDo you ever read a book and think “Ah yes this is why literature exists!” Five stars doesn’t feel like enough for this one. It is about everything. And it broke me. There were lines that should be put in a museum. I spent the last 50 pages crying but also learning. I think I could pick up this book next week and read it in a whole new way. There is a special category of fiction books that both teach you about deeply complex characters and help you understand more about yourself at the same time. Maybe I’m overhyping but I came into this book with no expectations and left with a newfound understanding of myself + the world I inhabit. ...more,Notes are private!,1,4,1,"Jan 06, 2024","Jan 09, 2024","Dec 16, 2023",,Kindle Edition,view (with text),/book/show/61771675-hello-beautiful
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Stay Married: The Most Insane Love Story Ever Told,"Key, Harrison Scott*",1668015501,9781668015506,1668015501,320        pp,4.10,"10,419","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Hardcover,view,/book/show/62919409-how-to-stay-married
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Brothers Hawthorne        (The Inheritance Games, #4)","Barnes, Jennifer Lynn*",0316480770,9780316480772,0316480770,480        pp,3.98,"69,709","Aug 29, 2023","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I loved one of the storylines but felt bored by the other. I need this series to be a TV show though!!,Notes are private!,1,0,1,"Dec 12, 2023","Dec 12, 2023","Dec 12, 2023",,Hardcover,view (with text),/book/show/62804258-the-brothers-hawthorne
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,015","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/59900070-stay-true
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame        (The Empyrean, #2)","Yarros, Rebecca*",1649374178,9781649374172,1649374178,640        pp,4.35,"921,306","Nov 07, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I cannot begin to describe the chokehold these books have on me !!! I liked fourth wing better but still loved this and the world building / characterI cannot begin to describe the chokehold these books have on me !!! I liked fourth wing better but still loved this and the world building / character development. I’ll need to re-read as some sections were sooo technical I couldn’t fully understand ...more,Notes are private!,0,2,1,"Dec 13, 2023","Dec 16, 2023","Dec 09, 2023",,Hardcover,view (with text),/book/show/90202302-iron-flame
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,501,716","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Never thought I could be a fantasy girl but here I am. I’m obsessed. This book reminded me why I love reading and entering into other worlds and just Never thought I could be a fantasy girl but here I am. I’m obsessed. This book reminded me why I love reading and entering into other worlds and just the creativity of the human mind !! I get the hype ...more,Notes are private!,0,1,1,"Dec 06, 2023","Dec 09, 2023","Dec 06, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homelessness Is a Housing Problem: How Structural Factors Explain U.S. Patterns,"Colburn, Gregg",0520383761,9780520383760,0520383761,284        pp,4.27,644,"Mar 15, 2022","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/59133541-homelessness-is-a-housing-problem
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Experience of Place: A New Way of Looking at and Dealing with our Radically Changing Cities and Countryside,"Hiss, Tony",0679735941,9780679735946,0679735941,256        pp,3.83,131,"Aug 11, 1990","Oct 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/237626.The_Experience_of_Place
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Giver of Stars,"Moyes, Jojo*",0399562486,9780399562488,0399562486,390        pp,4.29,"422,902","Oct 03, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/43925876-the-giver-of-stars
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Material,"Alderton, Dolly",0241523672,9780241523674,0241523672,345        pp,4.02,"62,285","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Paperback,view,/book/show/96177629-good-material
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Italian Summer,"Serle, Rebecca*",1982166797,9781982166793,1982166797,255        pp,3.59,"218,716","Mar 01, 2022","Mar 01, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The main character drove me CRAZY. Yet I was entertained and I want to go to Italy,Notes are private!,0,0,1,"Nov 15, 2023","Nov 17, 2023","Nov 15, 2023",,Hardcover,view (with text),/book/show/58438583-one-italian-summer
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uncommon Ground: Living Faithfully in a World of Difference,"Keller, Timothy J.",1400219604,9781400219605,1400219604,240        pp,3.97,"1,742","Apr 14, 2020","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/49659618-uncommon-ground
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,449","Nov 05, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2023",,Hardcover,view,/book/show/58662236-small-things-like-these
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Someone Else's Shoes,"Moyes, Jojo*",1984879308,9781984879301,B0B7L8TWM1,447        pp,3.97,"173,243","Feb 02, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was dragging through the first half of the book, yet by the end I felt a deep fondness and care for the characters. I’m realizing I don’t particularI was dragging through the first half of the book, yet by the end I felt a deep fondness and care for the characters. I’m realizing I don’t particularly enjoy books whose characters are miserable and there were times in which reading about their lives was not enjoyable or insightful for me. ...more",Notes are private!,0,0,1,"Nov 08, 2023","Nov 14, 2023","Nov 07, 2023",,Kindle Edition,view (with text),/book/show/62002001-someone-else-s-shoes
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nightingale,"Hannah, Kristin*",0312577222,9780312577223,0312577222,440        pp,4.62,"1,358,290","Oct 08, 2015","Feb 03, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I cried like a baby and thought it couldn’t get sadder then I kept crying ! Giving it four stars because it took me quite awhile to get into, and the I cried like a baby and thought it couldn’t get sadder then I kept crying ! Giving it four stars because it took me quite awhile to get into, and the ending wrap up felt a little rushed to me — I have a few questions! Overall, Kristin Hannah never fails to make me cry and to provide such rich detail...more",Notes are private!,0,0,1,"Nov 30, 2023","Dec 06, 2023","Nov 06, 2023",,Hardcover,view (with text),/book/show/21853621-the-nightingale
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Four Winds,"Hannah, Kristin*",,,,464        pp,4.30,"669,667","Feb 02, 2021","Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Hardcover,view,/book/show/53138081-the-four-winds
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not What I Had in Mind: A Motherhood Origin Story,"Freeland, Laura Diaz*",,9798988237327,B0CH8QDC89,228        pp,4.98,44,unknown,"Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2023",,Kindle Edition,view,/book/show/198539288-not-what-i-had-in-mind
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Final Gambit        (The Inheritance Games, #3)","Barnes, Jennifer Lynn*",0316371122,,B09HX2QRY3,386        pp,4.13,"290,393","Aug 30, 2022","Aug 30, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was my favorite of the series! I also wouldn't mind being a 17-year-old billionaire. This was my favorite of the series! I also wouldn't mind being a 17-year-old billionaire. ...more,Notes are private!,0,0,1,Nov 2023,"Nov 06, 2023","Nov 01, 2023",,Kindle Edition,view (with text),/book/show/59312949-the-final-gambit
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hawthorne Legacy        (The Inheritance Games, #2)","Barnes, Jennifer Lynn*",0241480744,9780241480748,,380        pp,4.22,"411,590","Sep 07, 2021","Sep 07, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I liked this one better than the first! I love puzzles,Notes are private!,0,0,1,"Oct 28, 2023","Oct 31, 2023","Oct 28, 2023",,Hardcover,view (with text),/book/show/50531218-the-hawthorne-legacy
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mad Honey,"Picoult, Jodi*",1984818384,9781984818386,1984818384,464        pp,4.10,"388,008","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Hardcover,view,/book/show/59912428-mad-honey
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Inheritance Games        (The Inheritance Games, #1)","Barnes, Jennifer Lynn*",1368052401,9781368052405,1368052401,386        pp,4.17,"706,371","Sep 01, 2020","Sep 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I would have loved this when I was 13 !!! But alas I am not 13 so it was just fine? Entertaining yet lacked depth to me.,Notes are private!,0,0,1,"Oct 23, 2023","Oct 24, 2023","Oct 23, 2023",,Hardcover,view (with text),/book/show/52439531-the-inheritance-games
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Belong Deeply to Myself,"Taylor, Dallas*",,9798853429482,B0CGC5HWDF,121        pp,4.51,134,unknown,"Aug 19, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s hard to give a  to something that is so personal. This book is fantastic. She gives insight and words to parts of the human/female experienIt’s hard to give a  to something that is so personal. This book is fantastic. She gives insight and words to parts of the human/female experience that I could never quite explain. It’s interesting reading this book as a Christian. Simply because the core of the gospel is that we do not belong to ourselves but belong to God. So there was an interesting shift in how I read the book because I don’t fully ascribe to her same view of the world and of myself. Nevertheless, I still loved reading this one! ...more",Notes are private!,0,0,1,"Sep 16, 2023","Feb 29, 2024","Sep 16, 2023",,Paperback,view (with text),/book/show/197631025-i-belong-deeply-to-myself
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An American Marriage,"Jones, Tayari*",1616201347,9781616201340,1616201347,308        pp,3.94,"358,695","Jan 29, 2018","Feb 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of the most beautifully written books I have ever read. It was deeply sad and deeply moving, I think I’ll revisit this one in a few years!",Notes are private!,1,0,1,"Sep 16, 2023","Oct 04, 2023","Sep 16, 2023",,Hardcover,view (with text),/book/show/33590210-an-american-marriage
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Know My Name: A Memoir,"Miller, Chanel",073522370X,9780735223707,073522370X,357        pp,4.71,"199,575","Sep 24, 2019","Sep 24, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is beautiful and sad and made me angry and proud. It is a good book not because it is sad but because it was written so beautifully and alloThis book is beautiful and sad and made me angry and proud. It is a good book not because it is sad but because it was written so beautifully and allowed me to examine my life and the world in a new way. Miller analyzed/shared her story in such an honest way that often stopped me in my tracks. Highly recommend! ...more,Notes are private!,0,0,1,"Nov 17, 2023","Nov 27, 2023","Sep 16, 2023",,Hardcover,view (with text),/book/show/46264398-know-my-name
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sabbath,"Allender, Dan B.",0849901073,9780849901072,0849901073,208        pp,3.91,825,2009,"Jan 01, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a must read! Changed my perspective on sabbath and the importance of rituals + rest,Notes are private!,0,0,1,"Aug 17, 2023","Sep 14, 2023","Aug 17, 2023",,Hardcover,view (with text),/book/show/4760578-sabbath
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,551","Jul 05, 2022","Jul 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant! I will be processing this one for a while. I was absolutely captivated by this book, these characters, and the worlds that are created. It Brilliant! I will be processing this one for a while. I was absolutely captivated by this book, these characters, and the worlds that are created. It feels like such a work of art and creativity to me !!!!All of this comes with the caveat that it is very much about video games and may not be for everyone. My gaming experience is limited to Mario Kart yet I felt so interested in a topic that has never been interesting to me before. The book is also just long and very dense but these characters feel so complex and worth the read to me! Reminded me a lot of a more plot-forward Sally Rooney. ...more",Notes are private!,0,0,1,"Aug 13, 2023","Aug 13, 2023","Aug 13, 2023",,Hardcover,view (with text),/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,348","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,ate this UP !! bonus points for the main character being named Sally,Notes are private!,0,1,1,"Jul 29, 2023","Jul 30, 2023","Jul 29, 2023",,Hardcover,view (with text),/book/show/62628727-romantic-comedy
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Inconvenient Gospel: A Southern Prophet Tackles War, Wealth, Race, and Religion","Jordan, Clarence",1636080286,9781636080284,1636080286,152        pp,4.50,72,unknown,"Oct 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Really enjoyed this one! Jordan was wise and his practice of Christianity was radically inclusive and representative of the life of Jesus. Made me wanReally enjoyed this one! Jordan was wise and his practice of Christianity was radically inclusive and representative of the life of Jesus. Made me want to learn more about communal christian living ...more,Notes are private!,0,2,1,"Jul 21, 2023","Jul 31, 2023","Jul 21, 2023",,Paperback,view (with text),/book/show/62223052-the-inconvenient-gospel
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bully Pulpit: Confronting the Problem of Spiritual Abuse in the Church,"Kruger, Michael J.",0310136385,9780310136385,0310136385,192        pp,4.52,758,unknown,"Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Hardcover,view,/book/show/60693245-bully-pulpit
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything Sad Is Untrue,"Nayeri, Daniel",,,,368        pp,4.33,"31,076","Aug 25, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 09, 2023",,Hardcover,view,/book/show/45916267-everything-sad-is-untrue
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Apple: Tales of a Southern Evangelical in New York,"Passarella, Elizabeth*",1400218578,9781400218578,1400218578,256        pp,3.81,"3,769","Jan 19, 2021","Jan 19, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely loved. It was witty, sincere, and relatable in a way that made me feel so seen! Also re-affirmed a lot of my dreams. A must-read for all myAbsolutely loved. It was witty, sincere, and relatable in a way that made me feel so seen! Also re-affirmed a lot of my dreams. A must-read for all my friends living outside the South, but really just people who are learning that the world is different than the circles they grew up in. ...more",Notes are private!,0,3,1,"Jul 08, 2023","Jul 16, 2023","Jul 08, 2023",,Hardcover,view (with text),/book/show/52611576-good-apple
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Together: The Classic Exploration of Christian Community,"Bonhoeffer, Dietrich",0060608528,9780060608521,0060608528,122        pp,4.27,"29,066",1939,"Oct 25, 1978",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really good, really wise.",Notes are private!,0,0,1,"Aug 13, 2023","Aug 21, 2023","Jul 06, 2023",,Paperback,view (with text),/book/show/174845.Life_Together
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghosts,"Alderton, Dolly",0241434548,9780241434543,0241434548,352        pp,3.89,"105,572","Oct 15, 2020","Oct 15, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved. Dolly writes with the perfect combination of storytelling and social commentary that leaves me engaged yet pausing to think! The main characterLoved. Dolly writes with the perfect combination of storytelling and social commentary that leaves me engaged yet pausing to think! The main character feels insanely real, honest, and I am her biggest fan ...more",Notes are private!,0,0,1,"Jun 28, 2023","Jul 07, 2023","Jun 28, 2023",,Hardcover,view (with text),/book/show/50042494-ghosts
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Daydreams,"Hankin, Laura*",0593438183,9780593438183,0593438183,368        pp,3.60,"8,017","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2023",,Hardcover,view,/book/show/61913611-the-daydreams
80,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Us,"McFarlane, Mhairi*",,,B0BCW814DH,436        pp,3.76,"14,119","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 28, 2023",,Kindle Edition,view,/book/show/62397519-between-us
81,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Everything,"Weiner, Jennifer*",,,,416        pp,3.85,"89,162","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2023",,ebook,view,/book/show/41592780-mrs-everything
82,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,"Kishimi, Ichiro",,,B078MDSV8T,289        pp,4.00,"75,195","Dec 12, 2013","May 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 18, 2023",,Kindle Edition,view,/book/show/37929220-the-courage-to-be-disliked
83,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blue Zones Kitchen: 100 Recipes to Live to 100,"Buettner, Dan*",,,B07MN8MR1G,303        pp,3.98,"2,661","Dec 03, 2019","Dec 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 18, 2023",,Kindle Edition,view,/book/show/44656800-the-blue-zones-kitchen
84,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,601","Apr 25, 2023","Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Y’all know I ate this up in a dayIt was funny and honest and surprisingly introspective/deep. My favorite Emily Henry so far !! I already want to re rY’all know I ate this up in a dayIt was funny and honest and surprisingly introspective/deep. My favorite Emily Henry so far !! I already want to re read it ...more,Notes are private!,0,0,1,"Jun 13, 2023","Jun 14, 2023","Jun 13, 2023",,Hardcover,view (with text),/book/show/61718053-happy-place
85,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Call It What You Want,"DeRogatis, Alissa*",,,B0C1RJKLSZ,257        pp,3.40,"15,949",unknown,"Jun 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2023",,Kindle Edition,view,/book/show/144707422-call-it-what-you-want
86,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Lake,"Fortune, Carley*",,,B0B845FVDJ,334        pp,3.71,"199,450","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,good and fun and engaging! feels suuuuper similar to her other book,Notes are private!,0,0,1,"Jun 20, 2023","Jun 20, 2023","Jun 06, 2023",,Kindle Edition,view (with text),/book/show/61848488-meet-me-at-the-lake
87,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Holy Haunting: Why Faith Isn't a Leap But a Series of Staggers from One Safe Place to Another,"Kim, Sam D.*",1631959905,9781631959905,1631959905,200        pp,4.38,85,"Apr 11, 0023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2023",,Paperback,view,/book/show/62011280-a-holy-haunting
88,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matchmaking for Beginners,"Dawson, Maddie*",1503956202,9781503956209,B076CJX3YN,378        pp,3.99,"53,642","Jun 01, 2018","Jun 01, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,bad? but i was entertained,Notes are private!,0,0,1,"May 27, 2023","May 28, 2023","May 27, 2023",,Kindle Edition,view (with text),/book/show/37561377-matchmaking-for-beginners
89,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,203","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 21, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
90,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Essie,"Weir, Meghan MacLean*",,,,319        pp,3.91,"31,380","Jun 12, 2018","Jun 12, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Reread this one and it was wonderful a second time. It has a great balance of being both thought-provoking/meaningful and entertaining. This story is Reread this one and it was wonderful a second time. It has a great balance of being both thought-provoking/meaningful and entertaining. This story is one I think back on often ...more,Notes are private!,0,0,2,"May 28, 2023not set","Jun 02, 2023not set","May 21, 2023",,Kindle Edition,view (with text),/book/show/34503571-the-book-of-essie
91,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Children: Reconstructing Europe's Families after World War II,"Zahra, Tara",0674048245,9780674048249,0674048245,320        pp,3.69,52,"May 09, 2011","May 09, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 17, 2023","May 15, 2023","May 15, 2023",,Hardcover,view,/book/show/11317311-the-lost-children
