,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,A.S.'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Count of Monte Cristo,"Dumas, Alexandre",0140449264,9780140449266,0140449264,"1,276        pp",4.30,"913,613","Aug 28, 1844","May 27, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/7126.The_Count_of_Monte_Cristo
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lion, the Witch and the Wardrobe        (Chronicles of Narnia, #1)","Lewis, C.S.",,,,206        pp,4.24,"2,798,450","Oct 16, 1950",2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Deathly Hallows        (Harry Potter, #7)","Rowling, J.K.",,,,759        pp,4.62,"3,707,749","Jul 21, 2007","Jul 21, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stranger in a Strange Land,"Heinlein, Robert A.",,,,525        pp,3.92,"312,657",Jul 1961,"Oct 01, 1991",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/350.Stranger_in_a_Strange_Land
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Man and the Sea,"Hemingway, Ernest",0684830493,9780684830490,0684830493,96        pp,3.80,"1,148,216","Sep 01, 1952",1996,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/2165.The_Old_Man_and_the_Sea
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moby-Dick or, The Whale","Melville, Herman",0142437247,9780142437247,0142437247,720        pp,3.54,"560,696","Oct 18, 1851","Feb 21, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/153747.Moby_Dick_or_The_Whale
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Prayer for Owen Meany,"Irving, John*",0552135399,9780552135399,0552135399,637        pp,4.24,"320,905","Mar 28, 1989",1990,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/4473.A_Prayer_for_Owen_Meany
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Sidewalk Ends,"Silverstein, Shel",0060513039,9780060513030,0060513039,176        pp,4.33,"1,402,913",1974,Nov 2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/30119.Where_the_Sidewalk_Ends
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand,"King, Stephen*",,,,"1,152        pp",4.35,"760,541",1990,"May 01, 1990",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/149267.The_Stand
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Prisoner of Azkaban        (Harry Potter, #3)","Rowling, J.K.",043965548X,9780439655484,043965548X,435        pp,4.58,"4,184,685","Jul 08, 1999","May 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fellowship of the Ring        (The Lord of the Rings, #1)","Tolkien, J.R.R.",0618346252,9780618346257,0618346252,398        pp,4.39,"2,808,255","Jul 29, 1954","Jan 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/34.The_Fellowship_of_the_Ring
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crime and Punishment,"Dostoevsky, Fyodor",,,,671        pp,4.27,"903,819",1866,"Dec 31, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/7144.Crime_and_Punishment
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hitchhiker’s Guide to the Galaxy        (Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",,,,216        pp,4.23,"1,840,882","Oct 12, 1979",2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lord of the Rings,"Tolkien, J.R.R.",,,,"1,216        pp",4.53,"676,115",1954,"Oct 12, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/33.The_Lord_of_the_Rings
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chronicles of Narnia        (The Chronicles of Narnia, #1-7)","Lewis, C.S.",0066238501,9780066238500,0066238501,767        pp,4.27,"650,817",1956,2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/11127.The_Chronicles_of_Narnia
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Sorcerer's Stone        (Harry Potter, #1)","Rowling, J.K.",,,0439554934,309        pp,4.47,"10,052,373","Jun 26, 1997","Nov 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hobbit        (The Lord of the Rings, #0)","Tolkien, J.R.R.",,,,366        pp,4.29,"3,973,209","Sep 21, 1937","Aug 15, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/5907.The_Hobbit
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",,,,122        pp,3.99,"3,883,784","Aug 17, 1945","May 06, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/7613.Animal_Farm
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",,,,328        pp,4.19,"4,598,116","Jun 08, 1949","Jul 01, 1950",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/5470.1984
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reader,"Schlink, Bernhard",0375408266,9780375408267,0375408266,216        pp,3.78,"210,762",1995,"Jun 26, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/101299.The_Reader
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Misery,"King, Stephen*",0450417395,9780450417399,0450417395,370        pp,4.21,"698,200","Jun 08, 1987","Nov 01, 1988",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/10614.Misery
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Les Misérables,"Hugo, Victor",,,,"1,463        pp",4.20,"797,591",1862,"Mar 03, 1987",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/24280.Les_Mis_rables
80,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,422","May 22, 2001","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is an amazing thing. The relationships it develops and the circumstance under which it stages them left me nearly breathless. It's almost imThis book is an amazing thing. The relationships it develops and the circumstance under which it stages them left me nearly breathless. It's almost impossibly beautiful and full of grace.The end knocked me for a bit of a loop. I'm going to have to stew over it for a few days and decide what I think. Undoubtedly a fantastic book....more,Notes are private!,0,5,1,not set,"Dec 22, 2009","Nov 01, 2009",,Paperback,view (with text),/book/show/5826.Bel_Canto
81,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Curious Incident of the Dog in the Night-Time,"Haddon, Mark",1400032717,9781400032716,1400032717,226        pp,3.89,"1,478,861","Jul 31, 2003","May 18, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While the book has a great voice and is wonderfully fun to read, it doesn't really have much to say in the end. That's not necessarily a bad thing, thWhile the book has a great voice and is wonderfully fun to read, it doesn't really have much to say in the end. That's not necessarily a bad thing, there's nothing wrong with a book that's simply a good story, but it does prevent it from ever becoming more than the sum of its parts....more",Notes are private!,0,0,1,not set,"Nov 29, 2009","Nov 01, 2009",,Paperback,view (with text),/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
82,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Kill a Mockingbird,"Lee, Harper",,,,323        pp,4.26,"6,122,826","Jul 11, 1960","Jul 05, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 15, 2009","Nov 01, 2009",,Paperback,view,/book/show/2654.To_Kill_a_Mockingbird
83,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pilgrim at Tinker Creek,"Dillard, Annie",0072434171,9780072434170,0072434171,288        pp,4.09,"27,120",1974,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/12527.Pilgrim_at_Tinker_Creek
84,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book of Sorrows        (Chauntecleer the Rooster, #2)","Wangerin Jr., Walter",031021081X,9780310210818,031021081X,339        pp,4.06,777,1985,"Aug 19, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 26, 2010","Nov 01, 2009",,Paperback,view,/book/show/383618.The_Book_of_Sorrows
85,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saint Julian,"Wangerin Jr., Walter",0060593210,9780060593216,0060593210,240        pp,3.40,149,2003,"Mar 02, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/383625.Saint_Julian
86,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brendan,"Buechner, Frederick",0060611782,9780060611781,0060611782,256        pp,3.92,692,1987,"May 16, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view,/book/show/76801.Brendan
87,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Elements of Style,"Strunk Jr., William",,,,105        pp,4.18,"83,785",1918,"Oct 25, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/3721092-the-elements-of-style
88,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Manual of Detection,"Berry, Jedediah*",1594202117,9781594202117,1594202117,288        pp,3.57,"4,941",2009,"Feb 19, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/4135863-the-manual-of-detection
89,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,McSweeney's #28,"Eggers, Dave",193478107X,9781934781074,193478107X,300        pp,3.68,270,unknown,"Sep 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/3039502-mcsweeney-s-28
90,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Hundred and Forty Five Stories in a Small Box: Hard to Admit and Harder to Escape, How the Water Feels to the Fishes, and Minor Robberies","Eggers, Dave",193241682X,9781932416824,193241682X,300        pp,4.09,648,"Sep 20, 2007","Oct 28, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/380214.One_Hundred_and_Forty_Five_Stories_in_a_Small_Box
91,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yiddish Policemen's Union,"Chabon, Michael",0007149824,9780007149827,0007149824,414        pp,3.71,"76,740","May 01, 2007","May 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Chabon is a genius.,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view (with text),/book/show/16703.The_Yiddish_Policemen_s_Union
92,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Yellow-Lighted Bookshop: A Memoir, a History","Buzbee, Lewis*",1555974503,9781555974503,1555974503,216        pp,3.82,"2,745",2002,"May 30, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Hardcover,view,/book/show/165518.The_Yellow_Lighted_Bookshop
93,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book of the Dun Cow        (Chauntecleer the Rooster, #1)","Wangerin Jr., Walter",0060574607,9780060574604,0060574607,246        pp,4.04,"4,922","Jan 01, 1978","Aug 14, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Purely amazing.,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view (with text),/book/show/77721.The_Book_of_the_Dun_Cow
94,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lilith,"MacDonald, George",1587159260,9781587159268,1587159260,226        pp,3.89,"6,619","Nov 27, 1895","Feb 22, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of my very favorite books.,Notes are private!,0,0,1,not set,not set,"Nov 01, 2009",,Paperback,view (with text),/book/show/268187.Lilith
95,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ender’s Game        (Ender's Saga, #1)","Card, Orson Scott",0812550706,9780812550702,0812550706,324        pp,4.31,"1,373,981","Jan 15, 1985","Sep 30, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Nov 01, 2009",,Mass Market Paperback,view,/book/show/375802.Ender_s_Game
96,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Twilight        (The Twilight Saga, #1)","Meyer, Stephenie",0316015849,9780316015844,0316015849,498        pp,3.65,"6,576,882","Oct 05, 2005","Sep 06, 2006",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 29, 2009",,Paperback,view,/book/show/41865.Twilight
97,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Godric,"Buechner, Frederick",0060611626,9780060611620,0060611626,178        pp,4.17,"2,262",1980,"Dec 22, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is the book that made me a writer. Purely amazing.,Notes are private!,0,0,1,not set,Jan 2000,"Oct 28, 2009",,Paperback,view (with text),/book/show/76802.Godric
98,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fiddler's Gun        (Fin's Revolution, #1)","Peterson, A.S.*",0615325424,9780615325422,0615325424,304        pp,4.18,"1,447","Dec 01, 2009","Dec 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Early praise for The Fiddler's Gun:“Peterson has lovingly crafted a work of historical fiction which begs the question, “Can this really be a debut noEarly praise for The Fiddler's Gun:“Peterson has lovingly crafted a work of historical fiction which begs the question, “Can this really be a debut novel?” With dogged fidelity, he captures the spirit, manners, and social conditions present during the American Revolutionary War. We meet colorful, credible characters who navigate the high seas of life and love, dependence and independence, war and peace, truth and consequence and despite forays into ostensibly dark places, The Fiddler’s Gun carries a steady pulse that is beautiful, lyrical, and redemptive.”—Curt McLey, The Phantom Tollbooth“Peterson is a natural-born storyteller, and The Fiddler’s Gun is a sly, funny, soulful, instant classic.” —Allan Heinberg, Executive Producer, Grey’s Anatomy“Redcoats, pirates, orphans—and Fin Button, a passionate and savvy young woman who is a treasure all by herself. Here is high adventure that feels like truth. Three huzzahs for A.S. Peterson: The Fiddler’s Gun is an achievement.”—Jonathan Rogers, author of The Wilderking Trilogy“A.S. Peterson’s The Fiddler’s Gun is an exciting, rollicking adventure - it will touch the depths of your heart as its characters wrestle with human frailty, failure, love, and the quest for redemption. You will love this book, and you’ll read it over and over.”—Travis Prinzi, author of Harry Potter & Imagination“Like a vivacious child, it grabs your attention and runs away laughing, urging you to give chase. Don’t start this book when you have something important – like sleeping – to do; I guarantee, it won’t get done.”—Paula K. Parker, BuddyHollywood.com...more",Notes are private!,0,5,1,"Jun 13, 2010","Jun 13, 2010","Oct 28, 2009",,Paperback,view (with text),/book/show/7000924-the-fiddler-s-gun
