,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crying in H Mart,"Zauner, Michelle",,,B08DMXF7ZZ,243        pp,4.27,"417,280","Apr 20, 2021","Apr 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2021","Jun 23, 2021","Jun 13, 2021",,Kindle Edition,view,/book/show/55577549-crying-in-h-mart
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything I Never Told You,"Ng, Celeste*",,,B00G3L7V0C,304        pp,3.85,"550,014","Jun 26, 2014","Jun 26, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 08, 2021","Jun 13, 2021","Jun 08, 2021",,Kindle Edition,view,/book/show/19398259-everything-i-never-told-you
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malibu Rising,"Reid, Taylor Jenkins*",1524798665,,B08HY4KKB5,365        pp,4.04,"1,018,468","May 27, 2021","Jun 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jun 06, 2021Jun 04, 2021","Jun 08, 2021Jun 06, 2021","Jun 04, 2021",,Kindle Edition,view,/book/show/55439366-malibu-rising
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beartown        (Beartown, #1)","Backman, Fredrik*",,,,432        pp,4.29,"439,261","Sep 15, 2016","Apr 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 02, 2021","Jun 02, 2021","Jun 02, 2021",,Kindle Edition,view,/book/show/31675787-beartown
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire of Pain: The Secret History of the Sackler Dynasty,"Keefe, Patrick Radden",,,B08ND91K6G,625        pp,4.54,"103,018","Apr 13, 2021","Apr 13, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 21, 2021","May 22, 2021","May 21, 2021",,Kindle Edition,view,/book/show/56343711-empire-of-pain
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Is Maud Dixon?,"Andrews, Alexandra*",,,,304        pp,3.83,"36,658","Mar 02, 2021","Mar 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 20, 2021","May 21, 2021","May 20, 2021",,Kindle Edition,view,/book/show/55590431-who-is-maud-dixon
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rose Code,"Quinn, Kate*",,,B089SZJF11,646        pp,4.45,"251,562","Mar 09, 2021","Mar 09, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"May 07, 2021not set","May 10, 2021not set","May 07, 2021",,Kindle Edition,view,/book/show/54067525-the-rose-code
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cold Millions,"Walter, Jess",,,B083JKN5MF,342        pp,3.96,"18,339","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 05, 2021",,Kindle Edition,view,/book/show/54186496-the-cold-millions
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fatal Grace        (Chief Inspector Armand Gamache, #2)","Penny, Louise*",0312352565,9780312352561,0312352565,311        pp,4.10,"125,544","Sep 30, 2006","May 15, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 27, 2021","May 05, 2021","Apr 27, 2021",,Hardcover,view,/book/show/352921.A_Fatal_Grace
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Still Life        (Chief Inspector Armand Gamache, #1)","Penny, Louise*",0312948557,9780312948559,0312948557,293        pp,3.90,"249,046","Oct 03, 2005","May 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Apr 22, 2021not set","Apr 25, 2021not set","Apr 22, 2021",,Mass Market Paperback,view,/book/show/338691.Still_Life
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Food on the Rails: The Golden Era of Railroad Dining        (Food on the Go, No. 1)","Quinzio, Jeri",144222732X,9781442227323,144222732X,175        pp,3.94,18,"Jan 01, 2014","Oct 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 17, 2021",,Hardcover,view,/book/show/21865272-food-on-the-rails
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Woman of Troublesome Creek,"Richardson, Kim Michele*",1492671533,,B07LGD67ZZ,313        pp,4.22,"217,345","May 07, 2019","May 07, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2021","Apr 15, 2021","Apr 11, 2021",,Kindle Edition,view,/book/show/43365035-the-book-woman-of-troublesome-creek
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fortunate Ones,"Tarkington, Ed*",,,B08519FF6Z,315        pp,3.84,"3,082","Jan 05, 2021","Jan 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2021","Apr 21, 2021","Apr 11, 2021",,Kindle Edition,view,/book/show/56188915-the-fortunate-ones
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Honey From a Weed: Fasting and Feasting in Tuscany, Catalonia, the Cyclades and Apulia","Gray, Patience",190301820X,9781903018200,190301820X,375        pp,4.23,375,"Jan 01, 1986","Mar 03, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2021",,Paperback,view,/book/show/425708.Honey_From_a_Weed
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Huntress,"Quinn, Kate*",,,B079DPN9S4,560        pp,4.30,"164,691","Feb 26, 2019","Feb 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2021",,Kindle Edition,view,/book/show/40245700-the-huntress
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Ride Upon Sticks,"Barry, Quan",,,,385        pp,3.79,"15,581","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2021",,Kindle Edition,view,/book/show/48611983-we-ride-upon-sticks
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goodnight Beautiful,"Molloy, Aimee",,,B07D6P4931,293        pp,3.76,"38,137","Oct 13, 2020","Oct 13, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Mar 19, 2021not set","Mar 22, 2021not set","Mar 19, 2021",,Kindle Edition,view,/book/show/45418341-goodnight-beautiful
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"On the Island        (On the Island, #1)","Garvis-Graves, Tracey*",,,B0089PFZGW,334        pp,4.11,"84,385","Sep 04, 2011","Jun 07, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2021",,Kindle Edition,view,/book/show/20195859-on-the-island
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House in the Cerulean Sea,"Klune, T.J.*",,,B07QPHT8CB,393        pp,4.41,"627,285","Mar 16, 2020","Mar 17, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 09, 2021","Apr 22, 2021","Mar 09, 2021",,Kindle Edition,view,/book/show/57312022-the-house-in-the-cerulean-sea
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lager Queen of Minnesota,"Stradal, J. Ryan*",,,B07L2J8P4S,376        pp,4.01,"41,214",Jul 2019,"Jul 23, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2021","Mar 09, 2021","Mar 02, 2021",,Kindle Edition,view,/book/show/43266426-the-lager-queen-of-minnesota
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shame,"Goodman, Makenna",,,B08BLNX4W7,153        pp,3.62,"1,467","Aug 11, 2020","Aug 11, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 24, 2021","Mar 02, 2021","Feb 24, 2021",,Kindle Edition,view,/book/show/54827018-the-shame
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchens of the Great Midwest,"Stradal, J. Ryan*",,,B00OZ0TO80,320        pp,3.81,"48,738","Jul 28, 2015","Jul 28, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Feb 22, 2021Feb 16, 2021","Feb 23, 2021Feb 21, 2021","Feb 16, 2021",,Kindle Edition,view,/book/show/24821580-kitchens-of-the-great-midwest
80,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Better Luck Next Time,"Johnson, Julia Claiborne*",,,B086ZT698G,284        pp,3.60,"5,993","Jan 05, 2021","Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2021","Feb 10, 2021","Feb 04, 2021",,Kindle Edition,view,/book/show/55101026-better-luck-next-time
81,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Dangerous Place        (Maisie Dobbs, #11)","Winspear, Jacqueline*",,,B00LSRBY9A,352        pp,3.90,"20,087","Mar 15, 2015","Apr 07, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 02, 2021","Apr 04, 2021","Feb 02, 2021",,Kindle Edition,view,/book/show/22757027-a-dangerous-place
82,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Ate Too Much: The Life of James Beard,"Birdsall, John",0393635716,9780393635713,0393635716,464        pp,3.33,"1,073","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2021",,Hardcover,view,/book/show/50489348-the-man-who-ate-too-much
83,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arctic Fury,"Macallister, Greer*",1728215692,9781728215693,1728215692,408        pp,3.87,"8,167","Dec 01, 2020","Dec 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 27, 2021",Feb 2021,"Jan 27, 2021",,Paperback,view,/book/show/49181796-the-arctic-fury
84,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving Everything Most Loved        (Maisie Dobbs #10),"Winspear, Jacqueline*",,,B008QXXQOU,338        pp,4.06,"22,816","Jan 01, 2013","Mar 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2021","Jan 25, 2021","Jan 17, 2021",,Kindle Edition,view,/book/show/18684638-leaving-everything-most-loved
85,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silent Patient,"Michaelides, Alex*",,,B07D2C6J4K,325        pp,4.18,"2,167,762",2018,"Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 13, 2021","Jan 17, 2021","Jan 13, 2021",,Kindle Edition,view,/book/show/40396699-the-silent-patient
86,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Push,"Audrain, Ashley*",1984881663,9781984881663,1984881663,307        pp,4.06,"337,424","Jan 05, 2021","Jan 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 11, 2021","Jan 13, 2021","Jan 11, 2021",,Hardcover,view,/book/show/52476830-the-push
87,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elegy for Eddie        (Maisie Dobbs #9),"Winspear, Jacqueline*",,,B005UD1ECK,333        pp,4.03,"22,774","Mar 01, 2012","Mar 27, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2021","Jan 11, 2021","Jan 06, 2021",,Kindle Edition,view,/book/show/12989394-elegy-for-eddie
88,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Wish They Were Us,"Goodman, Jessica*",0593114299,9780593114292,0593114299,336        pp,3.49,"32,247","Aug 04, 2020","Aug 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2020",,Hardcover,view,/book/show/48717442-they-wish-they-were-us
89,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caste: The Origins of Our Discontents,"Wilkerson, Isabel*",0593230256,9780593230251,0593230256,544        pp,4.54,"137,259","Aug 04, 2020","Aug 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 16, 2020","Jan 04, 2021","Dec 16, 2020",,Hardcover,view,/book/show/51152447-caste
90,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Skinnytaste Meal Prep: Healthy Make-Ahead Meals and Freezer Recipes to Simplify Your Life: A Cookbook,"Homolka, Gina",0593137310,9780593137314,0593137310,304        pp,3.89,"2,178","Sep 15, 2020","Sep 15, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 14, 2020","Dec 16, 2020","Dec 14, 2020",,Hardcover,view,/book/show/49814631-skinnytaste-meal-prep
91,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milk Street: Cookish: Throw It Together: Big Flavors. Simple Techniques. 200 Ways to Reinvent Dinner.,"Kimball, Christopher",0316540307,9780316540308,0316540307,352        pp,4.09,501,unknown,"Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2020",,Hardcover,view,/book/show/50998143-milk-street
92,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mapping of Love and Death        (Maisie Dobbs, #7)","Winspear, Jacqueline*",0061727660,9780061727665,0061727660,338        pp,4.24,"28,747","Mar 23, 2010","Mar 23, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2020","Dec 16, 2020","Dec 13, 2020",,Hardcover,view,/book/show/6553733-the-mapping-of-love-and-death
93,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of the Witching,"Henderson, Alexis*",,,B07ZN3293W,363        pp,3.81,"37,320","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2020",,Kindle Edition,view,/book/show/49214110-the-year-of-the-witching
94,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lumberjanes, Vol. 1: Beware the Kitten Holy","Stevenson, N.D.",1608866874,9781608866878,1608866874,128        pp,3.92,"75,915","Apr 07, 2015","Apr 07, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 07, 2020","Dec 08, 2020","Dec 07, 2020",,Paperback,view,/book/show/22554204-lumberjanes-vol-1
95,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Comfort Food: A Barefoot Contessa Cookbook,"Garten, Ina*",0804187061,9780804187060,0804187061,256        pp,3.92,"8,228","Sep 01, 2020","Oct 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2020","Dec 07, 2020","Dec 03, 2020",,Hardcover,view,/book/show/51154724-modern-comfort-food
96,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Track of the Cat        (Anna Pigeon, #1)","Barr, Nevada",,,B001QWDRT2,245        pp,3.83,"20,501",1993,"Jun 03, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2020",,Kindle Edition,view,/book/show/6583435-track-of-the-cat
97,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Book,"Simpson, Jessica",,,,416        pp,4.11,"99,960","Feb 04, 2020","Feb 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 29, 2020",,Hardcover,view,/book/show/41571753-open-book
98,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eat a Peach,"Chang, David*",152475921X,9781524759216,152475921X,288        pp,3.89,"25,829","Sep 08, 2020","Sep 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 29, 2020","Dec 02, 2020","Nov 29, 2020",,Hardcover,view,/book/show/51700803-eat-a-peach
99,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leave the World Behind,"Alam, Rumaan*",,,B083JKGK15,256        pp,3.17,"148,532","Oct 06, 2020","Oct 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 23, 2020","Nov 25, 2020","Nov 23, 2020",,Kindle Edition,view,/book/show/53867504-leave-the-world-behind
100,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Women: Data Bias in a World Designed for Men,"Criado Pérez, Caroline",1683353145,,B07N1N6VKT,436        pp,4.35,"117,361","Mar 07, 2019","Mar 12, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 16, 2020","Dec 03, 2020","Nov 16, 2020",,Kindle Edition,view,/book/show/44083621-invisible-women
101,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Had Your Face,"Cha, Frances*",0593129466,9780593129463,0593129466,288        pp,3.75,"51,371","Apr 21, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2020",,Hardcover,view,/book/show/52696537-if-i-had-your-face
102,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One to Watch,"Stayman-London, Kate*",0525510443,9780525510444,0525510443,417        pp,3.89,"92,631","Jul 07, 2020","Jul 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 07, 2020","Nov 13, 2020","Nov 07, 2020",,Paperback,view,/book/show/53103895-one-to-watch
103,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We,"Zamyatin, Yevgeny",0140185852,9780140185850,0140185852,226        pp,3.89,"97,229",1924,1993,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2020",,Paperback,view,/book/show/76171.We
104,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Address Book: What Street Addresses Reveal About Identity, Race, Wealth, and Power","Mask, Deirdre*",,,B07SBQDRQC,327        pp,4.07,"7,781","Apr 02, 2020","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 02, 2020",,Kindle Edition,view,/book/show/48896881-the-address-book
105,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats,"Stone, Daniel",,,B0719VDSR3,413        pp,3.93,"3,336","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2020",,Kindle Edition,view,/book/show/36186246-the-food-explorer
106,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Life of Addie LaRue,"Schwab, V.E.*",0765387565,9780765387561,,448        pp,4.19,"1,066,978","Oct 06, 2020","Oct 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 21, 2020","Oct 27, 2020","Oct 21, 2020",,Kindle Edition,view,/book/show/50623864-the-invisible-life-of-addie-larue
107,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mexican Gothic,"Moreno-Garcia, Silvia*",,,0525620788,320        pp,3.68,"354,994","Jun 30, 2020","Jun 30, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 17, 2020","Oct 21, 2020","Oct 17, 2020",,Hardcover,view,/book/show/53152636-mexican-gothic
108,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Among the Mad        (Maisie Dobbs, #6)","Winspear, Jacqueline*",1427206058,9781427206053,1427206058,0        pp,4.12,"28,067","Feb 17, 2009","Feb 17, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 12, 2020","Oct 27, 2020","Oct 12, 2020",,Audio CD,view,/book/show/3690427-among-the-mad
109,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homegoing,"Gyasi, Yaa*",,,,305        pp,4.47,"341,257","Jun 07, 2016","Jun 07, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2020",,Hardcover,view,/book/show/27071490-homegoing
110,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,,330        pp,3.82,"996,013","Feb 20, 2020","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 06, 2020","Oct 09, 2020","Oct 06, 2020",,Hardcover,view,/book/show/51933429-the-guest-list
111,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oona Out of Order,"Montimore, Margarita*",,,B07QPGS5QJ,329        pp,3.86,"82,101","Feb 25, 2020","Feb 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2020,"Oct 05, 2020","Oct 01, 2020",,Kindle Edition,view,/book/show/49931447-oona-out-of-order
112,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disappearing Earth,"Phillips, Julia*",,,,272        pp,3.84,"52,890","May 22, 2019","May 14, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 20, 2020",Oct 2020,"Sep 20, 2020",,Kindle Edition,view,/book/show/43175254-disappearing-earth
113,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",,,,343        pp,4.15,"753,587","Jun 02, 2020","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 16, 2020","Sep 21, 2020","Sep 16, 2020",,Hardcover,view,/book/show/51791252-the-vanishing-half
114,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deacon King Kong,"McBride, James*",073521672X,9780735216723,073521672X,370        pp,4.17,"68,064","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 14, 2020",,Hardcover,view,/book/show/51045613-deacon-king-kong
115,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Grandfather Would Have Shot Me: A Black Woman Discovers Her Family's Nazi Past,"Sellmair, Nikola",1615192530,9781615192533,1615192530,240        pp,3.81,"5,814",2013,"Apr 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2020",,Hardcover,view,/book/show/22581002-my-grandfather-would-have-shot-me
