,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Monika's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Helena,"Smith, Claire L.*",,,,141        pp,3.49,71,"Oct 10, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,,view,/book/show/55199313-helena
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Is for Witching,"Oyeyemi, Helen*",0330458140,9780330458146,0330458140,256        pp,3.55,"11,927","Jun 23, 2009","May 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Hardcover,view,/book/show/6277227-white-is-for-witching
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haunting of Hill House,"Jackson, Shirley",0143039989,9780143039983,0143039989,182        pp,3.82,"303,314","Oct 16, 1959","Nov 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/89717.The_Haunting_of_Hill_House
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Itzá,"Luz, Rios de la*",9781940885,,,143        pp,4.20,240,"Sep 12, 2017","Sep 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/36266235-itz
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Need to Do Something,"Booth III, Max*",1943720452,9781943720453,1943720452,188        pp,3.42,"6,294","May 08, 2020",May 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/53014484-we-need-to-do-something
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Thinking of Ending Things,"Reid, Iain*",,,B0176M1BVG,241        pp,3.56,"155,261","Jun 14, 2016","Jun 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Kindle Edition,view,/book/show/40605223-i-m-thinking-of-ending-things
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill Creek,"Thomas, Scott",,,,416        pp,3.77,"19,908","Oct 31, 2017","Oct 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/34065268-kill-creek
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devil's Call,"Dorn, J. Danielle",1942645600,9781942645603,1942645600,275        pp,3.81,348,2017,"Aug 08, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/32825530-devil-s-call
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bottoms,"Lansdale, Joe R.*",0446677922,9780446677929,0446677922,328        pp,4.19,"8,637",2000,"Sep 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/102113.The_Bottoms
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Penpal,"Auerbach, Dathan*",098554550X,9780985545505,098554550X,243        pp,3.86,"38,890","Jun 11, 2012","Jun 11, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/14578407-penpal
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rotting Within,"Kurtz, Matt*",1941918875,9781941918876,1941918875,202        pp,3.89,449,"Dec 18, 2020","Dec 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/55956260-the-rotting-within
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stirring the Sheets,"Lutzke, Chad*",,,B07C12YR1X,130        pp,4.22,820,"Apr 13, 2018","Apr 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Kindle Edition,view,/book/show/39786603-stirring-the-sheets
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Off Season        (Dead River, #1)","Ketchum, Jack",0843956968,9780843956962,0843956968,308        pp,3.78,"15,728",1980,Jun 2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Mass Market Paperback,view,/book/show/179734.Off_Season
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Castaways,"Keene, Brian*",0843960892,9780843960891,0843960892,285        pp,3.61,"3,451","Jan 02, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Mass Market Paperback,view,/book/show/5214006-castaways
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ring Shout,"Clark, P. Djèlí*",1250767024,9781250767028,1250767024,185        pp,4.00,"34,478","Oct 13, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Hardcover,view,/book/show/49247242-ring-shout
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things Have Gotten Worse Since We Last Spoke,"LaRocca, Eric*",1951658132,,B08YN53M5X,120        pp,2.97,"47,933","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 28, 2023",not set,"Aug 10, 2021",,Kindle Edition,view,/book/show/57876868-things-have-gotten-worse-since-we-last-spoke
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Crime,"Kolesnik, Samantha*",1941918565,9781941918562,1941918565,156        pp,3.63,"2,718","Jan 15, 2020","Jan 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/48808041-true-crime
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Betty,"McDaniel, Tiffany*",052565707X,9780525657071,052565707X,480        pp,4.41,"34,429","Aug 18, 2020","Aug 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Hardcover,view,/book/show/48564330-betty
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Juliet the Maniac,"Escoria, Juliet*",1612197590,9781612197593,1612197590,320        pp,3.81,"2,130","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/41180823-juliet-the-maniac
