,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ffiamma's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piccole grandi bugie,"Moriarty, Liane*",8804659513,9788804659518,8804659513,432        pp,4.31,"1,006,074","Dec 25, 2014","Feb 28, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 11, 2018","Jan 11, 2018",,Hardcover,view,/book/show/34095672-piccole-grandi-bugie
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La libreria,"Fitzgerald, Penelope",8838914737,9788838914737,8838914737,164        pp,3.28,"23,750",1978,"Mar 05, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 06, 2018","Jan 09, 2018",,Paperback,view,/book/show/4755517-la-libreria
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Io e Mabel ovvero L'arte della falconeria,"Macdonald, Helen",8858421655,9788858421659,,298        pp,3.74,"73,959",2014,"Jan 26, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 05, 2018","Jan 06, 2018",,ebook,view,/book/show/28780624-io-e-mabel-ovvero-l-arte-della-falconeria
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intima apparenza,"Pearlman, Edith",8858776046,,B073VRW8XL,242        pp,3.61,"1,759","Jan 06, 2015","Jul 12, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 02, 2018","Jan 02, 2018",,Kindle Edition,view,/book/show/35682332-intima-apparenza
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'altra madre,"Longo, Andrej",,,B01ENJDKDW,180        pp,3.76,148,"Apr 28, 2016","Apr 28, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2018,"Jan 02, 2018",,Kindle Edition,view,/book/show/30055755-l-altra-madre
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heather, più di tutto","Weiner, Matthew",8858427335,9788858427330,,128        pp,2.92,"6,891",Nov 2017,"Nov 07, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 22, 2017","Dec 21, 2017",,ebook,view,/book/show/36551115-heather-pi-di-tutto
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La sceneggiatura,"Carpenter, Don",8820097052,9788820097059,B07595Z51N,260        pp,3.93,85,"Jun 15, 1981","Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"tre uomini, le cui vite sono destinate a incontrarsi per mezzo di una sceneggiatura, si muovono nella los angeles degli anni 70- tra cocaina, notti brtre uomini, le cui vite sono destinate a incontrarsi per mezzo di una sceneggiatura, si muovono nella los angeles degli anni 70- tra cocaina, notti brave, sesso e film. ed è proprio una vicenda cinematografica dai risvolti tragicomici a fornire il soggetto di questo romanzo- che mostra sia il lato rutilante di hollywood che la lotta per sopravvivere in un mondo spietato in cui bisogna essere disposti a sacrificare principi, etica e integrità. altra grande prova di carpenter che, con realismo e senza sconfinare nel morboso, racconta una realtà dura e piena di fascinose menzogne attraverso tre personaggi perfettamente delineati e un buon numero di comprimari....more",Notes are private!,0,1,1,not set,"Dec 20, 2017","Dec 20, 2017",,Kindle Edition,view (with text),/book/show/36369615-la-sceneggiatura
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nelle terre di nessuno,"Offutt, Chris*",8875218412,9788875218416,8875218412,160        pp,4.01,"1,596",1992,"Nov 02, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Dec 18, 2017","Dec 18, 2017",,Paperback,view,/book/show/36445909-nelle-terre-di-nessuno
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Hour,"Miller, Mary*",889483302X,9788894833027,889483302X,264        pp,3.42,"1,402","Jan 10, 2017","May 25, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ogni storia ha per protagonista una donna, quasi sempre invischiata in una storia sbagliata, incapace di fare scelte o abbarbicata all'infelicità. gliogni storia ha per protagonista una donna, quasi sempre invischiata in una storia sbagliata, incapace di fare scelte o abbarbicata all'infelicità. gli uomini ne escono male, prepotenti, egoisti, bambini poco cresciuti- eppure queste figure femminili che sprecano occasioni e si crogiolano in una mesta apatia, senza nemmeno un briciolo di cattiveria, mi hanno resa insofferente....more",Notes are private!,0,2,2,not setnot set,"Dec 17, 2017not set","Dec 18, 2017",,Paperback,view (with text),/book/show/35286264-happy-hour
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Option B: Affrontare le difficoltà, costruire la resilienza e ritrovare la gioia","Sandberg, Sheryl",8858971760,9788858971765,B073XPT331,214        pp,3.85,"54,400","Apr 24, 2017","Sep 21, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,"Dec 13, 2017","Dec 14, 2017",,Kindle Edition,view,/book/show/36268815-option-b
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'angelo di pietra,"Laurence, Margaret",8865941057,9788865941058,8865941057,304        pp,3.77,"12,666",Jun 1964,"Aug 29, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"hagar è una novantenne caparbia e orgogliosa, spesso incapace di empatia, che porta il peso delle sue scelte sbagliate. e questa donna, per certi vershagar è una novantenne caparbia e orgogliosa, spesso incapace di empatia, che porta il peso delle sue scelte sbagliate. e questa donna, per certi versi straordinaria nel suo essere indomita, racconta la sua vita andando avanti e indietro nel tempo- suscitando rabbia, compassione e anche ammirazione per il suo non arrendersi mai, anche davanti all'inesorabile avanzare del tempo. bel romanzo amaro sull'affievolirsi della speranza e le complessità che ogni essere umano porta dentro di sé....more",Notes are private!,0,5,1,not set,"Dec 06, 2017","Dec 06, 2017",,Paperback,view (with text),/book/show/22387552-l-angelo-di-pietra
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sing, Unburied, Sing","Ward, Jesmyn*",,,,285        pp,4.01,"135,227","Sep 05, 2017","Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Dec 04, 2017","Dec 05, 2017",,Hardcover,view,/book/show/32920226-sing-unburied-sing
