,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Faith's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,340","Jan 23, 2024","Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"FAMILY FAMILY by Laurie Frankel tackles the pressures of a public persona and a private life in conflict. India, a famous actress, is being judged forFAMILY FAMILY by Laurie Frankel tackles the pressures of a public persona and a private life in conflict. India, a famous actress, is being judged for her offhand comments about her recent movie, and much is at stake.The storyline jumps between the past and the present, slowly allowing readers to learn what informed India's opinions on adoption, family, and belonging. What feels like a simplistic storyline grows in depth and asks readers to consider their assumptions and judgements, as the cast of characters grow and people from her past gather together in support.The audiobook was an easy listen, and the narrator Patti Murin is skilled at a range of voices. Those who encounter this as an audiobook will get the added treat of a recorded conversation between Laurie Frankel and Patti Murin. They have strong mutual admiration, and they dialogue about the accuracy of the subject matter, the development of craft, be it acting or writing, and the commonalities they share. It was a lovely close to a thoughtful book.(I received a digital ALC from the publisher via NetGalley in exchange for my honest .) ...more",Notes are private!,0,0,1,not set,"Jan 16, 2024","Jan 10, 2024",,Hardcover,view (with text),/book/show/127282881-family-family
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Song for a Whale,"Kelly, Lynne*",152477023X,9781524770235,152477023X,303        pp,4.23,"11,983","Feb 05, 2019","Feb 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love to dabble in a host of genres, including middle grade and young adult. This title is one my oldest daughter enjoyed, and I've also seen it on oI love to dabble in a host of genres, including middle grade and young adult. This title is one my oldest daughter enjoyed, and I've also seen it on other recommended lists, so I encountered it as an audiobook (a favorite medium, as of late).Our protagonist Iris is deaf; she is grieving the recent death of her grandfather, which has led to her grandmother entering a nursing home and struggling with depression.Iris loves to fix radios and has the typical childhood struggles (getting in trouble at school, her frustration with her mom's expectation that she fit in and her dad's lack of effort in learning ASL). Iris finds a new focus when she learns of Blue 55, a whale that can't be understood by other whales due to its frequency falling outside of theirs. She is determined to helps this whale find a community, and that search ends up mirroring her own journey.I had no problems suspending my disbelief when we would get snippets from the whale's point of view, but I did struggle to wrap my mind around the journey she took with her grandmother, as that felt more unbelievable. All the same, it was a fun title, and I enjoyed discussing it with my daughter during and after reading it.The author's note shares how Lynne Kelly is an ASL interpreter and drew inspiration from another whale, called the loneliest whale in the world....more",Notes are private!,0,0,1,not set,"Jan 18, 2024","Jan 09, 2024",,Hardcover,view (with text),/book/show/40645658-song-for-a-whale
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Can't Wait,"King Jr., Martin Luther",0451527534,9780451527530,0451527534,223        pp,4.54,"8,411","Jul 01, 1964","Feb 11, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a powerful read; if ""Letter from a Birmingham Jail"" wasn't transformative enough in its own right, we have WHY WE CAN'T WAIT, which gives furtThis is a powerful read; if ""Letter from a Birmingham Jail"" wasn't transformative enough in its own right, we have WHY WE CAN'T WAIT, which gives further context to the events that set up MLK Jr's famous letter and the aftermath.This book shows the great level of planning and thought that went into these nonviolent direct actions. I highlighted countless sections and took copious notes of this slim book, as it is replete with insight and wisdom....more",Notes are private!,0,0,1,not set,"Jan 16, 2024","Jan 06, 2024",,Paperback,view (with text),/book/show/160939.Why_We_Can_t_Wait
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Affordable Paleo Cooking with Your Instant Pot: Quick + Clean Meals on a Budget,"Robins, Jennifer",,,B07DTG4XYC,313        pp,4.02,91,unknown,"Sep 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/40853067-affordable-paleo-cooking-with-your-instant-pot
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Windigo Island        (Cork O'Connor, #14)","Krueger, William Kent*",147674923X,9781476749235,147674923X,339        pp,4.16,"10,094","Aug 19, 2014","Aug 19, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cork and his daughter Jenny get pulled into investigating the case of a missing Indian girl. They find themselves in Duluth and Wisconsin for the caseCork and his daughter Jenny get pulled into investigating the case of a missing Indian girl. They find themselves in Duluth and Wisconsin for the case. Frequent mentions of ""the wolf you feed"" and the windigo are peppered through the pages, and Jenny wrestles with whether or not she is enough and if she has her dad's respect. Human trafficking, particularly of underage girls, is a central plot point.I listened to the audiobook....more",Notes are private!,0,0,1,not set,"Jan 09, 2024","Jan 05, 2024",,Hardcover,view (with text),/book/show/18775484-windigo-island
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Practicing the Way: Be with Jesus, Become Like Him, Do As He Did","Comer, John Mark*",0593193822,9780593193822,0593193822,288        pp,4.68,"3,837","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2024",not set,"Jan 05, 2024",,Hardcover,view,/book/show/83817455-practicing-the-way
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Black Liturgies: Prayers, Poems, and Meditations for Staying Human","Arthur Riley, Cole *",0593593642,9780593593646,0593593642,336        pp,4.79,187,unknown,"Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cole Arthur Riley writes with such deepness and heart, cutting away chaff to leave genuinely impactful lessons.The first half of BLACK LITURGIES offerCole Arthur Riley writes with such deepness and heart, cutting away chaff to leave genuinely impactful lessons.The first half of BLACK LITURGIES offers liturgies grouped by story (touching on place, wonder, lament, doubt, rage, secrets, and more), and the second half offers blessings grouped around time (both time of day -- such as dawn and dusk -- and time of liturgical year -- such as Pentecost, Lent, and Kwanzaa). To close, the book contains longer liturgies which can be adapted for communal use, plus a framework for drafting your own liturgies.Riley follows a formula for each chapter: she opens with quotes from black artists and authors, pens a letter, then a poem and specific prayers for the chapter's theme follow, for it to close with breath prayers, a confession, forgiveness, a benediction, and questions for contemplation. This book helps illustrate intersectionality; this book is not meant specifically for me, but it still connects. As a woman, a people pleaser, a perfectionist, time and again this book offered a release from those pressures. Riley's vulnerability helps model what it is to be genuine in our faith and our community. This is a book I would welcome on my shelves, to flip through to locate just the blessing needed for specific instances.(I received a digital ARC from the publisher via NetGalley in exchange for my honest .) ...more",Notes are private!,0,1,1,not set,"Mar 25, 2024","Jan 05, 2024",,Hardcover,view (with text),/book/show/134117313-black-liturgies
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Grey Wolf        (Chief Inspector Armand Gamache, #19)","Penny, Louise*",1250328136,9781250328137,1250328136,432        pp,4.12,32,"Oct 29, 2024","Oct 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/203578881-the-grey-wolf
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Impossible Brightness,"Klagmann, Jessica Bryant*",1662513119,9781662513114,1662513119,319        pp,3.57,"4,977","Feb 01, 2024","Feb 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/178583962-this-impossible-brightness
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Book of Hygge: The Danish Way to Live Well,"Wiking, Meik",0241283914,9780241283912,0241283914,289        pp,3.77,"103,816","Sep 01, 2016","Nov 16, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a perfect listen in January, as we have months of cold and dark ahead. How do I not waste my time in dissatisfaction but instead savor the daThis was a perfect listen in January, as we have months of cold and dark ahead. How do I not waste my time in dissatisfaction but instead savor the day before me? Danes are often described as the happiest people, and Meik Wiking wants to explore why that might be so, and how others can achieve equal footing. Wiking attempts to define features of the Danish idea of hygge, but it is complex. It's relaxed thoughtfulness. Equality. Comfort. Clothing that is comfortable and stylish (and, as a knitter, I was tickled to hear of their love of giant scarves -- YES!). Lighting (the annual candle consumption for Danes is astonishing). A healthy balance between work and home.A provided hygge manifesto elaborates on the key features. It is a well suited lifestyle for introverts, as hygge is most often found in smaller groups, but that can be a detraction, as well for some -- as an outsider, it can be lonely and hard to break in, as it's not conducive to expansion.There is humor throughout the slim book; in the chapter discussing how one might decorate a home to achieve this principle, we read, ""Basically you want to think, 'How would a Viking squirrel furnish a living room?'""I was drawn to this mentality, as it helps me define my current values. How do I create an environment, a schedule, a lifestyle that isn't rushed but prioritizes experiences and mental well being? My oldest caught a couple minutes of the audiobook in the chapter discussing the important of light. She's all about acquiring and lighting candles at the moment, and I've gotten some traction from her regarding tidiness (""This cluttered coffee table isn't hygge - can you clean it?""). It's also given her ammunition of sorts: ""Mom, we need a new lamp in the playroom. It's too glaring and NOT hygge! It hurts my spirit.""As an aside, while listening to this I spotted our cat on our new chair, squirreled between a pillow and my plush blanket, blissed out and napping, and I realized she just exudes hygge. Perhaps one way to understand the essence of hygge (only partly tongue in cheek) -- how would my cat feel about this?...more",Notes are private!,1,1,1,not set,"Jan 06, 2024","Jan 04, 2024",,Hardcover,view (with text),/book/show/30045683-the-little-book-of-hygge
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,031","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Florence Adler Swims Forever,"Beanland, Rachel*",1982132469,9781982132460,1982132469,309        pp,3.88,"22,041","Jul 07, 2020","Jul 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/52762595-florence-adler-swims-forever
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evil Eye,"Rum, Etaf*",0062987909,9780062987907,0062987909,352        pp,3.96,"14,449","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/59381516-evil-eye
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,135","Apr 04, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/123036004-the-berry-pickers
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Books Went to War: The Stories that Helped Us Win World War II,"Manning, Molly Guptill*",0544535022,9780544535022,0544535022,267        pp,3.91,"7,959","Dec 02, 2014","Dec 02, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/22715829-when-books-went-to-war
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Yinka, Where Is Your Huzband?","Blackburn, Lizzie Damilola",0593299000,9780593299005,0593299000,384        pp,3.77,"14,910","Jan 18, 2022","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/58395050-yinka-where-is-your-huzband
