,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lewis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
156,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book of Spies: A Qing Dynasty Chinese Spy Manual,"Sawyer, Ralph",,,B08F2ZBB78,0        pp,0.00,0,unknown,"Jul 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2022",,Kindle Edition,view,/book/show/54838353-book-of-spies
157,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Recruit        (Detective Ben Wade, #2)","Drew, Alan*",0399592121,9780399592126,0399592121,432        pp,3.95,684,"Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 14, 2022",,Hardcover,view,/book/show/59219568-the-recruit
158,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chinese Secret Service - Kang Sheng and the Shadow Government in Red China,"Faligot, Roger",0688097227,9780688097226,0688097227,527        pp,3.93,27,1987,"Jan 01, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,excellent detail about the murderous efforts to disrupt China and eliminate the enemies of those in power ... so clear in describing life when dictatoexcellent detail about the murderous efforts to disrupt China and eliminate the enemies of those in power ... so clear in describing life when dictators rule...more,Notes are private!,0,10,4,"Dec 17, 2022Oct 02, 2022Jun 14, 2022Mar 23, 2024","Dec 29, 2022Nov 25, 2022Jun 19, 2022not set","Jun 14, 2022",,Hardcover,view (with text),/book/show/660047.The_Chinese_Secret_Service_Kang_Sheng_and_the_Shadow_Government_in_Red_China
159,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nixon and Mao: The Week That Changed the World,"MacMillan, Margaret",140006127X,9781400061273,140006127X,432        pp,3.88,"1,027","Sep 01, 2005","Feb 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jun 14, 2022",,Hardcover,view,/book/show/9753.Nixon_and_Mao
160,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Tiger,"Choo, Yangsze*",1250175453,9781250175458,1250175453,372        pp,3.86,"59,921","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 30, 2022","Jun 13, 2022","May 30, 2022",,Hardcover,view,/book/show/39863482-the-night-tiger
161,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"China Hands: Nine Decades of Adventure, Espionage, and Diplomacy in Asia","Lilley, James R.",1586483439,9781586483432,1586483439,448        pp,3.82,181,2004,"Jul 06, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"outstanding memoir ... with lots of incidents, details and observations which will be most useful in my novel-in-process ... I am considering making Joutstanding memoir ... with lots of incidents, details and observations which will be most useful in my novel-in-process ... I am considering making James Lilley, who was the only CIA designate to the U.S. Liaison Office in Beijing, a character in the novel, and having him interact for the year 1973 with one of my major fictional charactershere is Lilley's sense of China in 1973 ... violent stage of Cultural Revolution had petered out ... political infighting continued ... pragmatists led by Zhou and soon to include Deng Xiaoping ... vs radicals led by Jiang Qing (Mao's wife) ... Zhou favored a downplaying of the harsh ideology while radicals espoused Mao thought and called for carrying the revolution to the end ... Mao stood above the fray but manipulated the players for his own ends ... Zhou had a violent past ... he opened channels to the U.S. because China needed a counterweight to the Soviet Union in order to survive ... Zhou kept Mao's confidence (and his position/life) by supporting some of Mao's far-out ideas ... the political battle was carried out through the media under the guise of campaign slogans ... a war of words ... Lilley wondered what ordinary Chinese riding their bikes to work each morning thought about the slogans they passed...more",Notes are private!,0,5,2,"May 21, 2022Mar 23, 2024","Jun 14, 2022not set","May 21, 2022",,Paperback,view (with text),/book/show/178839.China_Hands
162,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chinese Democracy,"Nathan, Andrew J.",0520059336,9780520059337,0520059336,unknown,2.90,10,"Aug 12, 1985","Oct 08, 1986",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"UPDATE Jun 2023 ... reading again, from a different perspective, and finding many gems of thought relevant to my research ... still struggling with thUPDATE Jun 2023 ... reading again, from a different perspective, and finding many gems of thought relevant to my research ... still struggling with the idea of ""Chinese democracy""I found this a very difficult read ... the book is poorly organized ... in many cases logical chronological connections are not presented ... there are many conclusions offered that are not supported by any evidence ... and of course the title alone is suspicious ... what exactly is ""Chinese democracy""?...more",Notes are private!,0,12,2,"Aug 28, 2023not set","Aug 29, 2023not set","May 21, 2022",,Paperback,view (with text),/book/show/1571768.Chinese_Democracy
163,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zhou Enlai: A Political Life,"Barnouin, Barbara",9629962802,9789629962807,9629962802,404        pp,4.00,9,"Jun 01, 2007","Jul 24, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a superb view of Zhou's life ... including much well-warranted praise but also examples where Zhou's dismaying performance was driven by his lifelong a superb view of Zhou's life ... including much well-warranted praise but also examples where Zhou's dismaying performance was driven by his lifelong need to stay on the good side of Mao Zedong, regardless of how insane and horrifying Mao's policies and actions were ... in my new novel-in-process I will explore these issues from Zhou Enlai's perspective even as I try to imagine how he lived with himself over the last 10 years of his life...more",Notes are private!,0,9,1,"May 20, 2022",Jun 2022,"May 20, 2022",,Paperback,view (with text),/book/show/1367803.Zhou_Enlai
164,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Different Dawn        (Nina Guerrera, #2)","Maldonado, Isabella*",1542022797,9781542022798,B08H223YDH,352        pp,4.41,"10,659","Aug 10, 2021","Aug 10, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,excellent read without having to think too hard ... unlikely coincidences ... good detective work,Notes are private!,0,9,1,"May 19, 2022","May 27, 2022","May 19, 2022",,Kindle Edition,view (with text),/book/show/55531410-a-different-dawn
165,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grand Failure: The Birth and Death of Communism in the Twentieth Century,"Brzeziński, Zbigniew",0020307306,9780020307303,0020307306,304        pp,3.92,95,"Jan 01, 1994",Mar 1990,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"May 13, 2022","May 17, 2022","May 13, 2022",,Paperback,view,/book/show/439548.The_Grand_Failure
166,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Call,"Hersey, John",0140086951,9780140086959,0140086951,771        pp,3.86,57,1985,"Jul 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've only read the first 200 pages but so far it is a fascinating portrait of the missionary movement in China ... what I find most appalling, althougI've only read the first 200 pages but so far it is a fascinating portrait of the missionary movement in China ... what I find most appalling, although not surprising, is the arrogant attitude of the American missionaries as they sought to bring Christ to the heathens of China ... two excerpts make the point... Mark you the providence of the Lord in opening the door of faith unto the Chinese Gentiles ... God sent the gunboats and he cannons ... He let us use the English strength to hold the heathen still so he would listen to us ... ... western nations are superior because of Christianity our Christian missions have a duty to instill in these heathen nations a new conscience to rid them of moral laxity and social injusticeREALLY? ... and don't think for a minute that the Chinese don't remember and will patiently wait for their revenge...more",Notes are private!,0,6,1,not set,"Apr 08, 2023","May 13, 2022",,Paperback,view (with text),/book/show/116241.The_Call
167,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",,,B092FX6HYZ,70        pp,4.19,"153,383","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We are taken within the mind of a good man who supports his wife and daughters, is honest and caring with his workers and his neighbors, and occasionaWe are taken within the mind of a good man who supports his wife and daughters, is honest and caring with his workers and his neighbors, and occasionally wonders if there is any larger purpose in his life. He comes across a terrible wrong perpetrated by the Catholic Church and struggles with the implications of acting or not acting in what he knows is a decision which, either way, will shape the rest of his life. Claire Keegan has given us the privilege of accompanying that good man in his struggle....more",Notes are private!,0,26,1,"May 05, 2022","May 06, 2022","May 05, 2022",,Kindle Edition,view (with text),/book/show/59016923-small-things-like-these
168,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trail of Secrets,"Goudge, Eileen*",0451185269,9780451185266,0451185269,528        pp,3.87,913,"Mar 01, 1996","Jan 01, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I found this to be a fascinating read ... the plot is challenging and engrossing ... but the real attraction for me is the ability of the author to suI found this to be a fascinating read ... the plot is challenging and engrossing ... but the real attraction for me is the ability of the author to sustain from start to finish an extraordinarily high emotional level throughout the story and through several different points of view...more,Notes are private!,0,8,1,not set,not set,"May 04, 2022",,Mass Market Paperback,view (with text),/book/show/389695.Trail_of_Secrets
169,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold Hard Truth        (Boston Crime Thriller Book 5),"Shea, Brian Christopher*",,,B08XWL5HPZ,304        pp,4.55,"1,522",unknown,"Mar 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,a strong read ... except that the perpetrator was known (to me) almost from the beginning but it took the cops much longer to make what I thought was a strong read ... except that the perpetrator was known (to me) almost from the beginning but it took the cops much longer to make what I thought was an obvious connection ...more,Notes are private!,0,10,1,"Apr 23, 2022","Apr 27, 2022","Apr 23, 2022",,Kindle Edition,view (with text),/book/show/57551224-cold-hard-truth
170,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Claws of the Dragon: Kang Sheng-The Evil Genius Behind Mao and His Legacy of Terror in People's China,"Byron, John",0671797166,9780671797164,0671797166,560        pp,3.62,16,Jan 1992,"Jan 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Apr 20, 2022Mar 23, 2024","Apr 20, 2022not set","Apr 20, 2022",,Paperback,view,/book/show/553841.The_Claws_of_the_Dragon
171,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,China Boys: How U.S. Relations with the PRC Began and Grew. a Personal Memoir,"Platt, Nicholas",0984406220,9780984406227,0984406220,386        pp,4.43,7,"Mar 08, 2010","Mar 08, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,a memoir ... covering preparations for and the Nixon visit to China ... numerous observations from a person who was there ...,Notes are private!,0,7,1,"May 20, 2022","Jun 12, 2022","Apr 20, 2022",,Paperback,view (with text),/book/show/7943183-china-boys
172,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Search For Modern China,"Spence, Jonathan D.",0393307808,9780393307801,0393307808,912        pp,4.20,"2,968",Apr 1990,1991,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 19, 2022",,Paperback,view,/book/show/162556.The_Search_For_Modern_China
173,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voice of Freedom: Fannie Lou Hamer: The Spirit of the Civil Rights Movement,"Weatherford, Carole Boston",1536203254,9781536203257,1536203254,56        pp,4.31,"2,736","Aug 04, 2015","Dec 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2022",,Paperback,view,/book/show/40016028-voice-of-freedom
174,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,His Truth Is Marching On: John Lewis and the Power of Hope,"Meacham, Jon",1984855026,9781984855022,1984855026,354        pp,4.51,"6,046","Oct 13, 2020","Aug 25, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Meacham gives us a beautifully written and very moving portrayal of John Lewis' life, with emphasis on his leadership role in the 1960s some excerpts Meacham gives us a beautifully written and very moving portrayal of John Lewis' life, with emphasis on his leadership role in the 1960s some excerpts ...... “In the final analysis, we are one people, one family, one house—not just the house of black and white, but the house of the South, the house of America,” Lewis said. “We can move ahead, we can move forward, we can create a multiracial community, a truly democratic society. I think we’re on our way there. There may be some setbacks. But we are going to get there.... The story of the civil rights movement is often rendered as a struggle between nonviolence and violence, between the demand for “Freedom Now” and the cry for “Black Power.” John Lewis and Martin Luther King preached and practiced nonviolence ... No one in Lewis’s column expected to make it to Montgomery. In the face of Wallace’s order, however, they felt they had no choice but to proceed. ... about 625 people ... silently walked from Sylvan Street to Alabama Avenue to the Pettus Bridge, named for a Confederate general who had served as a grand dragon of the Ku Klux Klan. ... “This is an unlawful assembly,” Major John Cloud announced as the marchers reached the bottom of the bridge, face-to-face with the lawmen. It was 2:52 P.M. “Your march is not conducive to the public safety. You are ordered to disperse and go back to your church or to your homes.” ... John Lewis’s life reached a kind of crescendo. He was still so young—he had turned twenty-five two weeks before—and yet there on that strip of road he was like a martyr or a prophet of old. ... “We couldn’t go forward,” he recalled. “We couldn’t go back. There was only one option left that I could see.” ... “We should kneel and pray,” Lewis said to a nodding Williams. They wouldn’t have time. A moment had passed since Cloud had issued his final warning. “You saw these men putting on their gas masks,” Lewis said. Now he heard Cloud’s voice pierce the air. “Troopers,” the major cried, “advance!” Within seconds—to Lewis it seemed instantaneous—the wave of blue struck. He remembered the enormity, the totality, of the reaction of his attackers. “The troopers and possemen swept forward as one, like a human wave, a blur of blue shirts and billy clubs and bullwhips,” Lewis recalled. “We had no chance to turn and retreat.” The pain was to be endured. ... Charles Mauldin, a seventeen-year-old who was in the third row of the column, heard the blow. “I’ll never forget the sound of the billy club hitting John’s head,” Mauldin recalled. “It made this sickening, harsh thwack.” ... Lewis struggled back to consciousness. “I was bleeding badly,” he recalled. “My head was now exploding with pain. That brief, sweet sense of just wanting to lie there was gone. I needed to get up. I’d faded out for I don’t know how long, but now I was tuned back in.” The journey back to Brown Chapel was a blur ... At an impromptu mass meeting in the sanctuary, Lewis, bloodied and dirty, with a fractured skull and what one SNCC worker described as a “small hole in his head,” told the frightened congregation, “I don’t understand how President Johnson can send troops to Vietnam and cannot send troops to Selma, Alabama, to protect the citizens who want to register to vote in America.” He was seeing double as he spoke; the pain was enveloping. ... Strapped in the chair, Lewis was allowed through the police cordon, was loaded into the bread truck, and was taken to Good Samaritan, a few blocks away. ... Dr. Isabel Dumont diagnosed Lewis with a severe concussion and a fractured skull. He was attended to, given painkillers, and put to bed in the hospital. He was asleep by ten P.M....more",Notes are private!,0,5,1,"Jul 15, 2022","Jul 21, 2022","Apr 19, 2022",,Hardcover,view (with text),/book/show/53431510-his-truth-is-marching-on
175,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inner Circle        (Culper Ring #1),"Meltzer, Brad*",,,,455        pp,3.82,"25,056","Jan 11, 2011","Jan 11, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You really need to be able to deal with major uncertainty to enjoy this read ... who can be trusted is a question the answer to which is constantly chYou really need to be able to deal with major uncertainty to enjoy this read ... who can be trusted is a question the answer to which is constantly changing ... exciting action, interesting characters, and a plot that captivates ... the ending, however, was strained and just a tad unsatisfying (which is why 4**** rather than 5*****)...more",Notes are private!,0,10,1,"Apr 19, 2022","Apr 23, 2022","Apr 19, 2022",,Kindle Edition,view (with text),/book/show/10220261-the-inner-circle
176,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Laundry Man        (The Jack Shepherd Novels #1),"Needham, Jake*",,,,unknown,3.77,"1,461","Jan 01, 2002",Oct 2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was very confusing at the beginning, with too many strange characters to remember and not enough links provided to joggle the memory. HoweveThis book was very confusing at the beginning, with too many strange characters to remember and not enough links provided to joggle the memory. However, as they began to die off (no natural deaths) it became easier to place those remaining. This issue, btw, is a reminder to me in my own writing to always make it easy for the reader to follow the story and the characters. The second half of Laundry Man, all action, was terrific, enough to put #2 on my list. I also learned a great deal about the mechanics of money laundering, which may be featured in my novel-in-progress....more",Notes are private!,0,11,2,"Sep 25, 2023not set","Sep 26, 2023Apr 18, 2022","Apr 18, 2022",,Kindle Edition,view (with text),/book/show/48588427-laundry-man
177,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wilful Blindness: How a Criminal Network of Narcos, Tycoons and CCP Agents Infiltrated the West","Cooper, Sam",,,,472        pp,4.16,419,"May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 07, 2022",,Kindle Edition,view,/book/show/57427971-wilful-blindness
178,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire of Lies: The Truth about China in the Twenty-First Century,"Sorman, Guy",1594032165,9781594032165,1594032165,325        pp,3.68,59,"Mar 30, 2007","Apr 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 06, 2022",,Hardcover,view,/book/show/2626598-empire-of-lies
179,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Speaks for the Negro?,"Warren, Robert Penn",039445183X,9780394451831,039445183X,454        pp,3.85,39,Jun 1965,"Jan 01, 1965",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a marvelously written (of course) source book for many aspects of the Negro fight for rights in 1964 ... interviews with Reverend Martin Luther King, a marvelously written (of course) source book for many aspects of the Negro fight for rights in 1964 ... interviews with Reverend Martin Luther King, Jr., Malcom X, and James Baldwin, as well as many lesser-known individuals a few excerpts ...... Negroes point with pride to Mrs. Fannie Lou Hamer, who, after being thrown off the plantation where for eighteen years she had been a sharecropper, learned to take jailings and harassments and beatings, and wound up as a candidate for Congress on the Freedom Democratic ticket, in the Second Congressional District, and as a delegate of the same party to the Democratic National Convention at Atlantic City.... the white man is afraid his deeds are going to follow him, and he feels that once the Negro gets in power, the Negro is going to remember all of the dirty deals that he has gotten from the white community.... The house is set near the street, parallel to it, and this bedroom is on the street side. I hear a car pass. I think of the guard peeking through the slit in the curtain. The walls are clapboard, thin. These walls have been raked before with fire from a high-powered rifle.... going down to register and the Registrar disappears. And so they stay all day, and somebody comes and says, “Well, we’ve got to close up now, come back tomorrow.”... in order to justify slavery the early Americans found it necessary to dehumanize and completely emasculate the Negro....more",Notes are private!,0,9,1,not set,not set,"Apr 05, 2022",,Hardcover,view (with text),/book/show/1655813.Who_Speaks_for_the_Negro_
180,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Shtetl,"Gross, Max",0062991124,9780062991126,0062991124,416        pp,3.80,"3,172","Oct 13, 2020","Oct 13, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I stopped reading ... it's a potentially interesting concept, but neither the plot and nor the characters grabbed my attentionI stopped reading ... it's a potentially interesting concept, but neither the plot and nor the characters grabbed my attention...more",Notes are private!,0,9,1,"Mar 29, 2022","Mar 31, 2022","Mar 29, 2022",,Hardcover,view (with text),/book/show/50496905-the-lost-shtetl
181,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Law: A Forgotten History of How Our Government Segregated America,"Rothstein, Richard",1631492853,9781631492853,1631492853,368        pp,4.45,"38,847","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2022",,Hardcover,view,/book/show/32191706-the-color-of-law
182,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cipher        (Nina Guerrera, #1)","Maldonado, Isabella*",1542022487,9781542022484,B083J7QQ89,332        pp,4.19,"38,038","Nov 01, 2020","Nov 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The crimes and the criminal were brutal, perhaps too much so ... however, analysis and tracking down of the criminal were superb ... enough to lead meThe crimes and the criminal were brutal, perhaps too much so ... however, analysis and tracking down of the criminal were superb ... enough to lead me to the next book in this series...more",Notes are private!,0,7,1,"Mar 22, 2022","Mar 27, 2022","Mar 22, 2022",,Kindle Edition,view (with text),/book/show/53966623-the-cipher
183,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Colours of Darkness,"Robinson, Peter",,9781844568451,B002V0920G,415        pp,3.92,"7,479","Sep 30, 2008",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2022",,Kindle Edition,view,/book/show/11937451-all-the-colours-of-darkness
184,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill Them Cold        (Hidden Norfolk #7),"Dalgliesh, J M*",,,B08LW43GK5,307        pp,4.40,"8,094","Apr 01, 2021","Apr 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After a bit of a slow start, the pace picks up and the investigative process is fascinating ... some of the Q&A is just brilliant",Notes are private!,0,9,1,"Mar 10, 2022","Mar 19, 2022","Mar 10, 2022",,Kindle Edition,view (with text),/book/show/55952910-kill-them-cold
185,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart's Invisible Furies,"Boyne, John*",,,,582        pp,4.51,"162,337","Feb 09, 2017","Aug 22, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 10, 2022","Jun 07, 2023","Mar 10, 2022",,Hardcover,view,/book/show/33253215-the-heart-s-invisible-furies
186,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boy in the Striped Pajamas,"Boyne, John*",,,,224        pp,4.16,"830,294",2006,"Sep 12, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Boyne offers a moving way to present aspects of the Holocaust seen through the eyes of a 9 year old boy ... could it happen exactly this way? probablyBoyne offers a moving way to present aspects of the Holocaust seen through the eyes of a 9 year old boy ... could it happen exactly this way? probably not ... but for me that didn't matter ... the intensely growing emotion was presented beautifully, step by horrible stepAs always, I read the s on GR after I write and post my own comments. Many of you didn't like the book because it is wrong on many details and because it is not possible for Bruno to be so naive. I think those who feel this way are correct on both counts, but for me that made no difference. I don't regard Boyne's book as historical fiction, which I write and which I believe should always present the history accurately. I see it rather as an allegory, a story which contains a powerful message based on what Bruno knew and didn't know, and not whether Bruno's knowledge was accurate. It is a book of feeling rather than fact, and on that basis it is a marvelous success....more",Notes are private!,0,31,1,not set,not set,"Mar 06, 2022",,Hardcover,view (with text),/book/show/39999.The_Boy_in_the_Striped_Pajamas
187,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boy in the Striped Pyjamas,"Boyne, John*",,,,226        pp,4.16,"830,294",2006,"Dec 18, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2022","Mar 06, 2022","Mar 03, 2022",,Kindle Edition,view,/book/show/6011665-the-boy-in-the-striped-pyjamas
188,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Claws of the Dragon: Kang Sheng - The Evil Genius Behind Mao - And His Legacy of Terror in People's China,"Byron, John",0671695371,9780671695378,0671695371,560        pp,3.62,16,Jan 1992,"Jan 01, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a goldmine of information as I research for my novel-in-process ... Kang Sheng was evil, and he achieved power by shockingly evil means ... it was neva goldmine of information as I research for my novel-in-process ... Kang Sheng was evil, and he achieved power by shockingly evil means ... it was never clear to me, however, whether Kang was leading Mao, as Byron suggests, or whether Mao was using Kang ... perhaps both were true ... interesting choices ahead for me as I wrote my historical novel...more",Notes are private!,0,6,2,"not setFeb 27, 2022","May 30, 2022May 30, 2022","Feb 27, 2022",,Hardcover,view (with text),/book/show/1621888.The_Claws_of_the_Dragon
189,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Flight,"Clark, Julie*",1728215722,9781728215723,1728215722,320        pp,4.11,"204,085","Jun 02, 2020","Jun 23, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,a terrific read ... multiple plot twists as two women desperately seeking to change their lives interact without ever meeting ... until,Notes are private!,0,15,1,not set,"Feb 19, 2022","Feb 20, 2022",,Hardcover,view (with text),/book/show/52652923-the-last-flight
190,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",,,B08JKC299M,317        pp,3.82,"113,966","May 11, 2021","May 11, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a psychological thriller of the highest order ... plot twists which I did not foresee ... also much about the problems, issues and glory of writing, ta psychological thriller of the highest order ... plot twists which I did not foresee ... also much about the problems, issues and glory of writing, told with great perception from a writer's point of view...more",Notes are private!,0,18,1,"Feb 20, 2022","Feb 27, 2022","Feb 20, 2022",,Kindle Edition,view (with text),/book/show/56048747-the-plot
191,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Zoo        (Zoo, #1)","Patterson, James*",1846058295,9781846058295,B009QWHMJA,395        pp,3.51,"45,668","Sep 03, 2012","Sep 03, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2022",,Hardcover,view,/book/show/13353667-zoo
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Piece of My Heart        (Inspector Banks, #16)","Robinson, Peter",0060544368,9780060544362,0060544368,448        pp,4.00,"6,298",2006,"Apr 24, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Feb 13, 2022",,Mass Market Paperback,view,/book/show/467505.Piece_of_My_Heart
