,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Alan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Best Microfiction 2021,"Pokrass, Meg",1949790444,9781949790443,1949790444,248        pp,4.48,31,unknown,"Jul 10, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Diverse bunch of tiny fictions, some of which get right under your skin, some are like taking a deep breath of fresh air on a sunny day, some the oppoDiverse bunch of tiny fictions, some of which get right under your skin, some are like taking a deep breath of fresh air on a sunny day, some the opposite, rainy and tight (and good), and some just passed me by....more",Notes are private!,0,1,1,"Dec 15, 2023","Dec 19, 2023","Dec 15, 2023",,Paperback,view (with text),/book/show/58505424-best-microfiction-2021
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Local Fires,"Jones, Joshua",1913640590,9781913640590,1913640590,250        pp,4.51,43,unknown,"Mar 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Paperback,view,/book/show/150042335-local-fires
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Love Lost,"Ingalls, Rachel",0571376584,9780571376582,0571376584,465        pp,3.84,56,"Apr 04, 2023","Apr 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Paperback,view,/book/show/61433306-no-love-lost
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emergency,"Alcott, Kathleen",1324051884,9781324051886,1324051884,208        pp,3.84,361,"Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Hardcover,view,/book/show/62586010-emergency
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parables, Fables, Nightmares","McIntosh, Malachi",1915628199,9781915628190,1915628199,117        pp,4.44,16,"Sep 14, 2023","Sep 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I know Malachi (we were in the same book (The Book of Birmingham, 2018)), and heard him read from this wonderful collection last week down in lovely DI know Malachi (we were in the same book (The Book of Birmingham, 2018)), and heard him read from this wonderful collection last week down in lovely Digbeth in a bar under the railway arches. These stories are full of humour and insight, especially when about office work/politics, young fatherhood, racism or how not to react when sent a box of limbs. There’s mystery here too, an unseen suicide from a railway platform, the grief that releases slowly after a child brother’s death. Beautiful prose as always....more",Notes are private!,0,5,1,"Dec 12, 2023","Dec 18, 2023","Dec 12, 2023",,Paperback,view (with text),/book/show/195500356-parables-fables-nightmares
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Signals,"Huggins, Amanda*",,9781907341854,,16        pp,3.75,4,unknown,Dec 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another Nightjar Press short: child’s pov story of possible killer next door. Set in the 70s, she has T Rex and Bowie on her wall. Well put together.",Notes are private!,0,2,1,not set,"Dec 12, 2023","Dec 12, 2023",,Paperback,view (with text),/book/show/203146686-signals
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let's Hang Out,"Turnbull, Charlotte",,9781907341830,,16        pp,4.25,4,unknown,Nov 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A Nightjar Press story: batshit crazy.,Notes are private!,0,0,1,not set,"Dec 11, 2023","Dec 11, 2023",,Paperback,view (with text),/book/show/203146753-let-s-hang-out
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hole,"Stone, Robert",,9781907341847,,13        pp,4.40,5,unknown,Nov 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another beautifully written, unsettling story from Nightjar Press. A man finds the whole of his bac garden has disappeared down a hole: his reaction iAnother beautifully written, unsettling story from Nightjar Press. A man finds the whole of his bac garden has disappeared down a hole: his reaction is odd. His neighbour doesn’t seem put out…...more",Notes are private!,0,1,1,not set,"Dec 11, 2023","Dec 11, 2023",,Paperback,view (with text),/book/show/203146717-hole
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snowdrops,"McNish, Cliff*",1907341870,9781907341878,1907341870,19        pp,4.67,3,unknown,Dec 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Been reading a few new Nightjar Press releases - they are single stories, usually around 15 pages, limited editions (200 ) - this one’s a humdinger.",Notes are private!,0,0,1,not set,"Dec 11, 2023","Dec 11, 2023",,Paperback,view (with text),/book/show/203146606-snowdrops
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sterile Sun,"Slade, Caroline",,,B00085NTFA,156        pp,4.25,4,1936,1936,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/40881551-sterile-sun
