,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karolyn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
189,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Testaments        (The Handmaid's Tale, #2)","Atwood, Margaret*",,,,422        pp,4.19,"352,092","Sep 10, 2019","Sep 10, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE TESTAMENTS, by the esteemed Margaret Atwood, fell way short of my expectations. As Atwood's sequel (35 years later) to THE HANDMAID'S TALE, I expeTHE TESTAMENTS, by the esteemed Margaret Atwood, fell way short of my expectations. As Atwood's sequel (35 years later) to THE HANDMAID'S TALE, I expected superb writing and that I would have to brace myself for horrifying new scenarios for the oppressed women of Gilead. Instead, the book was dull. (Not that I was rooting for female torture!, I had simply braced for more unimaginable scenes, of which there were a couple that I skimmed over.)I read THE HANDMAID'S TALE in the 1990s and could barely make it through what I now know as dystopian fiction. The treatment of the women was more than I could stand. I have since watched the HULU production of THE HANDMAID'S TALE, and while I am still horrified by what happens (it is set in the future, though Atwood never says what decade or even century), the ""shock of the new"" has evaporated. Intentionally vague in her earlier book, Atwood gives us a few more details in THE TESTAMENTS about how the new country known as Gilead came to be: In primarily the northeast section of the United States, the radical Sons of Jacob terrorist group staged a coup. They ""liquidated Congress"" and took over control of the US Government, installing Puritan males as their leaders and suppressing all women. During the revolution a nuclear catastrophe occurs, thereby sterilizing most women (and presumably some of the men). The ""Commanders"" get to choose their young and beautiful wives, and if they are sterile, then the couple gets a Handmaid to act as a surrogate mother for the couple. You can see how this might go badly. Anyone, male or female, who disobeys the strict, puritanical laws (or whom the Commanders want out of the way) gets killed in the most gruesome, public manor you can imagine. Probably worse than you can imagine. In the acknowledgements of THE TESTAMENTS, Atwood says she had been working on The Testaments on and off for much of the past 35 years. That must be true, however this book feels rushed, like an early draft not a final draft of such an accomplished writer. My guess is that because HULU is about to release Season 4 of their version of THE HANDMAID'S TALE, Atwood felt she had to get her version out before them. This book ""tells"" most of the story in dry, clichéd scenes, alternately narrated by Aunt Lydia, Baby Nicole, and Agnes. (If you know anything about this story, you will know who those women are.) I was eager to learn how Atwood would end her story, but it was exactly as I would have guessed. The final chapter of the book is a scene from the ""Thirteenth Symposium on Gileadean Studies,"" held in 2197. TWO HUNDRED years in the future. Except the lecturers are still doing a slide show and talking about handing out paper versions of their studies. That is NOT how I expect information to be traded two hundred years from now. For someone who's mind could come up with a story like THE HANDMAID'S TALE, I was hugely disappointed that she didn't have a much more creative view of life that far in the future. TWO boring STARS...more",Notes are private!,0,0,1,"May 21, 2020","May 25, 2020","Sep 14, 2019",,Hardcover,view (with text),/book/show/42975172-the-testaments
190,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valley of the Dolls,"Susann, Jacqueline",0802125344,9780802125347,0802125344,466        pp,3.83,"67,779",Feb 1966,"Jul 04, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is it possible to read a book like VALLEY OF THE DOLLS, written in 1966 by Jacqueline Susann, without some degree of expectations? As controversial anIs it possible to read a book like VALLEY OF THE DOLLS, written in 1966 by Jacqueline Susann, without some degree of expectations? As controversial and popular as it was in the sixties and seventies (after the movie came out), its reputation and aura seemingly warped, twisted, and gathered steam over the past five decades. Whenever this book came up in conversation, people I know still slightly blushed and giggled about it. I decided to read this “dirty book” for myself to see what all the hype was about. Fifty-three years on, it seems almost tame! Though, obviously, the book stayed the same, and the world changed. This novel tells the sad story of three women (Anne, Neely, and Jennifer) in the entertainment industry over twenty years, from 1945 to 1965. The women meet in New York City through an agent named Henry Bellamy when they are young, gorgeous, naive, and eager. In the closing pages, they are none of those. Money, fame, drugs, men, and time ravage them in different ways and to different degrees. Contrary to what I expected, “dolls” are pills: uppers and downers, mostly; the “valley” is certainly the depth of their destruction. This story is well-written, but very long and overly detailed in some parts. Plus the dialogue is often stiff and formal. I imagine when this book came out, there was a lot of speculation (or knowledge) about who each character was supposed to represent (a roman à clef), because the details were that specific. Today it reads as almost tedious, because it seems Susann tried overly hard to keep it accurate. Three wild not dirty Stars...more",Notes are private!,0,1,1,"Sep 26, 2019","Oct 02, 2019","Sep 14, 2019",,Paperback,view (with text),/book/show/27070076-valley-of-the-dolls
191,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Parisian,"Hammad, Isabella*",0802129439,9780802129437,0802129439,576        pp,3.58,"4,689",Apr 2019,"Apr 09, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE PARISIAN, by Isabella Hammad, was too much for me. I put it down after Part 1. This novel opens in 1914, as Midhat Kamal, a young med student, traTHE PARISIAN, by Isabella Hammad, was too much for me. I put it down after Part 1. This novel opens in 1914, as Midhat Kamal, a young med student, travels by ship from Nablus, a town in Ottoman Palestine to Marseille, France. He lives with a French family, and falls in love with the daughter. Where Hammad lost me was when Midhat returns to Palestine. I simply couldn't follow the story. This 550-page book begins with a character list that goes on for three pages. It ends with an 11-page timeline that covers the fifty years of the story. I don't want to work that hard for my leisure reading! THE PARISIAN might have the best story ever in between, but I will never know.Two complex Stars...more",Notes are private!,0,0,1,"Oct 06, 2019","Oct 14, 2019","Sep 01, 2019",,Hardcover,view (with text),/book/show/42360847-the-parisian
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Warlight,"Ondaatje, Michael",0525562966,9780525562962,0525562966,304        pp,3.60,"44,610","May 08, 2018","Apr 02, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My struggle with this book is different from many of the s I've read. WARLIGHT is the story of two teenage siblings (Rachel and Nathaniel) who aMy struggle with this book is different from many of the s I've read. WARLIGHT is the story of two teenage siblings (Rachel and Nathaniel) who are essentially abandoned by their parents near the end of WWII and left with their mother's colorful, though shady friends. Part I is narrated by Nathaniel in 1945, and Part 2 is told via multiple characters in 1957 as Nathaniel is supposedly trying to unravel what the hell happened. Certainly Michael Ondaatje created colorful characters and wrote picturesque, engaging scenes. The stakes are high for the kids and the setting is exciting. The problem for many people (myself included) is the nearly-impossible-to-follow plot. So, it's ""character driven."" I can accept that because I love literary fiction. The problem with this book is the loose and fractured POV. The back cover of the novel states, ""... A dozen years later, Nathaniel begins to uncover all he didn't know or understand during that time, and it is this journey—through reality, recollection, and imagination—that is told in this magnificent novel."" IMAGINATION? Seriously? Here we have a high-level, literary, WWII, coming of age, spy novel, and the protagonist (Nathaniel) gets to IMAGINE what really happened? I don't think that's how high-level, literary, WWII, coming of age spy novels work. Many chapters in Part 2 are written in the POV of various characters from Part 1. However, roughly 150 years ago Mark Twain said, ""Truth is stranger than fiction, but it is because fiction is obliged to stick to the possibilities, truth isn't."" In other words, maybe in real life we can imagine events we were not privy to, but high-level, literary, WWII, coming of age, spy novels have to follow the rules. Otherwise, the book should be shelved in science fiction. Nathaniel needed to discover the answers to his crazy childhood through legitimate means. If he had, I might have loved this book. Two disappointing Stars...more",Notes are private!,0,0,1,"Oct 16, 2019","Oct 30, 2019","Sep 01, 2019",,Paperback,view (with text),/book/show/42359551-warlight
193,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,521","Apr 03, 2018","Apr 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE OVERSTORY, by Richard Powers, absolutely deserved the 2019 Pulitzer Prize for Fiction. It's that good. That being said, I think one of the qualifiTHE OVERSTORY, by Richard Powers, absolutely deserved the 2019 Pulitzer Prize for Fiction. It's that good. That being said, I think one of the qualifications for the prize must be that the story educate its readers. Indeed, this book leans pedantic. The Overstory is about trees and their importance to the health and longevity of the Earth, and therefore humans. I loved learning more about the history, gestation, and growth of trees. I have a new appreciation for old trees as I go on walks in my neighborhood. This book made me care about trees in ways I never did before. Thankfully, Powers wrapped the information about trees inside stories about nine unique and diverse characters. Each of them has an entirely different experience with trees. By weaving these characters together over multiple generations, Powers developed a plot and created suspense worth reading. I think the audience for THE OVERSTORY will be small. But people who like nature and deep, elegiac novels with beautiful writing will love this book.FOUR glorious STARS...more",Notes are private!,0,0,1,"Mar 19, 2020","Apr 14, 2020","Sep 01, 2019",,Paperback,view (with text),/book/show/40180098-the-overstory
194,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",0385537077,9780385537070,0385537077,213        pp,4.26,"245,127","Jul 16, 2019","Jul 16, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you gave one hundred people the assignment to write a novel based on the real life story of Florida's Dozier (reform) School for Boys, a school nowIf you gave one hundred people the assignment to write a novel based on the real life story of Florida's Dozier (reform) School for Boys, a school now known to have secretly abused and killed young black boys in the 20th century, you would get a hundred wildly different novels. If one of those writers was Colson Whitehead, a Pulitzer Prize and National Book Award winning black author, it's not a stretch to think he might produce the best story of those hundred entries. So maybe my expectations were a tad high.THE NICKEL BOYS, by Whitehead, felt rushed and superficial, like a first draft. For a story based on such a tragic reality, this novel skimmed the life of one boy, Elwood Curtis, who was arrested and sent to the ""Nickel Academy"" on entirely trumped up charges because he was a black youth in the wrong place in the sixties. Elwood, who Whitehead says is entirely fabricated, was a near-perfect kid, working at every turn to be good and excel under the harshest of conditions. (He was picked up on his way to take college classes as a high school student.) Regardless, Elwood was horrifically punished for his transgressions. The best part of this brief story, IMHO, was Elwood's inner dialogue as he contemplates the preachings of Martin Luther King, Jr, which he heard on a record album his grandmother gave him and read about in news clippings she sent him at Nickel. Elwood struggles with how to follow King's teachings, specifically: ""Throw us in jail and we will still love you."" Elwood did not love his captors. He tries to follow King's belief that blacks will prevail by holding out hope and love. Instead, this is what leads to his undoing.I found this 200-page novel to be slow and full of TELLING. (Contrary to the adage: Show, don't tell.) For what could have been a book as powerful as Whitehead's THE UNDERGROUND RAILROAD, I must say this seriously disappointed me. Two Sad Stars...more",Notes are private!,0,1,1,Sep 2019,"Sep 14, 2019","Sep 01, 2019",,Hardcover,view (with text),/book/show/42279228-the-nickel-boys
195,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Prisoner of Azkaban        (Harry Potter, #3)","Rowling, J.K.",043965548X,9780439655484,043965548X,435        pp,4.58,"4,185,023","Jul 08, 1999","May 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The third installment of the Harry Potter series is far better than the second. In this, Sirius Black, the infamous fried of He-who-shall-not-be-namedThe third installment of the Harry Potter series is far better than the second. In this, Sirius Black, the infamous fried of He-who-shall-not-be-named and a convicted murderer, escapes from the inescapable prison known as Azkaban. Full of twists and surprises, this book is a page-turner.Four creepy Stars ...more",Notes are private!,0,1,1,"Jul 26, 2019","Aug 03, 2019","Jul 26, 2019",,Mass Market Paperback,view (with text),/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
196,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Chamber of Secrets        (Harry Potter, #2)","Rowling, J.K.",,,B00ES27LCQ,352        pp,4.43,"3,928,287","Jul 02, 1998","Jun 02, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This, the second Harry Potter installment, didn't hold up to Rowling's The Sorcerer's Stone, but I think that's inherent to a series. The first half oThis, the second Harry Potter installment, didn't hold up to Rowling's The Sorcerer's Stone, but I think that's inherent to a series. The first half of The Chamber of Secrets was slow and full of reminders and set-up. The second half, though, became rapid and engaging. Regardless, it's a fun storyline with wonderful characters.On to the next one.Three less than magical Stars...more",Notes are private!,0,1,1,"Jul 18, 2019","Jul 25, 2019","Jul 26, 2019",,Hardcover,view (with text),/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
197,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Sorcerer's Stone        (Harry Potter, #1)","Rowling, J.K.",,,0439554934,309        pp,4.47,"10,053,016","Jun 26, 1997","Nov 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"HARRY POTTER AND THE SORCERER'S STONE, by the phenomenal JK Rowling, masterfully hits all the notes in storytelling. No news there in 2019, but it desHARRY POTTER AND THE SORCERER'S STONE, by the phenomenal JK Rowling, masterfully hits all the notes in storytelling. No news there in 2019, but it deserves to be analyzed as a stand-alone story. Anyone who wants to be a writer would benefit by studying this book.Five magical Stars...more",Notes are private!,0,1,1,"Jul 10, 2019","Jul 13, 2019","Jul 12, 2019",,Hardcover,view (with text),/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
198,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Charlotte's Web,"White, E.B.",0739477072,9780739477076,0061124958,184        pp,4.20,"1,834,814","Oct 15, 1952","Apr 10, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No, I didn't read this as a child, probably because it had a spider as the main character instead of a horse. But after catching several recent randomNo, I didn't read this as a child, probably because it had a spider as the main character instead of a horse. But after catching several recent random mentions of CHARLOTTE'S WEB, by E.B. White, I decided it was time. What I learned is that I'm going to have to read it again; with the first reading, the legend overwhelmed the story. Obviously, it's a children's classic, but it didn't ""hit me"" the way I think it hits most adolescents. Maybe next time.Four sticky Stars...more",Notes are private!,0,0,1,"Jun 11, 2019","Jun 14, 2019","Jul 11, 2019",,Hardcover,view (with text),/book/show/18084919-charlotte-s-web
199,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest Book,"Blake, Sarah*",,,B07HF382WK,484        pp,3.62,"28,730","May 07, 2019","May 07, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am terribly conflicted about THE GUEST BOOK, by Sarah Blake. Normally when I finish a book, I know how I want to rate it and what to say here on GooI am terribly conflicted about THE GUEST BOOK, by Sarah Blake. Normally when I finish a book, I know how I want to rate it and what to say here on Goodreads. Not this time.For starters, I think this story is told backwards. In mysteries, the crime happens at the beginning and the ""detective"" solves it in the end. In suspense, it's the opposite. We know something bad is going to happen, and we keep turning the pages until it does, followed by the resolution. I think THE GUEST BOOK needed a lot more action up front. On page one, a random boater says, ""Somebody drowned there."" Yes, that kept me reading near the end, but the missed potential of this book is so much bigger than the action.Though the writing is often evocative and sensory, Blake presents multiple storylines for three generations of the wealthy Milton family, including Nazi sympathizers, racism, homosexuality, pre-marital sex (in the 50s), familial secrets, childhood death, and more—but all the subplots basically fizzle out; the characters don't address the issues they uncover, they just ponder them as they turn up. Blake or her editor might have thought this was more realistic, but there was no climax, no awakening or solution for the youngest generation. The ending was extremely unsatisfying.And the titular guest book? It's barely mentioned throughout and scarcely plays a part in the storyline. (I have no doubt the publishers chose the title from a list based on what would ""sell."") Plus, while jumping between the three storylines, Blake does not give us timestamps. At the beginning of each chapter it takes several frustrating sentences to figure out which era we are in. This doesn't add to the story, it slows it down. Additionally, it's told in the omniscient POV, jumping between a handful of characters in a single scene. Again, this slows down the story more than it adds. She could have used third person POV and relayed the same emotion and information via dialogue.I got the sense that Blake was trying to recreate a THORN BIRDS-type book. IMHO, she would have been much more successful if she'd pulled in the story and kept a tighter focus.Two-and-a-half watery Stars (rounded up to three)...more",Notes are private!,0,1,1,"Jun 30, 2019","Jul 11, 2019","Jun 30, 2019",,Kindle Edition,view (with text),/book/show/41138424-the-guest-book
200,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,352        pp,4.47,"1,525,764","Feb 20, 2018","Feb 20, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is an amazing story told by a brilliant woman. It is in turns heartbreaking and bursting with hope for the oppressed. Many books that have receivThis is an amazing story told by a brilliant woman. It is in turns heartbreaking and bursting with hope for the oppressed. Many books that have received as much publicity as EDUCATED, by Tara Westover, has fail to live up to their hype. This one exceeds it....more",Notes are private!,0,3,1,"Jan 10, 2020","Jan 12, 2020","May 27, 2019",,Hardcover,view (with text),/book/show/35133922-educated
201,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming,"Obama, Michelle*",,,,426        pp,4.46,"1,047,762","Nov 13, 2018","Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 27, 2019",,Hardcover,view,/book/show/38746485-becoming
202,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In a Perfect World,"Kasischke, Laura",0061766119,9780061766114,0061766119,326        pp,3.37,"2,640","Sep 23, 2009","Oct 06, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Paperback,view,/book/show/6482399-in-a-perfect-world
203,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heights,"Hedges, Peter",0525949747,9780525949749,0525949747,304        pp,3.23,"1,791",2010,"Mar 04, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/6797997-the-heights
204,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dream House,"Laken, Valerie*",0060840927,9780060840921,0060840927,352        pp,3.31,608,"Jan 01, 2009","Feb 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/4304161-dream-house
205,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Three Weissmanns of Westport,"Schine, Cathleen*",0374299048,9780374299040,0374299048,295        pp,2.95,"8,967","Feb 01, 2010","Feb 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/6670347-the-three-weissmanns-of-westport
206,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Postmistress,"Blake, Sarah*",0143145444,9780143145448,0143145444,11        pp,3.35,"44,492","Dec 24, 2009","Feb 09, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Audio CD,view,/book/show/6578507-the-postmistress
207,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unnamed,"Ferris, Joshua*",0316034010,9780316034012,0316034010,310        pp,3.33,"8,917","Jan 18, 2010","Jan 18, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/6422678-the-unnamed
208,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heat Lightning        (Virgil Flowers, #2)","Sandford, John",0399155279,9780399155277,0399155279,388        pp,4.16,"28,856","Sep 23, 2008",2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/3080212-heat-lightning
209,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Union Atlantic,"Haslett, Adam*",0385524471,9780385524476,0385524471,320        pp,3.35,"1,910",2010,"Feb 09, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/6488598-union-atlantic
210,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'll Never Be French (no matter what I do): Living in a Small Village in Brittany,"Greenside, Mark",1416586873,9781416586876,1416586873,256        pp,3.80,"2,594","Nov 04, 2008","Nov 04, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/3506388-i-ll-never-be-french-no-matter-what-i-do
211,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit Ghost,"Roth, Philip",0307387291,9780307387295,0307387291,292        pp,3.51,"5,501","Oct 01, 2007","Nov 11, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Paperback,view,/book/show/3228918-exit-ghost
212,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Close Range: Wyoming Stories,"Proulx, Annie",0684852225,9780684852225,0684852225,289        pp,3.99,"17,104","May 10, 1999","Feb 10, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Paperback,view,/book/show/27999.Close_Range
213,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Return to the Hundred Acre Wood,"Benedictus, David",0525421602,9780525421603,0525421602,201        pp,4.08,"3,453","Oct 05, 2009","Oct 05, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2010,"May 22, 2019",,Hardcover,view,/book/show/6192692-return-to-the-hundred-acre-wood
214,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pride and Prejudice,"Austen, Jane",,,,279        pp,4.29,"4,269,226","Jan 28, 1813","Oct 10, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2019",,Paperback,view,/book/show/1885.Pride_and_Prejudice
215,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Circe,"Miller, Madeline*",0316556343,9780316556347,0316556343,393        pp,4.24,"1,052,845","Apr 10, 2018","Apr 10, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 20, 2019","Apr 30, 2019","Apr 20, 2019",,Hardcover,view,/book/show/35959740-circe
216,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219117,9780735219113,,384        pp,4.39,"2,989,550","Aug 14, 2018","Aug 14, 2018",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am sorry to say I was extremely disappointed in WHERE THE CRAWDADS SING, by Delia Owens. When I heard Owens's life story, a sixty-nine-year-old womaI am sorry to say I was extremely disappointed in WHERE THE CRAWDADS SING, by Delia Owens. When I heard Owens's life story, a sixty-nine-year-old woman publishes her first novel which has now been on the NYTimes Best Seller list for 36 weeks, I was thrilled for her. I bought the book as soon as I heard about it in an interview on CBS. Set in North Carolina in the 1950s, 60s, and 70s, WHERE THE CRAWDADS SING is the story of Kya, a young marsh girl, abandoned by her family, who knows just enough to survive on her own. A few years later, when a local boy is murdered, she becomes the town's first and only suspect. She is arrested and tried for his murder. That right there is a decent premise. A story-worthy idea. Unfortunately, this book needed a LOT of editing that it didn't get. The writing goes beyond evocative, quickly becoming flowery to the point of purple prose, yet I never felt I was THERE. There is little to no talk of snakes, bugs, calloused feet, mud between her toes, etc. The dialog (especially that of the white characters: Kya, Tate, Chase) is stilted and too perfect. Kya, a natural beauty, stunning artist, and unparalleled collector of shells, feathers, and grasses who was taught to read by a handsome young boy, becomes an award winning non-fiction author of several books on nature. In other words, her success (leading up to the trial) was farcical to the point of ridiculous. It's a case of an author falling in love with her protagonist. I kind of liked the ending but not enough to elevate my rating. All writers should be as fortunate as Delia Owens, but I wish for her sake that someone along the way had given her honest advice about how unrealistic the story is. It could have been so much better.One marshy Star...more",Notes are private!,0,5,2,"May 22, 2019not set","May 27, 2019not set","Mar 21, 2019",,ebook,view (with text),/book/show/36809135-where-the-crawdads-sing
217,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Murder of Roger Ackroyd        (Hercule Poirot, #4)","Christie, Agatha",0062073567,9780062073563,0062073567,286        pp,4.27,"274,242","Jun 07, 1926","Feb 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Queen of Mystery didn't get that moniker by chance. Agatha Christie is a great writer, storyteller, and sleuth, in her own right. There is no doubThe Queen of Mystery didn't get that moniker by chance. Agatha Christie is a great writer, storyteller, and sleuth, in her own right. There is no doubt she was truly a genius. I picked up THE MURDER OF ROGER ACKROYD, written in 1926, after reading a reference to the excellent plotting. The article I read gave away the killer, so even though I knew who the killer was, I was intrigued and baffled by the case as Hercule Poirot worked through it. I haven't read enough Agatha Christie. Full stop. Or, I could continue to say I haven't read enough Agatha Christie to know if the key to all her mysteries is that there are so many characters that it's nearly impossible for a reader (on the first pass) to keep everyone and their actions straight. She plants a lot of needles in the haystack! Like a magician who keeps her audience focused on her right hand while the left is playing a trick, every character—at least in this book—is guilty of or hiding something. That muddies the waters and fuels the confusion about their honesty and motive. Christie's magic is that the answer is always so obvious when Poirot solves the crime in the final pages. FIVE magic STARS...more",Notes are private!,0,6,2,"Jan 16, 2019not set","Jan 25, 2019not set","Jan 31, 2019",,Paperback,view (with text),/book/show/9618464-the-murder-of-roger-ackroyd
