,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donald's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,104","Mar 10, 2015","Mar 10, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2021",,Hardcover,view,/book/show/22822858-a-little-life
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Infinite Jest,"Wallace, David Foster",,,,"1,088        pp",4.26,"91,903","Feb 01, 1996",2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2021",,Paperback,view,/book/show/6759.Infinite_Jest
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,237","Sep 06, 2016","Mar 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2021",,Paperback,view,/book/show/34066798-a-gentleman-in-moscow
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grass Is Always Greener over the Septic Tank,"Bombeck, Erma",,,B00ARQXXEC,256        pp,4.06,"11,613","Sep 01, 1976",Jan 2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A very clever book about life in suburbia. Her wit and talent with irony are of the highest order. The book will definitely evoke chuckles.,Notes are private!,0,12,1,Dec 2021,"Dec 03, 2021","Dec 01, 2021",,Kindle Edition,view (with text),/book/show/18218565-the-grass-is-always-greener-over-the-septic-tank
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antitrust: Taking on Monopoly Power from the Gilded Age to the Digital Age,"Klobuchar, Amy",,,B08SQ85Q6S,797        pp,3.69,664,"Apr 27, 2021","Apr 27, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An incredibly important book! It is written in a language, diction and voice which is easy to read and comprehend. This book is a comprehensive view oAn incredibly important book! It is written in a language, diction and voice which is easy to read and comprehend. This book is a comprehensive view of how our form of ""capitalism"" is threatened and often damaged by non-competitive practices. Her suggestions in the next to last chapter are likewise comprehensive, logical and well considered. The notes are a voluminous book in their own right. They are full of interesting and useful information. This book sure makes me think about our recent inflation; and, how the response to that inflation is not to stop anti-competition practices but to allow our government sanctioned banking monopoly to raise its prices to try to force us into a recession. So much is so wrong....more",Notes are private!,0,14,2,"Dec 06, 2022Nov 22, 2022","Feb 20, 2023Dec 06, 2022","Nov 29, 2021",,Kindle Edition,view (with text),/book/show/56893525-antitrust
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gratitude and Pasta: The Secret Sauce for Human Connection,"Schembra, Chris",0578604949,9780578604947,0578604949,150        pp,3.45,22,unknown,"Jan 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An unusual book about an author who has made a business out of serving intimate dinners. He lays out a whole plan for his dinners which he claims are An unusual book about an author who has made a business out of serving intimate dinners. He lays out a whole plan for his dinners which he claims are the basis for creating and fostering meaningtful interaction. The book conveys his heart is in the right place and likely his plan works regularly. ...more,Notes are private!,0,4,1,"Dec 07, 2021","Dec 09, 2021","Nov 29, 2021",,Hardcover,view (with text),/book/show/50416703-gratitude-and-pasta
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Year in the South: 1865: The True Story of Four Ordinary People Who Lived Through the Most Tumultuous Twelve Months in American History,"Ash, Stephen V.",0060582480,9780060582487,0060582480,288        pp,3.97,287,"Nov 01, 2002","Apr 22, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very different and interesting book which is a one-year biography of four different residence of the rebellious Southern States during 1865. This isA very different and interesting book which is a one-year biography of four different residence of the rebellious Southern States during 1865. This is a well written page turner that reveals the history and the lives in great detail, despairing and what little joy some of them had. An enjoyable read with a slice of history even though the misery was palpable. ...more",Notes are private!,0,6,1,"Dec 12, 2021","Dec 13, 2021","Nov 29, 2021",,Paperback,view (with text),/book/show/267659.A_Year_in_the_South
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The American Story: Conversations with Master Historians,"Rubenstein, David M.",1982120258,9781982120252,1982120258,396        pp,4.39,"1,992","Oct 29, 2019","Oct 29, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very interesting discussions. I obtained the Audible version and found that ideal for this type of book. Of course there was far less substance than iVery interesting discussions. I obtained the Audible version and found that ideal for this type of book. Of course there was far less substance than if it had been a book but it was nonetheless quite interesting on the topics discussed by the authors interviewed (and Chief Justice Roberts). Good history but really nothing new if anyone has a basic knowledge of the figures discussed. The best part was hearing the perspectives of the historians and how they approached their work. ...more,Notes are private!,0,6,1,"Nov 30, 2021","Dec 03, 2021","Nov 29, 2021",,Hardcover,view (with text),/book/show/43822548-the-american-story
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Money Men: Capitalism, Democracy, and the Hundred Years' War over the American Dollar","Brands, H.W.",0393061841,9780393061840,0393061841,239        pp,3.65,390,2006,"Oct 16, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This short book is a biography of several American men with profound impact on money and banking. It is a good recapitulation of the history of bankinThis short book is a biography of several American men with profound impact on money and banking. It is a good recapitulation of the history of banking and money supply of our country. Much of this history is available in other more general history and biography; however, this is much more detailed in the background, transactions and effects of the banking and money issues. A very worthy read and a primer on money economics....more",Notes are private!,0,3,1,"Dec 03, 2021","Dec 07, 2021","Nov 29, 2021",,Hardcover,view (with text),/book/show/450309.The_Money_Men
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Presumed Guilty: How the Supreme Court Empowered the Police and Subverted Civil Rights,"Chemerinsky, Erwin",1631496514,9781631496516,1631496514,384        pp,4.22,282,unknown,"Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2022",not set,"Nov 27, 2021",,Hardcover,view,/book/show/55298320-presumed-guilty
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crome Yellow,"Huxley, Aldous",0486436632,9780486436630,0486436632,176        pp,3.42,"8,262",1921,"Sep 10, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/53672.Crome_Yellow
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunchback of Notre-Dame,"Hugo, Victor",0451527887,9780451527882,0451527887,510        pp,4.02,"201,131","Mar 16, 1831","Apr 10, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/30597.The_Hunchback_of_Notre_Dame
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tess of the d'Urbervilles: Annotated Edition,"Hardy, Thomas",1847494943,9781847494948,1847494943,520        pp,3.83,"283,533",1891,"Sep 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/27305269-tess-of-the-d-urbervilles
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,king soloman's mines,"Haggard, H. Rider",,,B08NK5ZNJP,303        pp,3.79,"49,628",Sep 1885,"Nov 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Kindle Edition,view,/book/show/57399598-king-soloman-s-mines
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North and South,"Gaskell, Elizabeth",0140620192,9780140620191,0140620192,521        pp,4.15,"169,957",1855,"Jan 13, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/156538.North_and_South
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hound of the Baskervilles        (Sherlock Holmes, #5)","Doyle, Arthur Conan",,,,256        pp,4.13,"345,790","Mar 25, 1902","Jul 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of the best of the Sherlock Holmes stories. Just read it and know it will inspire your imagination and make you love the writing.,Notes are private!,0,1,1,"Nov 12, 1991","Nov 22, 1991","Nov 22, 2021",,Mass Market Paperback,view (with text),/book/show/8921.The_Hound_of_the_Baskervilles
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idiot,"Dostoevsky, Fyodor",0679642420,9780679642428,0679642420,667        pp,4.21,"182,656",1869,"Apr 08, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/12505.The_Idiot
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moll Flanders,"Defoe, Daniel",,,,339        pp,3.52,"46,336",1722,"Oct 05, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/38262.Moll_Flanders
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Enormous Room,"Cummings, E.E.",1406936537,9781406936537,1406936537,200        pp,3.68,"2,465",1922,"Nov 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Paperback,view,/book/show/144896.The_Enormous_Room
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Father Goriot,"Balzac, Honoré de",,,B0084799C6,723        pp,3.85,"59,420",Mar 1835,"May 16, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2021",,Kindle Edition,view,/book/show/19009927-father-goriot
