,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Derek's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road Volume 1,"Lemire, Jeff",1534399798,9781534399792,1534399798,132        pp,3.72,320,unknown,"Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Phantom Road presents an interesting spin on the ‘in between spaces / parallel universe’ type story but doesn’t deliver on the emotional investment biPhantom Road presents an interesting spin on the ‘in between spaces / parallel universe’ type story but doesn’t deliver on the emotional investment bit. which isn’t what we’ve come to expect from Jeff Lemire. The MCs are pretty much characters we have seen before reluctant hero rescues damsel in distress etc etc. the only character i feel any sense empathy for is the FBI detective. all in all it’s Jeff Lemire so I’ll hang in there. there’s hope this series goes some place really interesting. there’s hope. ...more,Notes are private!,0,0,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Paperback,view (with text),/book/show/65655663-phantom-road-volume-1
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"No Longer Human, Vol. 1","Furuya, Usamaru",1935654195,9781935654193,1935654195,194        pp,3.90,684,"Jun 09, 2009","Oct 25, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Dec 2023,"Dec 03, 2023","Dec 01, 2023",,Paperback,view,/book/show/10377257-no-longer-human-vol-1
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Flight, Vol. 1        (Flight, #1)","Kibuishi, Kazu*",1582403813,9781582403816,1582403813,208        pp,3.83,"5,430","Aug 24, 2004","Aug 24, 2004",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,too disjointed for me to really sink my teeth into. but that’s just me.,Notes are private!,0,0,1,"Nov 19, 2023","Nov 25, 2023","Nov 19, 2023",,Paperback,view (with text),/book/show/258028.Flight_Vol_1
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War Mother #1,"Van Lente, Fred*",,,B074TW21PQ,34        pp,2.89,27,unknown,"Aug 23, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 09, 2023","Nov 25, 2023","Nov 09, 2023",,Kindle Edition,view,/book/show/36136917-war-mother-1
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Immortality,"Kundera, Milan",0571166784,9780571166787,0571166784,387        pp,4.14,"38,696","Jan 12, 1990",1991,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Nov 2023,"Dec 13, 2023","Nov 09, 2023",,Paperback,view,/book/show/198074.Immortality
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Corollary,"Rose, Adam",1954412711,9781954412712,1954412711,112        pp,3.60,5,unknown,"Oct 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,i would’ve loved this more if the artwork wasn’t so crayon-ey,Notes are private!,0,0,1,"Sep 09, 2023","Sep 10, 2023","Sep 10, 2023",,Paperback,view (with text),/book/show/61677244-corollary
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falconer,"Cheever, John",0140048669,9780140048667,0140048669,160        pp,3.65,"8,357",1977,"Jan 01, 1979",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A literary masterpiece.,Notes are private!,0,1,1,"Sep 06, 2023","Sep 24, 2023","Sep 06, 2023",,Paperback,view (with text),/book/show/2876899-falconer
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ghost Writer,"Roth, Philip",0099477572,9780099477570,0099477572,179        pp,3.82,"12,667",1979,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I started reading the Nathan Zuckerman books only after reading My Life As A Man This novel, short and v insightful in many places, almost stands alonI started reading the Nathan Zuckerman books only after reading My Life As A Man This novel, short and v insightful in many places, almost stands alone to My Life As A Man. If anything, it chronicles the period in NZ's life right before he started teaching creative writing. This is a fun-enough read, though nothing really happens. You keep reading because you know who NZ really is....more",Notes are private!,0,5,1,"Sep 02, 2023","Sep 05, 2023","Sep 02, 2023",,Paperback,view (with text),/book/show/50696.The_Ghost_Writer
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spaceman,"Azzarello, Brian",1401235522,9781401235529,1401235522,224        pp,3.23,713,"Nov 07, 2012","Nov 13, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 05, 2023","Sep 07, 2023","Aug 05, 2023",,Hardcover,view,/book/show/13532195-spaceman
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cowboys Are My Weakness: Stories,"Houston, Pam*",,,,171        pp,4.08,"6,580",1992,1992,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pam has managed such touching, gutsy and hilarious collection of stories here. I absolutely loved this collection. Absolutely. Every story is written Pam has managed such touching, gutsy and hilarious collection of stories here. I absolutely loved this collection. Absolutely. Every story is written in spare and precise prose which almost always mirrors the sparse wildernesses her characters inhabit. It’s genius and insightful to say the least. & Bravo! This is a masterfully crafted work of art. ...more",Notes are private!,0,4,1,"Aug 05, 2023","Aug 12, 2023","Aug 05, 2023",,Paperback,view (with text),/book/show/18461538-cowboys-are-my-weakness
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Learning: An Inner Journey to Optimal Performance,"Waitzkin, Josh",,,B00JAOOBHU,288        pp,4.05,"19,259",2007,"Apr 01, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5*More memoir than actual instructional, this book definitely has its gems. There a bunch of useful ideas, and the structure makes for a smooth list3.5*More memoir than actual instructional, this book definitely has its gems. There a bunch of useful ideas, and the structure makes for a smooth listen (I listened to the audiobook) tying everything in the third part. It's a book mostly about honing your focus, something that will come easy if you're already an insane, tunnel-visioned competitor, if you aren't like that, I'm afraid you'll find it next to impossible to motivate yourself to that level. So, yes, this isn't your typical 10 steps to do achieve this kind of book. Which is such a relief....more",Notes are private!,0,0,1,"Jul 31, 2023","Aug 03, 2023","Jul 31, 2023",,Audible Audio,view (with text),/book/show/24857570-the-art-of-learning
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transit        (Ted Mckeever Library #1),"McKeever, Ted",,,B015XEABB0,151        pp,3.37,79,"Oct 29, 2008","Nov 12, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Kindle Edition,view,/book/show/32723849-transit
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Metropol        (Ted McKeever Library #3),"McKeever, Ted",,,B015XDWV7I,427        pp,4.06,70,1995,"Mar 25, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Kindle Edition,view,/book/show/29957183-metropol
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eddy Current        (Ted McKeever Library #2),"McKeever, Ted",,,B015YZL7PC,373        pp,3.88,103,1991,"Jan 21, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2023",,Kindle Edition,view,/book/show/28319828-eddy-current
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Superannuated Man,"McKeever, Ted",1632153343,9781632153340,1632153343,152        pp,3.14,66,"Apr 15, 2015","Apr 15, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i stayed with this purely for the artwork. the story didn’t much move me, the artwork though was something else.",Notes are private!,0,1,1,"Jul 26, 2023","Jul 27, 2023","Jul 25, 2023",,Paperback,view (with text),/book/show/25351526-the-superannuated-man
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island #4,"Graham, Brandon",,,,111        pp,3.75,59,"Oct 28, 2015","Oct 28, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,,view,/book/show/26218671-island-4
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island #3,"Graham, Brandon",,,,112        pp,3.80,69,"Sep 16, 2015","Sep 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/26239276-island-3
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island #2,"Ríos, Emma",,,,unknown,3.83,109,"Aug 09, 2015","Aug 09, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/26239246-island-2
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prometheus: Fire and Stone,"Tobin, Paul*",1616556501,9781616556501,1616556501,126        pp,3.61,528,"Jan 01, 2015","Apr 21, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 22, 2023","Jul 22, 2023",,Paperback,view,/book/show/23278661-prometheus
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Monstress, Vol. 1: Awakening","Liu, Marjorie M.*",1632157098,9781632157096,1632157098,192        pp,3.97,"61,729","Jul 19, 2016","Jul 19, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 13, 2018not set","Feb 08, 2019not set","Jul 13, 2023",,Paperback,view,/book/show/55883882-monstress-vol-1
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Monstress, Vol. 1: Awakening","Liu, Marjorie M.*",,,B01DJOS93I,208        pp,3.97,"61,729","Jul 19, 2016","Jul 13, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 12, 2023",,Kindle Edition,view,/book/show/30333227-monstress-vol-1
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love Everlasting, Volume 1        (Love Everlasting, #1)","King, Tom*",153432464X,9781534324640,153432464X,136        pp,3.57,756,"Feb 08, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2023",,Paperback,view,/book/show/61425078-love-everlasting-volume-1
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parenthesis,"Durand, Élodie",1603094814,9781603094818,1603094814,224        pp,4.13,"1,524","May 19, 2010","Feb 09, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 23, 2023","Jul 03, 2023","Jun 23, 2023",,Paperback,view,/book/show/53218460-parenthesis
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under-Earth,"Gooch, Chris",1603094776,9781603094771,1603094776,560        pp,3.76,483,"Nov 10, 2020","Nov 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 25, 2023","Jun 23, 2023",,Paperback,view,/book/show/50937955-under-earth
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellington,"Mahnke, Aaron*",1684056896,9781684056897,1684056896,120        pp,3.49,348,unknown,"Dec 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2023",,Paperback,view,/book/show/49171852-wellington
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rain,"Hill, Joe*",1534322698,9781534322691,1534322698,156        pp,3.62,"1,169","Oct 05, 2022","Oct 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2023",,Hardcover,view,/book/show/60395815-rain
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Houdini        (1),"Holt, Jeremy*",1608878554,9781608878550,1608878554,112        pp,2.83,30,"Oct 02, 2018","Oct 09, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The concept is pretty interesting, but overall the execution is very rushed. this should've been a longer work. well, at least long enough to allow thThe concept is pretty interesting, but overall the execution is very rushed. this should've been a longer work. well, at least long enough to allow the author to flesh out the characters and set-ups and motivations....more",Notes are private!,0,0,1,"Jun 20, 2023","Jun 23, 2023","Jun 23, 2023",,Paperback,view (with text),/book/show/30753625-after-houdini
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Life as a Man,"Roth, Philip",067974827X,9780679748274,067974827X,334        pp,3.72,"2,476",1974,"Jan 13, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 21, 2023","Jul 20, 2023","Jun 21, 2023",,Paperback,view,/book/show/29737.My_Life_as_a_Man
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Midnight Tides        (Malazan Book of the Fallen, #5)","Erikson, Steven*",0553813145,9780553813142,0553813145,960        pp,4.41,"41,711","Jan 01, 2004","Apr 04, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 13, 2023",not set,"Jun 13, 2023",,Mass Market Paperback,view,/book/show/345299.Midnight_Tides
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good-Bye, Chunky Rice","Thompson, Craig",0375714766,9780375714764,0375714766,128        pp,3.79,"8,179",1999,"May 09, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read and loved Blankets and Habibi so I dived into this with rather high expectations. This is the first time Craig has let me down a little bit. NoI read and loved Blankets and Habibi so I dived into this with rather high expectations. This is the first time Craig has let me down a little bit. Not that Good-Bye, Chunky Rice was terrible, I just had v high expectations. It's Craig's debut, so there's much to be pardoned - my biggest critique is that the story kind of just stops mid-sentence (not literally, but you know, there was still more room to explore this story) It has all of Craig's trademark incredibly detailed and amazing understated art. The characters and settings are unique and memorable as always. It's just that it doesn't take the theme of loss and separation to its crucible. ...more",Notes are private!,0,1,1,"May 05, 2023","Aug 15, 2023","May 05, 2023",,Paperback,view (with text),/book/show/37264.Good_Bye_Chunky_Rice
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes from the Fog,"Marcus, Ben*",178378282X,9781783782826,178378282X,266        pp,3.67,687,"Apr 21, 2018","Sep 06, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a very witty, very funny, insightful and genius collection of short stories. I was totally enthralled by the endeavour. My favs in the collectThis is a very witty, very funny, insightful and genius collection of short stories. I was totally enthralled by the endeavour. My favs in the collection are;Precious, Precious Blueprints for St. Louis The BoysThe Grow-Light BluesGeorge & Elizabeth A Suicide of TreesOmenStay Down & Take ItNotes From the Fog....more",Notes are private!,0,2,1,"May 05, 2023","Jun 17, 2023","May 05, 2023",,Paperback,view (with text),/book/show/41754185-notes-from-the-fog
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Liberation Day,"Saunders, George",0525509593,9780525509592,0525509593,256        pp,4.00,"12,167","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 05, 2023",,Hardcover,view,/book/show/60471573-liberation-day
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Darkness,"Vehlmann, Fabien",1770461299,9781770461291,1770461299,94        pp,3.87,"10,812","Mar 06, 2009","Feb 25, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 12, 2023","Apr 13, 2023","Apr 12, 2023",,Hardcover,view,/book/show/17287069-beautiful-darkness
80,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before She Met Me,"Barnes, Julian",,,,151        pp,3.29,"3,505","Apr 15, 1982",1986,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is not your usual sentimental JB, but oh so good irrespective. It’s the kind of foreseeable sad ending that I wish more writers had the guts to gThis is not your usual sentimental JB, but oh so good irrespective. It’s the kind of foreseeable sad ending that I wish more writers had the guts to go there. ...more",Notes are private!,0,2,1,"Mar 23, 2023","Mar 26, 2023","Mar 23, 2023",,Paperback,view (with text),/book/show/23926297-before-she-met-me
81,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Visions of Arzach,Mœbius,087816233X,9780878162338,087816233X,55        pp,3.61,59,"Jan 01, 1994","Jan 01, 1993",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 12, 2023","Mar 13, 2023","Mar 12, 2023",,Hardcover,view,/book/show/893125.Visions_of_Arzach
82,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jinx,"Bendis, Brian Michael",1582401799,9781582401799,1582401799,480        pp,3.71,930,2000,"Feb 01, 2001",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2023","Apr 18, 2023","Mar 10, 2023",,Paperback,view,/book/show/105861.Jinx
83,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Essex County,"Lemire, Jeff",160309038X,9781603090384,160309038X,512        pp,4.32,"12,069","Jun 15, 2009","Sep 14, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2023",,Paperback,view,/book/show/6096829-the-collected-essex-county
84,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road #1,"Lemire, Jeff",,,B0BW1BT11W,29        pp,4.00,158,unknown,"Mar 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An interesting enough start. It has all the hallmarks of a great story waiting to unravel. A shifty, somewhat absent father, a scared damsel in distreAn interesting enough start. It has all the hallmarks of a great story waiting to unravel. A shifty, somewhat absent father, a scared damsel in distress and a portal into a dim gory alternate reality. With zombies to boot. I’m intrigued. ...more",Notes are private!,0,4,1,"Mar 05, 2023","Mar 06, 2023","Mar 05, 2023",,Kindle Edition,view (with text),/book/show/123025786-phantom-road-1
85,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,DCeased: Hope at World’s End,"Taylor, Tom*",,9781779511287,1779511280,176        pp,3.65,"1,225",unknown,"Jun 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 05, 2023","Mar 07, 2023","Mar 05, 2023",,Hardcover,view,/book/show/56224500-dceased
86,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fraternity,"Ellis, Jon",1643378783,9781643378787,1643378783,136        pp,3.38,120,unknown,"Aug 09, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Starts out strong with a lot of promise but fizzles out the moment they delve into John Constantine territory. The really good parts are rushed througStarts out strong with a lot of promise but fizzles out the moment they delve into John Constantine territory. The really good parts are rushed through and the not so good parts are milked for every thing they’ve not got. ...more,Notes are private!,0,0,1,"Feb 22, 2023","Feb 22, 2023","Feb 22, 2023",,Paperback,view (with text),/book/show/59365439-fraternity
87,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,User,"Grayson, Devin",1534301593,9781534301597,1534301593,176        pp,3.39,109,unknown,"May 23, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Megan’s introspective side notes are this comics only saving grace. The role playing game does nothing for me - I skimmed through most of that. But thMegan’s introspective side notes are this comics only saving grace. The role playing game does nothing for me - I skimmed through most of that. But the side notes, those alone kept me flipping pages. ...more",Notes are private!,0,0,1,"Feb 22, 2023","Feb 22, 2023","Feb 22, 2023",,Hardcover,view (with text),/book/show/33161257-user
88,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sandman Presents: The Taller Tales,"Willingham, Bill*",1840237694,9781840237696,1840237694,224        pp,3.83,905,"Jan 01, 2003",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2023",,Paperback,view,/book/show/18457840-the-sandman-presents
89,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,STABLE,"Medney, Matthew",1955537011,9781955537018,1955537011,130        pp,3.15,13,unknown,"Dec 31, 2030",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 22, 2023","Feb 22, 2023","Feb 22, 2023",,Hardcover,view,/book/show/58624641-stable
90,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"New Avengers by Jonathan Hickman, Vol. 1","Hickman, Jonathan",0785193960,9780785193968,0785193960,304        pp,4.21,365,"Jan 01, 2015","Jan 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2023","Feb 15, 2023","Feb 10, 2023",,Hardcover,view,/book/show/23018004-new-avengers-by-jonathan-hickman-vol-1
91,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Double,"Dostoevsky, Fyodor",0486295729,9780486295725,0486295729,144        pp,3.68,"32,909",1846,"Mar 12, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2023",,Paperback,view,/book/show/210190.The_Double
92,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underwater Welder,"Lemire, Jeff",1603090746,9781603090742,1603090746,224        pp,4.09,"10,909","Jul 11, 2012","Aug 07, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a truly beautiful work of visual and narrative storytelling. A fierce and moving tale of fatherhood and loss and looking far enough into the fThis is a truly beautiful work of visual and narrative storytelling. A fierce and moving tale of fatherhood and loss and looking far enough into the future to glimpse the faint glimmer of hope, then taking the leap of faith to close that gap. ...more",Notes are private!,0,0,1,"Apr 16, 2023","Apr 17, 2023","Jan 25, 2023",,Paperback,view (with text),/book/show/13602241-the-underwater-welder
93,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deathbed,"Williamson, Joshua",1401290035,9781401290030,B07CQ5HYDS,132        pp,3.48,260,"Nov 06, 2018","Nov 06, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2023","Feb 03, 2023","Jan 25, 2023",,Kindle Edition,view,/book/show/40114567-deathbed
94,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blacksad        (Blacksad, #1-3)","Díaz Canales, Juan",159582393X,9781595823939,159582393X,184        pp,4.31,"12,995",2006,"Jun 22, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2023",,Hardcover,view,/book/show/7342071-blacksad
95,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deadenders,"Brubaker, Ed",1401234801,9781401234805,1401234801,388        pp,3.64,370,"Oct 01, 2000","May 22, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2023",,Paperback,view,/book/show/13228425-deadenders
96,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Step By Bloody Step,"Spurrier, Simon",1534322388,9781534322387,1534322388,160        pp,3.89,772,"Aug 30, 2022","Aug 30, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The artwork is amazing, that's the only thing I can say. I get what the team was trying to do here, but it missed the mark. I just breezed through thiThe artwork is amazing, that's the only thing I can say. I get what the team was trying to do here, but it missed the mark. I just breezed through this. Wanted to actually enjoy it, but couldn't. The no words thing is just too gimmicky. ...more",Notes are private!,0,2,2,"Jan 20, 2023not set","Jan 20, 2023not set","Jan 19, 2023",,Paperback,view (with text),/book/show/60395814-step-by-bloody-step
97,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,NASA,"Urasawa, Naoki",,,,unknown,3.21,39,"Jan 01, 1988",1988,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2023",,Unknown Binding,view,/book/show/20899340-nasa
98,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Rough Guide To The Heart,"Houston, Pam*",1860498493,9781860498497,1860498493,288        pp,4.27,70,2000,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2023",,Paperback,view,/book/show/126744.A_Rough_Guide_To_The_Heart
