,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lauren's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
165,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emperor of All Maladies: A Biography of Cancer,"Mukherjee, Siddhartha",,,,571        pp,4.33,"102,531","Nov 16, 2010","Nov 16, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2020",,Hardcover,view,/book/show/7170627-the-emperor-of-all-maladies
166,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Body and Other Parties: Stories,"Machado, Carmen Maria*",155597788X,9781555977887,155597788X,248        pp,3.85,"89,398","Oct 03, 2017","Oct 03, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't usually read short stories. This book was awesome though. The stories were weird and interesting and dark and great. Carmen Maria Machado realI don't usually read short stories. This book was awesome though. The stories were weird and interesting and dark and great. Carmen Maria Machado really makes you feel emotions and while I never really related to the characters, I was drawn into their world and fascinated by what was going on. There were a few stories that I genuinely had no clue what happened (Mothers especially), but I think that's the point. Her writing is so fantastic. I loved The Husband Stitch, Inventory, Real Women Have Bodies, and The Resident. I didn't love Especially Heinous but was still drawn into it. Looking forward to reading her memoir! ...more",Notes are private!,0,1,1,"Dec 29, 2020","Jan 02, 2021","Nov 28, 2020",,Paperback,view (with text),/book/show/33375622-her-body-and-other-parties
167,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Shock: My Journey from Death to Recovery and the Redemptive Power of Hope,"Awdish, Rana*",1250119219,9781250119216,1250119219,272        pp,4.34,"6,599","Oct 24, 2017","Oct 24, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 23, 2020",,Hardcover,view,/book/show/33574173-in-shock
168,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty of Your Face,"Mustafah, Sahar*",1324003383,9781324003380,1324003383,312        pp,4.19,"5,690","Apr 07, 2020","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2020",,Hardcover,view,/book/show/45894170-the-beauty-of-your-face
169,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortalists,"Benjamin, Chloe*",0735213186,9780735213180,0735213186,346        pp,3.71,"205,538","Jan 09, 2018","Jan 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2020",,Hardcover,view,/book/show/30288282-the-immortalists
170,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best of Me,"Sedaris, David",0316628247,9780316628242,0316628247,387        pp,4.21,"22,869","Nov 03, 2020","Nov 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2020",,Hardcover,view,/book/show/53487334-the-best-of-me
171,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Inside This Place, Not of It: Narratives from Women's Prisons","Levi, Robin",1936365499,9781936365494,1936365499,300        pp,4.35,748,"Oct 11, 2011","Nov 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 17, 2020",,Hardcover,view,/book/show/11502395-inside-this-place-not-of-it
172,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life","Aronson, Louise*",1620405466,9781620405468,1620405466,464        pp,3.96,"1,578","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2020",,Hardcover,view,/book/show/40607229-elderhood
173,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Radium Girls: The Dark Story of America’s Shining Women,"Moore, Kate*",149264935X,9781492649359,149264935X,479        pp,4.15,"146,989",Jun 2016,"May 02, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Radium Girls was really well-written and, despite its length, read like a page turner. The author did a great job at making their stories come to The Radium Girls was really well-written and, despite its length, read like a page turner. The author did a great job at making their stories come to life and I felt like I actually got to know the women (I did wonder at times how many creative liberties were being taken, but decided I didn’t care). I knew nothing about this history and was surprised to hear that the research surrounding the girls and their medical conditions due to radium exposure was the basis of what we know about radium/radioactivity today. I was recommended this book and was weary at first due to the length, but found it to be really easy to read and really interesting. I can’t believe what these women had to go through! And so wild that we’ve seen this sort of malicious capitalism and disregard for human health play out time and time again..! ...more",Notes are private!,0,0,1,"Nov 26, 2020","Dec 06, 2020","Nov 16, 2020",,Hardcover,view (with text),/book/show/31409135-the-radium-girls
174,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Boys Aren’t Blue,"Johnson, George M.",0374312710,9780374312718,0374312710,304        pp,4.21,"37,143","Apr 28, 2020","Apr 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2020",,Hardcover,view,/book/show/44280883-all-boys-aren-t-blue
175,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",0143135694,9780143135692,0143135694,304        pp,4.27,"685,379","Jun 01, 1982","Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2020",,Paperback,view,/book/show/52892857-the-color-purple
176,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Salvage the Bones,"Ward, Jesmyn*",1608195228,9781608195220,1608195228,261        pp,3.96,"64,717",Aug 2011,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2020",,Hardcover,view,/book/show/10846336-salvage-the-bones
177,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisters of Sinai: How Two Lady Adventurers Discovered the Hidden Gospels,"Soskice, Janet Martin",1400041333,9781400041336,1400041333,336        pp,4.07,882,"Jan 01, 2009","Aug 18, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2020",,Hardcover,view,/book/show/6586884-the-sisters-of-sinai
178,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,"Purnell, Sonia",073522529X,9780735225299,073522529X,352        pp,4.15,"48,277","Mar 28, 2019","Apr 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2020",,Hardcover,view,/book/show/40595446-a-woman-of-no-importance
179,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Edward,"Napolitano, Ann*",,,,352        pp,4.08,"179,445","Jan 06, 2020",Dec 2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The description of Edward's grief and post-crash life was really moving and felt very realistic. I am not positive that 12-year-olds actually talk/actThe description of Edward's grief and post-crash life was really moving and felt very realistic. I am not positive that 12-year-olds actually talk/act the way that he and Shay did, but I didn't really care. It was interesting to just get only a little peek into other people's lives on the plane, but I also feel like it would've been too distracting to learn more. I wish they had depicted more from the co-pilot's point of view but otherwise, it was a fun read. ...more",Notes are private!,0,0,1,"Jul 09, 2022","Jul 18, 2022","Nov 13, 2020",,Hardcover,view (with text),/book/show/55548392-dear-edward
180,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Fun Age,"Reid, Kiley",,,,310        pp,3.79,"521,197","Dec 31, 2019","Dec 31, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2020",,Hardcover,view,/book/show/43923951-such-a-fun-age
181,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Vivek Oji,"Emezi, Akwaeke*",0525541608,9780525541608,0525541608,248        pp,4.13,"58,963","Aug 04, 2020","Aug 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I really enjoyed this book though at times I wish I had more from Vivek’s perspective and also a deeper character development of Osita. I also feel liI really enjoyed this book though at times I wish I had more from Vivek’s perspective and also a deeper character development of Osita. I also feel like Vivek’s death came out of nowhere - though it was nicely explained later on. I wish I had had more time in the beginning of the book though to learn the characters etc. I liked reading about a different culture and different traditions. A great description of love and loss and grief. Also very beautifully written....more,Notes are private!,0,0,1,"Mar 21, 2023",Apr 2023,"Nov 10, 2020",,Hardcover,view (with text),/book/show/48595550-the-death-of-vivek-oji
182,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nature of Suffering and the Goals of Medicine,"Cassell, Eric J.",019508912X,9780195089127,019508912X,272        pp,4.18,72,"Oct 03, 1991","Apr 14, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Paperback,view,/book/show/1617491.The_Nature_of_Suffering_and_the_Goals_of_Medicine
183,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything in Its Place: First Loves and Last Tales,"Sacks, Oliver",0345811380,9780345811387,0345811380,288        pp,4.14,"2,792",Apr 2019,"Jan 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Hardcover,view,/book/show/41089239-everything-in-its-place
184,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Unquiet Mind: A Memoir of Moods and Madness,"Jamison, Kay Redfield*",0679763309,9780679763307,0679763309,223        pp,4.06,"78,539","Sep 18, 1995",Oct 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Paperback,view,/book/show/361459.An_Unquiet_Mind
185,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wicked: The Life and Times of the Wicked Witch of the West        (The Wicked Years, 1)","Maguire, Gregory",0062853198,9780062853196,0062853198,448        pp,3.54,"597,497","Sep 29, 1995","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2020",,Hardcover,view,/book/show/50211913-wicked
186,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man’s Search for Meaning,"Frankl, Viktor E.",080701429X,9780807014295,080701429X,165        pp,4.37,"713,847",1959,"Jun 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2020",,Paperback,view,/book/show/4069.Man_s_Search_for_Meaning
187,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cher Ami and Major Whittlesey,"Rooney, Kathleen*",0525507825,9780525507826,0525507825,321        pp,3.98,"2,134","Aug 11, 2020","Aug 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2020",,Hardcover,view,/book/show/53285042-cher-ami-and-major-whittlesey
188,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",198216963X,9781982169633,198216963X,336        pp,4.18,"633,798","Apr 25, 2019","Jan 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I thought the story itself was kinda frustrating and I didn't really love any of the characters, but it got better as the story unfolded. I3.5 stars. I thought the story itself was kinda frustrating and I didn't really love any of the characters, but it got better as the story unfolded. I would say overall good not great...more",Notes are private!,0,0,1,"Mar 29, 2021","Apr 09, 2021","Sep 22, 2020",,Hardcover,view (with text),/book/show/49127718-anxious-people
189,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty in Breaking,"Harper, Michele",0525537384,9780525537380,0525537384,304        pp,3.82,"29,758","Jul 07, 2020","Jul 07, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I'll start by saying that every time I read a medical memoir, I'm always amazed by how vulnerable patients are with their doctors. I feel s3.5 stars. I'll start by saying that every time I read a medical memoir, I'm always amazed by how vulnerable patients are with their doctors. I feel so lucky to be let into that world and that Dr. Harper shared these stories with me. I'm so looking forward to building relationships with my future patients- it's incredible how much patients will share with their physicians and how so many barriers are broken down inside of a hospital room. I admired Dr. Harper's ability to pause and ask difficult questions. I loved that she portrayed the humanity of her thought processes - she *could* leave the room, end her shift, and go home, but rather she stays and has those difficult conversations. I think this memoir has further solidified that I am not interested in emergency medicine, but I was impressed by how Dr. Harper was able to connect with her patients despite the pace of the ED. I also was interested to learn more about how things work in the VA because you don't often hear much from the VA. That being said, I do wish that the patient stories were a bit more connected to Dr. Harper's life. I found myself getting lost in Dr. Harper's story - although the stories were told somewhat chronologically when Dr. Harper would return to details of her life outside the hospital I was confused about where we left off and how the patient connected to her own story of healing. The epilogue tied this together a bit better, but overall the stories she chose to tell felt disconnected from her life. I also felt like the dialog was a bit contrived, but I guess unless you're writing a memoir in real time you won't have the exact words recorded. I liked reading this memoir while thinking about the kind of doctor I want to be. I hope to identify problems within the system and then advocate for change... though not every physician's career involves advocacy, I felt dismayed by the gaps in the story where I felt like something should have been done. I got fired up by a moment where someone remarked 'that's just how our system works' and that was the end of the discussion - why does it have to just be like that? Anyway, overall a really interesting read, and I'm happy to have read it. ...more",Notes are private!,0,1,1,"Dec 27, 2020","Dec 29, 2020","Aug 31, 2020",,Hardcover,view (with text),/book/show/50043108-the-beauty-in-breaking
190,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yellow House,"Broom, Sarah M.",0802125085,9780802125088,0802125085,376        pp,3.90,"23,916","Aug 13, 2019","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2020",,Hardcover,view,/book/show/43347603-the-yellow-house
191,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Flamingo,"Atta, Dean*",144494858X,9781444948585,144494858X,360        pp,4.35,"31,005","Aug 08, 2019","Aug 08, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fantastic read- I loved the characters, loved the stories, and actually loved that it was written in verse. Definitely recommend!",Notes are private!,0,0,1,"Jul 18, 2020","Jul 20, 2020","Jul 18, 2020",,Hardcover,view (with text),/book/show/41020406-the-black-flamingo
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Darius the Great Is Not Okay        (Darius The Great, #1)","Khorram, Adib*",0525552960,9780525552963,0525552960,316        pp,4.25,"33,036","Aug 28, 2018","Aug 28, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Added another YA to my list (I'm really on a YA kick rn). Darius the Great is Not Okay was really sweet. While it is clearly written for a younger audAdded another YA to my list (I'm really on a YA kick rn). Darius the Great is Not Okay was really sweet. While it is clearly written for a younger audience, it did a good job of exploring themes such as mental health, identity, and familial struggles. It was refreshing to hear how openly Darius and his father talked about their depression and how Adib Khorram wrote about the ritual of them taking medication together- I'm not really in the YA world anymore, but I had never read a YA novel that made depression so visible. Khorram did a great job at portraying Darius's perspective and I felt like I knew him really well by the end of the book. It was also cool to learn about Iran and Persian culture. ...more",Notes are private!,0,0,1,"Jul 17, 2020","Jul 18, 2020","Jul 17, 2020",,Hardcover,view (with text),/book/show/37506437-darius-the-great-is-not-okay
193,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Know Me Well,"LaCour, Nina*",1250098645,9781250098641,1250098645,256        pp,3.71,"18,097","Jun 02, 2016","Jun 07, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cute, albeit slightly unrealistic, read. Nice YA to help speed through my goodreads reading challenge. High schoolers dealing with friendship, love, tCute, albeit slightly unrealistic, read. Nice YA to help speed through my goodreads reading challenge. High schoolers dealing with friendship, love, their identities, the future, etc. ...more",Notes are private!,0,1,1,"Jul 14, 2020","Jul 15, 2020","Jul 14, 2020",,Hardcover,view (with text),/book/show/27158835-you-know-me-well
194,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red, White & Royal Blue","McQuiston, Casey*",,,,423        pp,4.09,"988,317","May 14, 2019","May 14, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good beach read, decently satisfying. Has some pretty sexy scenes in it. The plot is pretty unbelievable but a good and quick read for relaxation puA good beach read, decently satisfying. Has some pretty sexy scenes in it. The plot is pretty unbelievable but a good and quick read for relaxation purposes. ...more",Notes are private!,0,1,1,Jul 2020,"Jul 02, 2020","Jul 01, 2020",,Paperback,view (with text),/book/show/41150487-red-white-royal-blue
195,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ask Again, Yes","Keane, Mary Beth*",1982106999,9781982106997,1982106999,390        pp,3.94,"192,364","May 28, 2019","May 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was on my kindle so I randomly decided to read it without knowing very much about it. I ended up really loving it and it's probably one of mThis book was on my kindle so I randomly decided to read it without knowing very much about it. I ended up really loving it and it's probably one of my favs of 2021! (Though I've read some of my all-time favs in 2021, too). I loved that the plot was complex and unimaginable without seeming too much like fiction. I loved that the story was told in third person, but Keane captured each person's thoughts and feelings in a distinct (and seemingly unique) way. All of the emotions were so complex and the book covered a lot of themes without being overt about it. Really recommend this to someone looking for a good read! ...more",Notes are private!,0,3,1,"Jul 03, 2021","Jul 09, 2021","Jun 12, 2020",,Paperback,view (with text),/book/show/42880325-ask-again-yes
196,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the World and Me,"Coates, Ta-Nehisi",,,,152        pp,4.40,"333,014","Jul 14, 2015","Jul 14, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 05, 2022","Dec 21, 2022","Jun 09, 2020",,Hardcover,view,/book/show/25489625-between-the-world-and-me
197,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orphan Train,"Kline, Christina Baker*",,,B0089LOG02,403        pp,4.19,"442,017","Apr 02, 2013","Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 08, 2020",,Kindle Edition,view,/book/show/36269116-orphan-train
198,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How We Fight For Our Lives,"Jones, Saeed*",1501132733,9781501132735,1501132733,192        pp,4.28,"21,789","Oct 08, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2020",,Hardcover,view,/book/show/43682552-how-we-fight-for-our-lives
199,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,"Washington, Harriet A.",0385509936,9780385509930,0385509936,501        pp,4.42,"8,550","Jan 09, 2007","Jan 09, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 03, 2020",,Hardcover,view,/book/show/114192.Medical_Apartheid
200,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",1338635174,9781338635171,1338635174,520        pp,3.95,"752,314","May 19, 2020","May 19, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I spent the first week of quarantine re-watching the Hunger Games movie trilogy and remembering how much I loved the HG series without knowing that SuI spent the first week of quarantine re-watching the Hunger Games movie trilogy and remembering how much I loved the HG series without knowing that Suzanne Collins was publishing a prequel. When I heard the good news, I couldn't wait to get my hands on a copy of The Ballad of Songbirds and Snakes. I loved a lot of things about this book, but in the end I think it fell a bit flat for me. I think it is a solid 3.5 star book, but I rounded up because the OG Hunger Games trilogy is amazing. Despite its length, I found myself reading it pretty quickly. However, I was often thinking ""wow this book is getting pretty long,"" which makes me think that maybe some of it could have been condensed or that the pages could have been used to flesh out other sections or plotlines more fully. It was a good, fast, and interesting read if you find yourself craving more HG content, but otherwise I am not sure I would recommend it. *some itty-bitty spoilers below* One of my favorite parts about this book was having a behind-the-scenes view into the development of the games. It was really cool to see what Panem and the Capitol were like 10 years after the war and try to connect the dots between the HG then and the HG now. Seeing how the HG might have evolved over time made it easier for me to believe that the ""present-day"" Panem could exist. It was interesting to watch the HG as a spectator rather than a tribute in the arena, but there were definitely parts that seemed to lull a bit (though the 10th anniversary HG were much different than the 74/75th HG and the reader's experience is probably similar to what someone in the Capitol's experience of watching the games would be like). I liked that a lot of the last names were familiar and we were seeing the way that family lines hold power over multiple generations in Panem. I will say that the references to future books started to grate on me by the end- especially in part 3 (ESPECIALLY with the katniss reference). I also found almost none of the characters to be particularly interesting or likable (except maybe Sejanus, and maybe Tigris but she plays such a tiny role). I also got really bored of Lucy Gray's songs by the end. Overall, I had the most trouble with Coriolanus' character development. I thought he was really wishy-washy at the beginning and that his main personality trait was that he was concerned about his public image. He had some interesting internal conflicts about doing the right thing vs. doing the Capitol thing (which sheds light on how your upbringing really shapes who you are and how easy it is to be brainwashed by the Capitol- even in its weak post-war state) but then diving into part 3 he was suddenly this totally unlikable character who seems to do the Capitol thing 100% of the time. His last moments with Lucy Gray were nothing short of confusing and it felt like Collins realized she was nearing some sort of page limit and decided to just throw everything into 20 pages at the end. (An aside: his relationship with Lucy Gray was also really forced from the beginning IMO). I did like the resolution of the book because I could see how Coriolanus could become President Snow over time, but I thought it happened way too quickly. I'm still trying to connect some of the dots, but perhaps Collins will write another prequel to help clear up some of the remaining questions....more",Notes are private!,0,4,1,"May 26, 2020","Jun 09, 2020","Jun 01, 2020",,Hardcover,view (with text),/book/show/50794839-the-ballad-of-songbirds-and-snakes
201,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",,,,343        pp,4.15,"753,553","Jun 02, 2020","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really liked this book. While the concepts and themes felt pretty glaring at times, I loved the plot and the way all of the characters interacted. MI really liked this book. While the concepts and themes felt pretty glaring at times, I loved the plot and the way all of the characters interacted. More later ...more",Notes are private!,0,0,1,"Jul 20, 2020","Aug 28, 2020","May 29, 2020",,Hardcover,view (with text),/book/show/51791252-the-vanishing-half
202,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Burning,"Majumdar, Megha*",0525658696,9780525658696,0525658696,304        pp,3.73,"49,527","Jun 02, 2020","Jun 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was expecting more out of this story. From the beginning, I was frustrated by the author's choice to write Lovely's chapters in the past continuous I was expecting more out of this story. From the beginning, I was frustrated by the author's choice to write Lovely's chapters in the past continuous tense - what was the point? It was annoying to read her chapters and I couldn't figure out what the author was trying to do with that. I thought that the three stories were relatively disconnected and I felt like the characters were not well-developed. The stories were very surface-level and I think I would've been more interested if we were focused on one story rather than three. I wanted to hear more about Jivan's story, but that lacked depth as well. I had trouble connecting with the characters and ultimately found myself rushing through the book so that I could finish it. I will say that it was a quick read, but otherwise, I didn't get anything out of it....more",Notes are private!,0,1,1,"Dec 22, 2020","Dec 23, 2020","May 29, 2020",,Hardcover,view (with text),/book/show/51792100-a-burning
203,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",,,,213        pp,4.26,"245,129","Jul 16, 2019","Jul 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I started this book expecting to fly through it and love it because it won a Pulitzer Prize (which in hindsight was silly). However, I found the book I started this book expecting to fly through it and love it because it won a Pulitzer Prize (which in hindsight was silly). However, I found the book pretty hard to read. This was mainly because of the content (I could not get myself to read through some of the horrible acts of abuse unless I was fully committed to feeling sad at that moment), but it was also a bit because of the writing style. I found myself rereading sentences over and over again to make sure I didn't miss the point; it was a bit too convoluted for my liking. It was the first time that I had read something about these reform schools and it was shocking to me that places like this one actually existed. A lot of really relevant and important themes were explored over the course of the book and I learned a lot even though it was a fiction novel. The plot itself was absolutely carried by the twist at the very end (it was genius, good work Colson Whitehead!!). I originally gave it a 5 star  because I was so excited by the twist, but in coming back to  the book more thoroughly 80% of the book felt like a 4 star read for me so I am dropping a star. ...Coming back later to write a more comprehensive  but I like this quote “the boys could have been many things had they not been ruined by that place. Doctors who cure diseases or perform brain surgery, inventing shit that saves lives. Run for president. All those lost geniuses—sure not all of them were geniuses, Chickie Pete for example was not solving special relativity—but they had been denied even the simple please of being ordinary. Hobbled and handicapped before the race even began, never figuring out how to be normal.” (166)...more",Notes are private!,0,0,1,"Jul 03, 2020","Jul 11, 2020","May 24, 2020",,Kindle Edition,view (with text),/book/show/42270835-the-nickel-boys
