,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Donna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Thieves,"Benioff, David",0670018708,9780670018703,0670018708,258        pp,4.29,"149,819","May 15, 2008","May 15, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Instructors of creative writing will urge, ""Put your character in jeopardy."" As with any oft-repeated saying, it sounds a bit trite. Trite, but still Instructors of creative writing will urge, ""Put your character in jeopardy."" As with any oft-repeated saying, it sounds a bit trite. Trite, but still true, and Benioff puts his protagonist, the hapless Lev, in historic jeopardy by placing him in Leningrad during the infamous WWII siege. After Lev is arrested the Man in Charge (okay, I forget his rank, and no, I can't go back to the book because a very possessive person ""loaned"" it to me and stood over my shoulder while I read so that he could snatch it back) promises to let him go if he and his accidental comrade Kolya can score the dozen eggs necessary for making a cake for his daughter's wedding.These are the ingredients (hahahaha) for a not-quite-hero's journey that's gripping throughout. There are mass quantities of novels about WWII and recently 2-3 bestsellers that give us the viewpoint of German civilians; this is the first that *I've* read about a Russian civilian (and a Jewish one, at that). Yes, the ingredients are there but any good cook and any good writer knows that it takes talent to put those ingredients together. I don't know what kind of cook Benioff is; he sure is one talented writer....more",Notes are private!,0,2,1,not set,"Sep 06, 2016","Apr 06, 2017",,Hardcover,view (with text),/book/show/1971304.City_of_Thieves
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Suitable Girl        (A Bridge of Leaves, #2)","Seth, Vikram",1780227884,9781780227887,1780227884,800        pp,4.24,131,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2017",,Paperback,view,/book/show/34522384-a-suitable-girl
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enigma Variations,"Aciman, André*",,,,266        pp,3.65,"11,672","Jan 03, 2017",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2017",,Hardcover,view,/book/show/34394680-enigma-variations
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mindblind,"Roy, Jennifer",076145716X,9780761457169,076145716X,248        pp,3.94,"1,194","Oct 01, 2010","Oct 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 23, 2017",,Hardcover,view,/book/show/8077593-mindblind
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,H,"Shepard, Elizabeth",0140243895,9780140243895,0140243895,176        pp,3.62,128,"Apr 01, 1995","Jun 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2017",,Paperback,view,/book/show/582201.H
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Asperger Sunset,"Hornung, Carol Shay*",1482735776,9781482735772,1482735776,268        pp,4.23,43,"Jul 08, 2013","Jul 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2017",,Paperback,view,/book/show/18190643-asperger-sunset
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Speed of Dark,"Moon, Elizabeth",0345481399,9780345481399,0345481399,369        pp,3.99,"11,146",2002,"Jun 28, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2017",,Paperback,view,/book/show/96063.The_Speed_of_Dark
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nix,"Hill, Nathan",110194661X,9781101946619,110194661X,640        pp,4.08,"74,430","Aug 30, 2016","Aug 30, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 19, 2017","Apr 06, 2017","Feb 19, 2017",,Hardcover,view,/book/show/28251002-the-nix
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ghosts of Watt O'Hugh,"Drachman, Steven S.*",0578085909,9780578085906,0578085909,214        pp,3.48,113,"Jun 28, 2011","Jan 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 07, 2017",,Paperback,view,/book/show/12440035-the-ghosts-of-watt-o-hugh
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Swans of Fifth Avenue,"Benjamin, Melanie*",0345528697,9780345528698,0345528697,368        pp,3.63,"34,289","Jan 26, 2016","Jan 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 05, 2017",,Hardcover,view,/book/show/25279165-the-swans-of-fifth-avenue
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,410","Sep 01, 2005","Mar 14, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I believe this book was marketed as YA. Hahahahaha.Perhaps it was inevitable, with the enormous renaissance of the YA genre, that any novel revolving I believe this book was marketed as YA. Hahahahaha.Perhaps it was inevitable, with the enormous renaissance of the YA genre, that any novel revolving an underage protagonist be thus marketed. Obviously the label didn't scare away older readers, so what's in a name? (Or in this case, what's on a shelf?)*The Book Thief* has an original premise (you already know that it's narrated by Death), and looks at an unfamiliar part of very familiar territory: the Second World War: civilian life in Germany. Liesel Meminger, the eponymous heroine, comes of age in a working-class town in Germany during the Third Reich--not one of humanity's finest hours.I can't add anything to what other ers have contributed. I'm satisfied being one more voice that says, ""Whoa, dude, incredibly awesome job.""...more",Notes are private!,0,0,1,not set,not set,"Feb 01, 2017",,Kindle Edition,view (with text),/book/show/19063.The_Book_Thief
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Whites,"Brandt, Harry",0805093990,9780805093995,0805093990,333        pp,3.64,"10,549","Feb 12, 2015","Feb 17, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"*The Whites* was a unique experience for me.i began listening to it on CD in the car, which is how I consume many--okay, probably most books. I soon f*The Whites* was a unique experience for me.i began listening to it on CD in the car, which is how I consume many--okay, probably most books. I soon found myself rewinding frequently, though, so as to fully appreciate Brandt/Price's writing. The next thing I knew--poof! I had downloaded the e-version so that I could take my time with its lyrical prose.Combining such good writing with an adequately violent story is an accomplishment. I stopped short of the full 5 since the steam of that story gave out its last puff a little early.Worst kept publishing secret: Harry Brandt is Richard Price's nom de cop writing. ""Richard Price"" is a literary name, evocative of Richard Ford, among others. And ""Harry"" makes us think of Harry Bosch, of course. Then there's ""Brandt"" as in ""brand name."" H'm. I would have chosen something less likely to be misspelled....more",Notes are private!,0,1,1,not set,Jan 2015,"Jan 30, 2017",,Hardcover,view (with text),/book/show/22895696-the-whites
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Judas,"Oz, Amos",0544464044,9780544464049,0544464044,305        pp,3.85,"8,607",2014,"Nov 08, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2017","Feb 19, 2017","Jan 16, 2017",,Hardcover,view,/book/show/28114464-judas
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Circling the Sun,"McLain, Paula*",0345534182,9780345534187,0345534182,366        pp,3.94,"78,949","Jul 28, 2015","Jul 28, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2016","Jan 16, 2017","Nov 19, 2016",,Hardcover,view,/book/show/23995231-circling-the-sun
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Max's Diamonds,"Greenfield, Jay",099132742X,9780991327423,099132742X,394        pp,3.92,48,unknown,"May 01, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was wary of another book about the Holocaust, even though three of my favorite books from the last ten years have been Holocaust-related (Hope: A TrI was wary of another book about the Holocaust, even though three of my favorite books from the last ten years have been Holocaust-related (Hope: A Tragedy; City of Women; The Book Thief--some day I'll  them, or at least add them to my shelf).Max's Diamonds is post-Holocaust and deals with its effects on the next generation. I imagine that there have been other novels about survivor guilt, but I haven't read them. I read this one, and I'm glad I did.Again, of greatest interest to me was the close look at how the children and relatives of victims and survivors have to reconcile their own, privileged lives (simply being alive is a privilege) against the backdrop of one of history's most unfathomable horrors.There's no pedantry here, though. The plot is as intricately woven as a rag rug. No spoilers: I'll only say that the protagonist is Paul (ne Peretz) and the diamonds of the title are the concrete legacy of the Holocaust that he metaphorically carries with him through this beautifully-written novel....more",Notes are private!,0,1,1,not set,"Jul 16, 2016","Jul 18, 2016",,Paperback,view (with text),/book/show/27851237-max-s-diamonds
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bettyville: A Memoir,"Hodgman, George",0525427201,9780525427209,0525427201,279        pp,3.74,"8,045","Mar 10, 2015","Mar 10, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the book that got me back onto my much-neglected Goodreads account. A leeetle slow to start --but beware the book that opens with cataclysmic This is the book that got me back onto my much-neglected Goodreads account. A leeetle slow to start --but beware the book that opens with cataclysmic events: Where to go from there? And spare me the post-Apocalyptic landscape. We'll get there soon enough.*Bettyville* describes a pre-Apocalyptic world, but one that seems bleak enough to a city girl (we're talking about ME now). The idea that one has to drive G-d knows how many hours just to get to St. Louis (ST. LOUIS??) fills me with dread. WHERE IS STARBUCKS?It isn't clear, in Hodgman's memoir, whether Starbucks has come to Paris, Missouri yet. What is clear is that Wal-Mart dealt the fatal blow to small towns across America, where the family-owned farms and businesses are far less common than meth labs. Hodgman's own grandmother's house has become a meth lab and the site of a homicide. Other features common to dying small towns are dying churches and even an elderly, and thus dying, population. This small town's name is Paris. You couldn't make that up....more",Notes are private!,0,2,1,"Jul 12, 2016","Jul 12, 2016","Jul 12, 2016",,Hardcover,view (with text),/book/show/22571772-bettyville
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,343","May 06, 2014","Jan 01, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reasons behind the overwhelmingly success of this book elude me. The writing, *bien sur*, is of the highest possible quality. The author's knowledge oReasons behind the overwhelmingly success of this book elude me. The writing, *bien sur*, is of the highest possible quality. The author's knowledge of the engineering & electronics, of history, of the various settings, and other areas is awe-inspiring.Yet the story of two the two main characters didn't fulfill my expectations. If I say why, I will have committed the Felony of Spoilers, so there I will stop....more",Notes are private!,0,0,1,not set,not set,"Jun 21, 2016",,Hardcover,view (with text),/book/show/18143977-all-the-light-we-cannot-see
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,148","Sep 23, 2013","Oct 22, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes, me and 5 billion others have read this book, and I can only justify clogging the Information Superhighway because I didn't ""read"" it -- I listeneYes, me and 5 billion others have read this book, and I can only justify clogging the Information Superhighway because I didn't ""read"" it -- I listened to the audio version, which a friend so generously gave me as a holiday gift.I loved the book, but I'm sure that my enjoyment was enhanced by David Pittu's performance. He is the single best narrator I've heard in a decade of listening to recorded books. Pittu could mimic any accent with authority, and brings the novel's best character, Boris, to brilliant life. He even made a very convincing female. (That's a compliment, Mr. Pittu!)The book could have been shorter by as much as a third, but when you're reading *or* listening to a good book, what's the hurry? Also, I was pretty darn impressed with Ms. Tartt's knowledge of such a wide array of subjects as antiques, the streets of Amsterdam, the art world -- and of course, the effects of Narcam on a heroin addict....more",Notes are private!,0,0,1,not set,Feb 2014,"Sep 19, 2014",,Hardcover,view (with text),/book/show/17333223-the-goldfinch
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,100","Apr 05, 2005","Aug 31, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In an unspecified, yet not-too-distant future, most diseases can be cured -- by harvesting the organs of clones created and raised for that sole purpoIn an unspecified, yet not-too-distant future, most diseases can be cured -- by harvesting the organs of clones created and raised for that sole purpose.The medical niceties are left to our imagination. What we know is that the children raised for this purpose are real people with real problems, the biggest of which isn't necessarily how to escape their adulthood which will be cut short once they've given up a little too much of their insides.It's a brilliant concept, and Ishiguro handles it with his characteristic understatement. I stopped short of giving this book a 5-star rating only because there was a little too much middle-school drama among the growing children. I hear about that enough at home....more",Notes are private!,0,1,1,not set,Dec 2013,"Sep 18, 2014",,Paperback,view (with text),/book/show/6334.Never_Let_Me_Go
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orphan Train,"Kline, Christina Baker*",,,,278        pp,4.19,"442,008","Apr 02, 2013","Apr 02, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 17, 2014",,Paperback,view,/book/show/15818107-orphan-train
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Women,"Gillham, David R.*",039915776X,9780399157769,039915776X,392        pp,3.79,"17,676","Aug 07, 2012","Aug 07, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is an intelligently-written look at German civilian life during the war. Although not a thriller, it has a suspenseful plot.",Notes are private!,0,0,1,not set,Nov 2013,"Sep 17, 2014",,Hardcover,view (with text),/book/show/13593526-city-of-women
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Should Have Known,"Korelitz, Jean Hanff*",1455599492,9781455599493,1455599492,439        pp,3.45,"29,807","Mar 18, 2014","Mar 18, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"May 12, 2017","Sep 16, 2014",,Hardcover,view,/book/show/17893439-you-should-have-known
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sister Mine,"O'Dell, Tawni*",0307351262,9780307351265,0307351262,416        pp,3.65,"1,920","Jan 01, 2007","Mar 13, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Shae-Lynn Penrose is as hard and gritty as the coal her father once mined from the earth, until that earth swallowed him up in an explosion. She's beeShae-Lynn Penrose is as hard and gritty as the coal her father once mined from the earth, until that earth swallowed him up in an explosion. She's been a single mom, a D.C. cop, and now she's the owner of her small town's sole taxi cab.Author Tawni O'Dell grabbed me with Shae-Lynn's voice from the first sentence, and by page 3 I was deep in the story when I learned that the sister Shae-Lynn has thought dead these many years might still alive. From then on the shocks keep coming like the first warning signs of another mine collapse.This is the first book I've picked up in a long, long time that kept me entertained while nourishing me in equal measure. *Sister Mine* is funny, especially in its crackling dialogue and through Shae-Lynn's wry observations, while it also provides a fresh look at an aspect of American life that gets little exposure: the world of a small mining town. I enjoyed reading about men who take pride in doing their jobs well. I'm not ready to go down a shaft myself yet (I suffer from claustrophobia), but it was good to see the other side, so to speak, of a profession that's not real high on the prestige scale. Seeing that while following Shae-Lynn's humorous, amorous, yet redemtive adventures kept me glued to the futon so that I finished the book almost one sitting....more",Notes are private!,0,0,1,not set,Nov 2007,"Dec 11, 2007",,Hardcover,view (with text),/book/show/183328.Sister_Mine
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yiddish Policemen's Union,"Chabon, Michael",0007149824,9780007149827,0007149824,414        pp,3.71,"76,740","May 01, 2007","May 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You don't have to be Jewish... But you'd miss a lot. In fact, you'll miss a lot unless you remember your parents or grandparents dropping some YiddishYou don't have to be Jewish... But you'd miss a lot. In fact, you'll miss a lot unless you remember your parents or grandparents dropping some Yiddish words. It seems to me that Chabon took a risky career move with this book, but I admire him all the more for that, and the writing, if possible, is even better than his Pulitzer Prize-winning *Kavalier and Clay.* *Yiddish Policeman* combines alternative history (a la Philip Roth's recent *The Plot Against America*) with noir dectective fiction and throws in a little Isaac Bashevis Singer. The sheer chutzpah of his attempt is awe-inspiring and the results are everything I would have hoped. The Yiddish detective in question is Meyer Landsman, a character strictly in the tradition of Philip Marlowe and Sam Spade, except that this cop is living in an imaginary Jewish settlement in the Alaskan panhandle, a temporary refuge for Jews to escape the Nazis. Where many an interested reader might get lost is in the Yiddish puns and Jewish history not well-known to a new, assimiliated generation, let alone non-Jews.In Chabon's world the state of Israel was never established and soon this frozen tundra, too, will be pulled out from under their community -- the rich subculture that Hitler did, for all intents and purposes, annihilate. I wasn't thrilled with some of Chabon's portrayals either of these Jews or their history: in the first place, many are thugs, and in the second, winning the War of Independence is one of the greatest moments in our history. But a writer has to write without worrying about offending his or her audience -- or what's a First Amendment for?...more",Notes are private!,0,0,1,not set,Jul 2007,"Nov 25, 2007",,Hardcover,view (with text),/book/show/16703.The_Yiddish_Policemen_s_Union
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",,,0060838728,318        pp,3.93,"283,423","May 22, 2001","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I finally got around to reading this book, which has been recommended to me for many years by well-regarded friends. I kept postponing it because the I finally got around to reading this book, which has been recommended to me for many years by well-regarded friends. I kept postponing it because the premise seemed so off-putting: a gathering of elite international guests are taken hostage in an unnamed banana republic (a small South or Central American country, not the store). Yet once I resolved to get past the grim set-up I was swept away by the author's subtle, inventive and ambitious tale of the Stockholm Syndrome run amok as guerrilas and prisoners work out a way of living together over a period of months while trapped in the vice president's mansion. The book is remarkably (and happily, in my view)apolitical; the story is all about human nature and how it transcends language and culture. The common ground that does bring this unlikely group together is music, and although I prefer the middle-brow Broadway musical form to the more refined opera that touches these souls, still I could feel the passion behind the passion. The book starts surprisingly slowly, considering how many assault weapons are involved, and there are side trips into various characters' pasts that will bore some. But I'm very glad I finally got it off the shelf; I'm a better person for having read it, if not ready to run for office....more",Notes are private!,0,4,1,not set,Nov 2007,"Nov 25, 2007",,Paperback,view (with text),/book/show/5826.Bel_Canto
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Thousand Splendid Suns,"Hosseini, Khaled*",1594489505,9781594489501,B002FVPH5A,372        pp,4.43,"1,529,493",May 2007,"Jan 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hasseini has the kind of magical storyteller's voice that can make the tale of a trip to the grocery store compelling. His prose is elegant but straigHasseini has the kind of magical storyteller's voice that can make the tale of a trip to the grocery store compelling. His prose is elegant but straightforward and never slows the action (one of my pet peeves about so much literary fiction that ers *kvell* about).*A Thousand Splendid Suns* covers the recent turbulent decades in Afghanistan, beginning before the Soviet invasion. No journalist, not even one conductucting interviews with people who have lived through those times, and no photographer, not even one willing to show body parts dangling from trees, can convey the uncertainty and hardship of those times, or the human drive to find small pleasures where they might hide, the way a good novelist such as Hasseini can. And his book is where I feel I've gained the most understanding into this country and its people.Hasseini's work has been called melodramatic but when told by an intelligent writer, and when I supported by complex characters, I LIKE good melodrama. I cared about these fictional people and what happened to them. I miss them now that they're gone from my life....more",Notes are private!,0,1,1,not set,Aug 2007,"Sep 07, 2007",,Hardcover,view (with text),/book/show/128029.A_Thousand_Splendid_Suns
