,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laala's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoner,"Williams, John",1590171993,9781590171998,1590171993,288        pp,4.33,"166,233",1965,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 15, 2020","Jul 22, 2020","Jul 15, 2020",,Paperback,view,/book/show/166997.Stoner
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Behind the Beautiful Forevers: Life, death, and hope in a Mumbai undercity","Boo, Katherine",0307934063,9780307934062,,unknown,3.98,"109,801","Apr 08, 2012","Feb 07, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 12, 2020","Jul 15, 2020","Jul 12, 2020",,Audio,view,/book/show/13135039-behind-the-beautiful-forevers
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dutch House,"Patchett, Ann",0062963678,9780062963673,0062963678,337        pp,4.10,"446,718","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2020",,Hardcover,view,/book/show/44318414-the-dutch-house
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stray,"Danler, Stephanie*",1101875968,9781101875964,1101875968,240        pp,3.85,"5,647","May 19, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 10, 2020",,Hardcover,view,/book/show/49881487-stray
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Pleasures,"Chambers, Clare",1474613888,9781474613880,1474613888,352        pp,3.78,"54,223","Oct 12, 2021","Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2020",,Hardcover,view,/book/show/51475209-small-pleasures
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations with Friends,"Rooney, Sally*",0451499077,,B01M6XMA62,304        pp,3.76,"474,098","May 25, 2017","Jul 11, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jul 08, 2020","Jul 09, 2020","Jul 08, 2020",,Kindle Edition,view,/book/show/32187419-conversations-with-friends
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At Her Command        (Mistresses of the Board Room #1),"Hill, Joey W.*",1951544064,9781951544065,B0868TM1D8,518        pp,4.12,438,"Jun 15, 2020","Jun 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 06, 2020","Jul 08, 2020","Jul 08, 2020",,Kindle Edition,view,/book/show/52682301-at-her-command
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Half,"Bennett, Brit*",,,,343        pp,4.15,"753,560","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2020",,Hardcover,view,/book/show/51791252-the-vanishing-half
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brief History of Time: From the Big Bang to Black Holes,"Hawking, Stephen",0857501003,9780857501004,0857501003,241        pp,4.21,"432,068",Sep 1988,2011,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jul 2020,"Jul 07, 2020","Jul 01, 2020",,Paperback,view,/book/show/12356699-a-brief-history-of-time
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migraine,"Sacks, Oliver",0330526146,9780330526142,0330526146,368        pp,3.79,"2,534",1970,"May 10, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 30, 2020",Jul 2020,"Jun 30, 2020",,Paperback,view,/book/show/10444731-migraine
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unwinding of the Miracle: A Memoir of Life, Death, and Everything That Comes After","Yip-Williams, Julie",0525511350,9780525511359,0525511350,315        pp,4.09,"10,478","Jan 08, 2019","Jan 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 30, 2020",,Hardcover,view,/book/show/39216478-the-unwinding-of-the-miracle
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Live the Tribe of Fatherless Girls,"Madden, T Kira*",1635571855,9781635571851,1635571855,336        pp,4.26,"9,594","Mar 19, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 30, 2020",,Hardcover,view,/book/show/40046084-long-live-the-tribe-of-fatherless-girls
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Never Said I Loved You,"Samadder, Rhik",1472250680,9781472250681,B07NQSQM5X,270        pp,3.98,"1,252","Aug 06, 2019","Aug 06, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2020",,Kindle Edition,view,/book/show/45157217-i-never-said-i-loved-you
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Fadiman, Anne",0374525641,9780374525644,B007CFQ9QK,341        pp,4.20,"82,911",1997,"Jan 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 29, 2020","Jun 30, 2020","Jun 29, 2020",,Paperback,view,/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adults,"Unsworth, Emma Jane",0008334595,9780008334598,0008334595,400        pp,3.29,"12,476","Jan 30, 2020","Feb 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2020",,Hardcover,view,/book/show/45835845-adults
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Silence Will Not Protect You: Essays and Poems,"Lorde, Audre",0995716226,9780995716223,0995716226,229        pp,4.63,"2,373","Oct 02, 2017","Oct 02, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 27, 2020","Jun 28, 2020","Jun 27, 2020",,Paperback,view,/book/show/36355617-your-silence-will-not-protect-you
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kim Jiyoung, Born 1982","Cho, Nam-Joo",1631496700,9781631496707,1631496700,163        pp,4.17,"142,936","Oct 14, 2016","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 07, 2020",,Hardcover,view,/book/show/46041199-kim-jiyoung-born-1982
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretending,"Bourne, Holly*",,9781529312010,,438        pp,3.87,"11,578","Apr 02, 2020","Apr 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 04, 2020",,Hardcover,view,/book/show/43788851-pretending
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dominicana,"Cruz, Angie",125020593X,9781250205933,125020593X,323        pp,4.11,"34,509","Sep 03, 2019","Sep 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2020",,Hardcover,view,/book/show/43263696-dominicana
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olive,"Gannon, Emma*",0008382727,9780008382728,0008382727,410        pp,3.68,"17,752","Jun 25, 2020","Jun 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2020",,Hardcover,view,/book/show/52928287-olive
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untamed,"Doyle, Glennon*",1984801252,9781984801258,1984801252,333        pp,3.99,"439,879","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2020",,Hardcover,view,/book/show/52129515-untamed
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Severance,"Ma, Ling*",0374261598,9780374261597,0374261598,291        pp,3.92,"99,022","Aug 14, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2020",,Hardcover,view,/book/show/36348525-severance
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay with Me,"Adebayo, Ayobami*",0451494601,9780451494603,0451494601,260        pp,4.06,"57,900","Mar 02, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2020",,Hardcover,view,/book/show/32969150-stay-with-me
