,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barbara (The Bibliophage)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Grandmother's Hands: Racialized Trauma and the Mending of Our Bodies and Hearts,"Menakem, Resmaa*",1942094477,9781942094470,1942094477,300        pp,4.41,"9,462","Aug 21, 2017","Sep 19, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/34146782-my-grandmother-s-hands
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Don't Know Us Negroes and Other Essays,"Hurston, Zora Neale",0063043858,9780063043855,0063043858,465        pp,4.05,634,"Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/57797675-you-don-t-know-us-negroes-and-other-essays
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Trauma of Caste: A Dalit Feminist Meditation on Survivorship, Healing, and Abolition","Soundararajan, Thenmozhi*",1623177650,9781623177652,1623177650,256        pp,4.45,297,unknown,"Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/60734747-the-trauma-of-caste
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siren Queen,"Vo, Nghi*",,,B09C4F52CS,281        pp,3.68,"10,623","May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/54102727-siren-queen
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Body,"Ratajkowski, Emily",1250817862,9781250817860,1250817862,239        pp,4.02,"67,921","Nov 09, 2021","Nov 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/57145833-my-body
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Change,"Miller, Kirsten*",0063144042,9780063144040,0063144042,480        pp,4.10,"41,013","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/59030015-the-change
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beautiful Ones,"Moreno-Garcia, Silvia*",,,B08GJQD2HD,320        pp,3.86,"19,611","Oct 24, 2017","Apr 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/55311334-the-beautiful-ones
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black God's Drums,"Clark, P. Djèlí*",,,B0791JV58Z,112        pp,4.02,"10,042","Aug 21, 2018","Aug 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/38118138-the-black-god-s-drums
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Jane Young,"Zevin, Gabrielle*",1616205040,9781616205041,1616205040,294        pp,3.80,"30,584","Aug 22, 2017","Aug 22, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/33590214-young-jane-young
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Burning,"Majumdar, Megha*",0525658696,9780525658696,0525658696,304        pp,3.73,"49,520","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/51792100-a-burning
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Norse Queen        (The Norsewomen, #1)","Wittenberg, Johanna*",,,B084F235KQ,320        pp,4.14,"1,532",unknown,"Feb 11, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/51193518-the-norse-queen
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bookstore Sisters,"Hoffman, Alice*",1662510500,,B0BB52CCND,36        pp,4.03,"74,266","Nov 01, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/62337113-the-bookstore-sisters
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fire and the Ore,"Hawker, Olivia",1542037085,9781542037082,B09KLLGPFV,393        pp,4.07,"11,768","Oct 11, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/59490731-the-fire-and-the-ore
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kaikeyi,"Patel, Vaishnavi*",0759557330,9780759557338,0759557330,478        pp,4.19,"28,045","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/57127277-kaikeyi
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Exile, Texas","Caine, Rachel",,,B09CYFT8BS,229        pp,4.22,540,Nov 2003,"Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/59071217-exile-texas
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer Island,"Hannah, Kristin*",,,,416        pp,3.97,"80,409","Nov 02, 2004",Jun 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/40389026-summer-island
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soul of a Woman,"Allende, Isabel*",0593355628,9780593355626,0593355628,174        pp,4.04,"27,278","Nov 05, 2020","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/54075385-the-soul-of-a-woman
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satanic Verses,"Rushdie, Salman",0312270828,9780312270827,0312270828,561        pp,3.71,"65,679","Sep 26, 1988",1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/12781.The_Satanic_Verses
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Russian Cage        (Gunnie Rose, #3)","Harris, Charlaine*",1481494996,9781481494991,1481494996,304        pp,4.11,"7,174","Feb 23, 2021","Feb 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/54303131-the-russian-cage
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Master of Djinn        (Dead Djinn Universe, #1)","Clark, P. Djèlí*",,,B08HKXS84X,438        pp,4.04,"27,398","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Kindle Edition,view,/book/show/52504334-a-master-of-djinn
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Songs of W.E.B. Du Bois,"Jeffers, Honorée Fanonne",006294293X,9780062942937,006294293X,816        pp,4.52,"33,628","Aug 24, 2021","Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Hardcover,view,/book/show/51183428-the-love-songs-of-w-e-b-du-bois
