,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
83,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,334","Mar 10, 2015","Mar 10, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<.... postžmogus, jis niekada nepraleisdavo progos pasinaudoti kieno nors nejaukia padėtimi, kad tik galėtų nukreipti dėmesį nuo savęs...>",Notes are private!,0,18,1,"Mar 02, 2022","Mar 19, 2022","Mar 02, 2022",,Hardcover,view (with text),/book/show/22822858-a-little-life
84,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mano policininkas,"Roberts, Bethan",,9786090307519,,352        pp,4.01,"79,686","Feb 02, 2012",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2022",,Hardcover,view,/book/show/59664088-mano-policininkas
85,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success","Morin, Amy*",0062391542,9780062391544,0062391542,272        pp,3.91,"25,975","Dec 23, 2014","Dec 23, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... Neišgydysime praeities, jeigu laikysimės jos įsikibę; praeitį gydome tik gyvendami dabartimi...>",Notes are private!,0,4,1,"Feb 27, 2022","Mar 02, 2022","Feb 27, 2022",,Hardcover,view (with text),/book/show/23215490-13-things-mentally-strong-people-don-t-do
86,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One of Us Is Lying        (One of Us is Lying, #1)","McManus, Karen*",0593565371,9780593565377,0593565371,416        pp,3.94,"845,761","May 30, 2017","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2022",,Hardcover,view,/book/show/58679358-one-of-us-is-lying
87,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humble Pi: A Comedy of Maths Errors,"Parker, Matt",0241360196,9780241360194,0241360196,314        pp,4.11,"17,555","Mar 07, 2019","Mar 07, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... kaip sakoma, gyvenime gal būti tikras tik dėl trijų dalykų: mirties, mokesčių ir žmonių mėginančių mokesčių išvengti...>",Notes are private!,0,7,1,"Feb 24, 2022","Feb 27, 2022","Feb 24, 2022",,Paperback,view (with text),/book/show/39074550-humble-pi
88,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Roxana: The Fortunate Mistress,"Defoe, Daniel",0140431497,9780140431490,0140431497,416        pp,3.42,"5,278",1724,"Jun 24, 1982",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2022",,Paperback,view,/book/show/785894.Roxana
89,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La bibliotecaria de Saint-Malo,"Escobar, Mario*",0063012375,9780063012370,,352        pp,3.70,"3,349","Nov 10, 2020","Nov 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2022",,ebook,view,/book/show/48612824-la-bibliotecaria-de-saint-malo
90,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Walls and a Roof: The Complex Nature of a Simple Profession,"Graaf, Reinier de",067497610X,9780674976108,067497610X,528        pp,4.16,276,"Sep 25, 2017","Sep 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2022",,Hardcover,view,/book/show/34758219-four-walls-and-a-roof
91,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Women: Exposing Data Bias in a World Designed for Men,"Criado Pérez, Caroline",1784706280,9781784706289,1784706280,411        pp,4.35,"117,319","Mar 07, 2019","Mar 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2022",,Paperback,view,/book/show/46158570-invisible-women
92,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Find Me        (Call Me By Your Name, #2)","Aciman, André*",0374155011,9780374155018,0374155011,260        pp,3.27,"73,122","Oct 29, 2019","Oct 29, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...Vis dėl to darau prielaidą, kad, nepaisant išorinių panašumų, būtis ir laikas neina greta ir keliauja visiškai skirtingomis trajektorijomis...>",Notes are private!,0,3,1,"Feb 19, 2022","Feb 23, 2022","Feb 19, 2022",,Hardcover,view (with text),/book/show/44581535-find-me
93,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Delirious New York: A Retroactive Manifesto for Manhattan,"Koolhaas, Rem",1885254008,9781885254009,1885254008,320        pp,4.25,"3,384",1978,"Dec 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2022",,Paperback,view,/book/show/118108.Delirious_New_York
94,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everest Solo: Der gläserne Horizont,"Messner, Reinhold",3596150922,9783596150922,3596150922,256        pp,4.04,811,"Jan 01, 1989","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2022",,Paperback,view,/book/show/4158176-everest-solo
95,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Recovery of Rose Gold,"Wrobel, Stephanie*",1405943548,9781405943543,1405943548,400        pp,3.71,"36,730","Mar 17, 2020","Mar 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2022",,ebook,view,/book/show/51013013-the-recovery-of-rose-gold
96,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talking It Over,"Barnes, Julian",0679736875,9780679736875,0679736875,275        pp,3.71,"6,194",1991,"Oct 27, 1992",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<....bet juk žmogus jaučia pareigą būti optimistiškas tik kitų akyse, o ne pats prieš save...>",Notes are private!,0,3,1,"Jan 17, 2022","Feb 19, 2022","Jan 17, 2022",,Paperback,view (with text),/book/show/830526.Talking_It_Over
97,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebel Ideas: The Power of Diverse Thinking,"Syed, Matthew",,,B07CG9MVD1,320        pp,4.28,"4,841","Sep 01, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2022",,Kindle Edition,view,/book/show/52326253-rebel-ideas
98,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Story,"Barnes, Julian",1473554799,9781473554795,,272        pp,3.61,"23,639","Feb 01, 2018","Feb 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<....meilė, netgi pati aistringiausia ir nuoširdžiausia, išmaniai prievartaujama, metai iš metų, susitraukia į gailesčio ir pykčio kamuolį..>",Notes are private!,0,8,1,"Jan 14, 2022","Jan 17, 2022","Jan 14, 2022",,ebook,view (with text),/book/show/35570812-the-only-story
99,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prince and the Pauper,"Twain, Mark",0451528352,9780451528353,0451528352,240        pp,3.87,"119,377",1881,"May 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2022",,Paperback,view,/book/show/62446.The_Prince_and_the_Pauper
100,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,12 Rules for Life: An Antidote to Chaos,"Peterson, Jordan B.",0345816021,9780345816023,0345816021,409        pp,3.93,"222,361","Jan 16, 2018","Jan 23, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<.....Žmonės yra riboti, o gyvenimas - tragiškas....>",Notes are private!,0,4,1,"Dec 22, 2021","Jan 14, 2022","Dec 22, 2021",,Hardcover,view (with text),/book/show/30257963-12-rules-for-life
101,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Machiavelli For Women: Defend Your Worth, Grow Your Ambition, and Win the Workplace","Smith, Stacey Vanek*",1982121750,9781982121754,1982121750,224        pp,4.04,"1,515","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2021",,Hardcover,view,/book/show/52765382-machiavelli-for-women
102,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confessions of an English Opium Eater,"De Quincey, Thomas",,,0140439013,352        pp,3.28,"10,067",1821,"Apr 29, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<....toks aklas buvau, įkritęs į savo troškimus, nes jeigu egzistuoja šydas, dengiantis nuo trumparegio žmogaus žvilgsnio į ateities negandas, tas pat<....toks aklas buvau, įkritęs į savo troškimus, nes jeigu egzistuoja šydas, dengiantis nuo trumparegio žmogaus žvilgsnio į ateities negandas, tas pats šydas slepia ir išsilaisvinimo nuo jų galimybę, todėl sielvartą, kurio nesibaiminome, pakeičia netikėta paguoda. .....>...more",Notes are private!,0,6,1,"Dec 17, 2021","Dec 21, 2021","Dec 17, 2021",,Paperback,view (with text),/book/show/87635.Confessions_of_an_English_Opium_Eater
103,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Early Life, 1874-1904","Churchill, Winston S.",0684823454,9780684823454,0684823454,396        pp,4.25,"4,276",Oct 1930,"Jun 06, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2021",,Paperback,view,/book/show/90229.My_Early_Life_1874_1904
104,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shoe Dog: A Memoir by the Creator of Nike,"Knight, Phil",1501135910,9781501135910,1501135910,400        pp,4.47,"298,392","Apr 24, 2016","Apr 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2021",,Hardcover,view,/book/show/27220736-shoe-dog
105,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memoirs and Misinformation,"Carrey, Jim",0525655972,9780525655978,0525655972,255        pp,2.87,"5,017","Jul 01, 2020","Sep 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2021",,Hardcover,view,/book/show/52914416-memoirs-and-misinformation
106,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aristotle and Dante Discover the Secrets of the Universe        (Aristotle and Dante, #1)","Sáenz, Benjamin Alire*",1442408928,9781442408920,1442408928,390        pp,4.31,"600,437","Feb 21, 2012","Feb 21, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Hardcover,view,/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
107,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miroir de nos peines,"Lemaitre, Pierre",2226449752,9782226449757,B0814FP6PM,525        pp,4.06,"3,162","Jan 02, 2020","Jan 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Kindle Edition,view,/book/show/50243533-miroir-de-nos-peines
108,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work","Kotler, Steven*",0062429671,9780062429674,,304        pp,3.95,"8,358","Feb 21, 2017","Feb 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,ebook,view,/book/show/30317415-stealing-fire
109,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Pensée et le mouvant: Essais et conférences,"henri, bergson",213045514X,9782130455141,213045514X,304        pp,4.06,312,1934,"Jan 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Paperback,view,/book/show/3299872-la-pens-e-et-le-mouvant
110,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Art of Procrastination: A Guide to Effective Dawdling, Lollygagging and Postponing","Perry, John R.",,9780761171676,B0C5CNK2H6,112        pp,3.65,"3,558","Sep 13, 2012","Sep 13, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2021",,Hardcover,view,/book/show/15699869-the-art-of-procrastination
111,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quando tornerò,"Balzano, Marco",8806247271,9788806247270,8806247271,208        pp,3.86,"1,309","Mar 09, 2021","Mar 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2021",,Hardcover,view,/book/show/57227592-quando-torner
112,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apocalypse Never: Why Environmental Alarmism Hurts Us All,"Shellenberger, Michael",0063001705,9780063001701,,272        pp,4.19,"5,399","Jun 23, 2020","Jun 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2021",,ebook,view,/book/show/50173134-apocalypse-never
113,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crime and Punishment,"Dostoevsky, Fyodor",,,,671        pp,4.27,"903,860",1866,"Dec 31, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<..... Tiesa, norint bešališkai spręsti apie kai kuriuos žmones, reikia iš anksto atsisakyti kai kurių pažiūrų ir kasdienio pripratimo prie savo aplin<..... Tiesa, norint bešališkai spręsti apie kai kuriuos žmones, reikia iš anksto atsisakyti kai kurių pažiūrų ir kasdienio pripratimo prie savo aplinkos žmonių ir daiktų. ... >...more",Notes are private!,0,10,1,"Nov 14, 2021","Dec 17, 2021","Nov 14, 2021",,Paperback,view (with text),/book/show/7144.Crime_and_Punishment
114,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il colibrì,"Veronesi, Sandro",,,B07Z6M8RZC,307        pp,3.85,"12,665","Oct 24, 2019","Oct 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2021",,Kindle Edition,view,/book/show/48566054-il-colibr
115,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Library,"Haig, Matt*",,,,288        pp,4.00,"1,766,944","Aug 13, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2021",,Hardcover,view,/book/show/52578297-the-midnight-library
116,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Winter Soldier,"Mason, Daniel*",0316477605,9780316477604,0316477605,323        pp,3.98,"13,764","Sep 11, 2018","Sep 11, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2021",,Hardcover,view,/book/show/37946436-the-winter-soldier
117,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Banker’s Wife,"Alger, Cristina*",0735218455,9780735218451,0735218455,341        pp,3.90,"18,736","Jul 03, 2018","Jul 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2021",,Hardcover,view,/book/show/36398129-the-banker-s-wife
118,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oblivion: Stories,"Wallace, David Foster",0316010766,9780316010764,0316010766,329        pp,4.07,"14,607","Jun 08, 2004","Aug 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 06, 2021",,Paperback,view,/book/show/6749.Oblivion
119,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fleishman Is in Trouble,"Brodesser-Akner, Taffy",0525510877,9780525510871,0525510877,373        pp,3.64,"81,617","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2021",,Hardcover,view,/book/show/41880602-fleishman-is-in-trouble
120,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Propaganda,"Bernays, Edward L.",0970312598,9780970312594,0970312598,168        pp,3.76,"7,407",1928,"Sep 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2021",,Paperback,view,/book/show/493212.Propaganda
121,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Secret,"Lester, Natasha*",153871728X,9781538717288,153871728X,496        pp,4.47,"13,159",Mar 2020,"Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 31, 2021",,Paperback,view,/book/show/50358502-the-paris-secret
122,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Dickens, Charles",0192833596,9780192805218,0192833596,544        pp,3.79,"802,586","Dec 01, 1860",1998,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dievas žino, kad ašarų niekada nereikia gėdytis, nes jos yra lietus, kuris suvilgo alsias kelio dulkes, atgaivina kietas mūsų širdis.",Notes are private!,0,10,1,"Oct 23, 2021","Nov 14, 2021","Oct 23, 2021",,Paperback,view (with text),/book/show/2623.Great_Expectations
123,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burnt Sugar,"Doshi, Avni*",024144151X,9780241441510,024144151X,240        pp,3.27,"22,532","Aug 25, 2019","Jul 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2021",,Paperback,view,/book/show/52969580-burnt-sugar
124,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nobel : Den gåtfulle Alfred, hans värld och hans priser","Carlberg, Ingrid",911306939X,9789113069395,911306939X,650        pp,4.34,262,"Sep 20, 2019","Sep 20, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2021",,Hardcover,view,/book/show/45836157-nobel
125,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El infinito en un junco: La invención de los libros en el mundo antiguo,"Vallejo, Irene",8417860797,9788417860790,8417860797,452        pp,4.27,"16,428","Sep 18, 2019","Sep 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2021",,Paperback,view,/book/show/51554723-el-infinito-en-un-junco
126,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,"Gates, Bill*",0241448301,9780241448304,0241448301,272        pp,4.13,"46,342","Feb 16, 2021","Feb 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2021",,Hardcover,view,/book/show/52275335-how-to-avoid-a-climate-disaster
127,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Strange & Mr. Norrell,"Clarke, Susanna",,,,"1,006        pp",3.86,"236,380","Sep 08, 2004","Aug 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2021",,Paperback,view,/book/show/14201.Jonathan_Strange_Mr_Norrell
128,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Мы,"Zamyatin, Yevgeny",,9785170390274,5170390270,256        pp,3.89,"97,220",1924,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Hardcover,view,/book/show/1321877._
129,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,"Sharma, Robin S.",0062515675,9780062515674,B007YTQLNU,208        pp,3.89,"160,036",1996,"Apr 21, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Verkšlendamas, esą neturi laiko lavinti proto ir puoselėti dvasios, tu tarsi sakai, kad tau nėra kada sustoti ir įsipilti į automobilio baką degalų.",Notes are private!,0,12,1,"Oct 12, 2021","Oct 23, 2021","Oct 12, 2021",,Paperback,view (with text),/book/show/43877.The_Monk_Who_Sold_His_Ferrari
130,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leonardo Da Vinci: His Life and Works in 500 Images,"Ormiston, Rosalind",0754823261,9780754823261,0754823261,256        pp,4.12,42,"Jun 16, 2011","Dec 16, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2021",,Hardcover,view,/book/show/11443176-leonardo-da-vinci
131,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dom tęsknot,"Adamczyk, Piotr",8326813524,9788326813528,8326813524,512        pp,4.30,166,"Sep 12, 2014","Sep 12, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2021",,Paperback,view,/book/show/23296717-dom-t-sknot
132,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Work:  A History of How we spend our Time,"Suzman, James*",152660499X,9781526604996,152660499X,464        pp,3.85,"2,535","Sep 03, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2021",,Hardcover,view,/book/show/54550359-work
133,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storied Life of A.J. Fikry,"Zevin, Gabrielle*",1616203218,9781616203214,1616203218,260        pp,4.03,"298,458","Apr 01, 2014","Apr 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2021",,Hardcover,view,/book/show/18293427-the-storied-life-of-a-j-fikry
134,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,"Epstein, David*",1591845114,9781591845119,1591845114,338        pp,4.20,"15,263","Aug 01, 2013","Aug 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2021",,Hardcover,view,/book/show/16171221-the-sports-gene
135,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Have or to Be? The Nature of the Psyche,"Fromm, Erich",0826417388,9780826417381,0826417388,182        pp,4.18,"11,517",1976,"Sep 06, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vis dėlto, nepaisant saugumo, kurį žmogui teikia turėjimas, žmonės žavisi tais, kurie sugeba matyti naują; tais, kurie skina naujus takus; tais, kurieVis dėlto, nepaisant saugumo, kurį žmogui teikia turėjimas, žmonės žavisi tais, kurie sugeba matyti naują; tais, kurie skina naujus takus; tais, kurie drįsta veržtis pirmyn....more",Notes are private!,0,3,1,Oct 2021,"Oct 12, 2021","Oct 01, 2021",,Paperback,view (with text),/book/show/25490.To_Have_or_to_Be_The_Nature_of_the_Psyche
136,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,París no se acaba nunca,"Vila-Matas, Enrique",8433968513,9788433968517,8433968513,233        pp,3.78,"2,197",2003,"Oct 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mat, kaip sako Prancūzai, niekas nėra toks protingas, kad suvoktų, kokią žalą jis daro kitiems.",Notes are private!,0,3,1,"Sep 22, 2021",Oct 2021,"Sep 22, 2021",,Hardcover,view (with text),/book/show/196323.Par_s_no_se_acaba_nunca
137,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bonjour tristesse,"Sagan, Françoise",2266127748,9782266127745,2266127748,154        pp,3.71,"51,189","Mar 15, 1954","Sep 16, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 21, 2021",,Mass Market Paperback,view,/book/show/61672.Bonjour_tristesse
