,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aaron's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sense of an Ending,"Barnes, Julian",0224094157,9780224094153,0224094157,150        pp,3.74,"179,059","Aug 04, 2011","Aug 04, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn't have a particularly enjoyable ride with this book, as its central plot element echoed a little too closely to some sad parts of my life. ThatI didn't have a particularly enjoyable ride with this book, as its central plot element echoed a little too closely to some sad parts of my life. That said, I often did find myself smiling at one of Tony's aphorisms. I'll probably revisit this book in a few years....more",Notes are private!,0,0,1,not set,"Nov 28, 2011","Nov 16, 2011",,Hardcover,view (with text),/book/show/10746542-the-sense-of-an-ending
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stories for Nighttime and Some for the Day,"Loory, Ben*",0143119508,9780143119500,0143119508,210        pp,3.73,"2,458","Jul 01, 2011","Jul 26, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 04, 2012","Sep 05, 2011",,Paperback,view,/book/show/9669765-stories-for-nighttime-and-some-for-the-day
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Predators' Ball: The Inside Story of Drexel Burnham and the Rise of the Junk Bond Raiders,"Bruck, Connie",0140120904,9780140120905,0140120904,400        pp,4.09,"4,110",1988,"Jun 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2011",,Paperback,view,/book/show/100788.The_Predators_Ball
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drop City,"Boyle, T. Coraghessan*",0142003808,9780142003800,0142003808,497        pp,3.82,"14,710","Feb 24, 2003","Jan 27, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2011",,Paperback,view,/book/show/24724.Drop_City
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bright Lights, Big City","McInerney, Jay*",,,,208        pp,3.79,"33,876","Aug 12, 1984","Aug 12, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2011",,Paperback,view,/book/show/86147.Bright_Lights_Big_City
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Friday Night Lights,"Bissinger, H.G.",0306814250,9780306814259,0306814250,416        pp,4.14,"60,716",1988,"Sep 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2011",,Paperback,view,/book/show/85431.Friday_Night_Lights
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History,"Tartt, Donna",1400031702,9781400031702,1400031702,559        pp,4.17,"741,706","Sep 16, 1992","Sep 11, 1992",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 26, 2012","Aug 30, 2011",,Paperback,view,/book/show/29044.The_Secret_History
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Prayer for Owen Meany,"Irving, John*",0552135399,9780552135399,0552135399,637        pp,4.24,"320,896","Mar 28, 1989",1990,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 16, 2011","Aug 30, 2011",,Paperback,view,/book/show/4473.A_Prayer_for_Owen_Meany
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures","Fadiman, Anne",0374525641,9780374525644,B007CFQ9QK,341        pp,4.20,"82,904",1997,"Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2011",,Paperback,view,/book/show/12609.The_Spirit_Catches_You_and_You_Fall_Down
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Krik? Krak!,"Danticat, Edwidge",067976657X,9780679766575,067976657X,224        pp,4.16,"9,042","Apr 01, 1996","Apr 02, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2011",,Paperback,view,/book/show/600404.Krik_Krak_
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Case Histories        (Jackson Brodie, #1)","Atkinson, Kate",0316010707,9780316010702,0316010707,389        pp,3.81,"107,474","Sep 01, 2004","Oct 17, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2011",,Paperback,view,/book/show/16243.Case_Histories
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ghost Road        (Regeneration, #3)","Barker, Pat",0452276721,9780452276727,0452276721,288        pp,4.09,"17,549",1995,"Nov 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2011",,Paperback,view,/book/show/151926.The_Ghost_Road
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pegando fogo: Por que cozinhar nos tornou humanos,"Wrangham, Richard W.",0465013627,9788537801963,B004HEXSV8,226        pp,3.88,"3,836","May 26, 2009","May 26, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 11, 2011","Aug 28, 2011",,Paperback,view,/book/show/6059004-pegando-fogo
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fire Season: Field Notes from a Wilderness Lookout,"Connors, Philip",0061859362,9780061859366,0061859362,246        pp,3.96,"4,288","Mar 10, 2011","Apr 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2011",,Hardcover,view,/book/show/9341909-fire-season
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Absolute Promethea, Book Three","Moore, Alan*",1401229476,9781401229474,1401229476,328        pp,4.43,435,"Aug 23, 2011","Dec 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2011",,Slipcased Hardcover,view,/book/show/10110665-absolute-promethea-book-three
