,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Nina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blood Meridian, or, the Evening Redness in the West","McCarthy, Cormac",,,,351        pp,4.16,"164,532","Apr 28, 1985",May 1992,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 15, 2013",,Paperback,view,/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Bright Abyss: Meditation of a Modern Believer,"Wiman, Christian",0374216789,9780374216788,0374216789,182        pp,4.09,"3,455","Apr 02, 2013","Apr 02, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 13, 2013","Nov 09, 2013","Apr 13, 2013",,Hardcover,view,/book/show/15793626-my-bright-abyss
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Special Purpose,"Boyne, John*",1590515986,9781590515983,1590515986,469        pp,4.16,"12,948","May 15, 2009","Apr 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2013",,Paperback,view,/book/show/15798438-the-house-of-special-purpose
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dinner,"Koch, Herman",0770437850,9780770437855,0770437850,292        pp,3.22,"162,300",2009,"Feb 12, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2013","Nov 09, 2013","Apr 11, 2013",,Hardcover,view,/book/show/15797938-the-dinner
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Riven Thing: Poems,"Wiman, Christian",0374150362,9780374150365,0374150362,112        pp,4.29,924,"Nov 09, 2010","Nov 09, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Such concise, precise language and imagery. I finished and turned to the beginning again.",Notes are private!,0,0,1,"Mar 28, 2013","Apr 11, 2013","Mar 28, 2013",,Hardcover,view (with text),/book/show/7940354-every-riven-thing
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Fiction Works,"Wood, James",0374173400,9780374173401,0374173400,265        pp,4.00,"7,396","Feb 07, 2008",2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mr. Woods offers a grand sweeping picture of the the evolution of prose--stretching back to the Bible, highlighting the powerful influence of FlaubertMr. Woods offers a grand sweeping picture of the the evolution of prose--stretching back to the Bible, highlighting the powerful influence of Flaubert. He gives a special role not only to Flaubert, but Dostoevsky, Bellow and Denis Diderot's Rameeau's Nephew. In the back of the book, Mr. Woods includes a list of books cited in How Fiction Works--a wonderful list to add to the already long list of reading that I'd like to do in this lifetime. ...more",Notes are private!,0,0,1,"Mar 25, 2013","Apr 04, 2013","Mar 25, 2013",,Paperback,view (with text),/book/show/1355465.How_Fiction_Works
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unbearable Lightness of Being,"Kundera, Milan",0571224385,9780571224388,0571224385,314        pp,4.11,"469,608",1984,"Oct 27, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 11, 2013",,Paperback,view,/book/show/9717.The_Unbearable_Lightness_of_Being
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tinkers,"Harding, Paul",1934137197,9781934137192,1934137197,192        pp,3.41,"35,434","Jan 01, 2009","Jan 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Harding's love of language shines on every page. A bare bones plot-- the overriding conceit is that the central character in the present narration is Harding's love of language shines on every page. A bare bones plot-- the overriding conceit is that the central character in the present narration is dying. Harding has built in a ticking clock to create tension as the man, over the course of the novel, slips from this world. The first sentence of the novel,"" George Washington Crosby began to hallucinate eight days before he died"" gives Harding plenty of room to roam in time, place, character and image. ...more",Notes are private!,0,0,1,not set,not set,"Mar 11, 2013",,Hardcover,view (with text),/book/show/4957350-tinkers
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty of the Husband: A Fictional Essay in 29 Tangos,"Carson, Anne",0375707573,9780375707575,0375707573,160        pp,4.23,"6,618","Feb 06, 2001","Feb 19, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2013",,Paperback,view,/book/show/150252.The_Beauty_of_the_Husband
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Speak, Memory","Nabokov, Vladimir",0375405534,9780375405532,0375405534,268        pp,4.08,"16,448",1966,"Mar 23, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2013",,Hardcover,view,/book/show/592192.Speak_Memory
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mary Coin,"Silver, Marisa*",0399160701,9780399160707,0399160701,324        pp,3.91,"9,080","Mar 07, 2013","Mar 07, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Silver does a fine job of making distinct characters, two of whom are located in the 1930s, one of whom is contemporary. She is a smart writer, full oSilver does a fine job of making distinct characters, two of whom are located in the 1930s, one of whom is contemporary. She is a smart writer, full of compassion for her characters, so adept at what Blake called ""minute particulars."" Here's my  on The Rumpus: http://therumpus.net/2013/03/mary-coi......more",Notes are private!,0,0,1,"Mar 06, 2013","Mar 08, 2013","Mar 06, 2013",,Hardcover,view (with text),/book/show/15808322-mary-coin
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Long, See You Tomorrow","Maxwell, William",,,B004GTLFN2,145        pp,3.91,"12,281",1980,"Apr 27, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Though slender, a mere 135 pages, Maxwell's story is full, complete, masterfully rendered. I appreciate his slipping out of first person narration intThough slender, a mere 135 pages, Maxwell's story is full, complete, masterfully rendered. I appreciate his slipping out of first person narration into the world of other characters, including a dog. His use of a reflective narrator allows wisdom and insight that the narrator-as-boy would not have....more",Notes are private!,0,1,1,not set,not set,"Mar 05, 2013",,Kindle Edition,view (with text),/book/show/12273647-so-long-see-you-tomorrow
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jazz        (Beloved Trilogy, #2)","Morrison, Toni",0452269652,9780452269651,0452269652,229        pp,3.88,"32,177",Apr 1992,"Apr 01, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"On each page, I find something to marvel at. She is a master at tropes--extended metaphors, similes, metonymy, on and on. Jazz is the metaphor that deOn each page, I find something to marvel at. She is a master at tropes--extended metaphors, similes, metonymy, on and on. Jazz is the metaphor that defines and informs her language, her structure. With that in mind, she's created a fascinating way to refresh the first person omniscient narrator. ...more",Notes are private!,0,1,1,"Feb 16, 2013","Mar 05, 2013","Feb 16, 2013",,Paperback,view (with text),/book/show/37398.Jazz
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Comedy in a Minor Key,"Keilson, Hans",1843914565,9781843914563,1843914565,112        pp,3.72,"1,892",1947,"Nov 26, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2013",,Paperback,view,/book/show/7940355-comedy-in-a-minor-key
63,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of the Adversary,"Keilson, Hans",0374139628,9780374139629,0374139628,208        pp,3.62,734,1959,"Jul 20, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Keilson's story is powerful, not only because some things are never mentioned--Hitler, Nazi Youth--but because he is so good at psychological realism.Keilson's story is powerful, not only because some things are never mentioned--Hitler, Nazi Youth--but because he is so good at psychological realism. And, since he lived during this time, there is an overlay of autobiographical realism at work, too. ...more",Notes are private!,0,1,1,not set,Feb 2013,"Feb 14, 2013",,Paperback,view (with text),/book/show/8642793-the-death-of-the-adversary
64,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amy and Isabelle,"Strout, Elizabeth*",,,B000FBJF8M,320        pp,3.90,"27,843","Jul 01, 1998","Dec 16, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After reading Strout's Olive K., I read Amy and Isabelle, a mother and daughter. Strout uses shifting points of view to capture both characters' interAfter reading Strout's Olive K., I read Amy and Isabelle, a mother and daughter. Strout uses shifting points of view to capture both characters' interior. She makes a rather interesting decision, especially toward the end of the book to include more of the town, opening up the story. Strout is much more affected by plot in this novel compared to Olive K. It wrapped up a bit too neatly for me....more",Notes are private!,0,0,1,not set,not set,"May 28, 2011",,Kindle Edition,view (with text),/book/show/6277707-amy-and-isabelle
65,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memory Wall,"Doerr, Anthony*",1439182809,9781439182802,1439182809,243        pp,4.09,"8,329","Jul 13, 2010","Jul 13, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 28, 2011",,Hardcover,view,/book/show/7696504-memory-wall
66,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,956","Jun 16, 2009","Jun 23, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I re-read this book this summer. I'm still mesmerized by the melody of voices, the high register and low register diction. If you are swept away by stI re-read this book this summer. I'm still mesmerized by the melody of voices, the high register and low register diction. If you are swept away by style, McCann is a great writer for you. He uses a story cycle to spin around the image of the tightrope walker who walked the wire between the two towers in New York during the 1970s. By shifting points of view, McCann displays his full range of voice and style. Inherent tension is maintained because of what happened to the towers. What keeps this rather dark book light is that compelling image of the tightrope walker, rising above it all, defying the odds. An image of triumph....more",Notes are private!,0,2,1,"Aug 07, 2014","Aug 07, 2014","May 28, 2011",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
67,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humboldt's Gift,"Bellow, Saul",0140189440,9780140189445,0140189440,487        pp,3.85,"9,478",1975,"Jun 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm on a Bellow kick now. Not much plot, but a heck of a lot of character. The author's passion and love of humanity come through, as well as his abilI'm on a Bellow kick now. Not much plot, but a heck of a lot of character. The author's passion and love of humanity come through, as well as his ability to laugh at the absurdity of it all....more",Notes are private!,0,0,1,not set,Jan 2011,"Feb 12, 2011",,Paperback,view (with text),/book/show/11494.Humboldt_s_Gift
68,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The History of Love,"Krauss, Nicole",0393328627,9780393328622,0393328627,255        pp,3.92,"135,690","May 17, 2005","May 17, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"She's playing with linear narrative with shifting point of view. Her language, her prose is heavily influenced by poetry. A heart beats at the center She's playing with linear narrative with shifting point of view. Her language, her prose is heavily influenced by poetry. A heart beats at the center of this book. ...more",Notes are private!,0,0,1,not set,Jan 2009,"Feb 12, 2011",,Paperback,view (with text),/book/show/3867.The_History_of_Love
69,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lolita,"Nabokov, Vladimir",,,,368        pp,3.88,"850,150",Sep 1955,1995,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/7604.Lolita
70,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middlesex,"Eugenides, Jeffrey",0312422156,9780312422158,0312422156,529        pp,4.03,"639,182","Sep 04, 2002","Sep 16, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/2187.Middlesex
71,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moby-Dick or, The Whale","Melville, Herman",0142437247,9780142437247,0142437247,720        pp,3.54,"560,742","Oct 18, 1851","Feb 21, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/153747.Moby_Dick_or_The_Whale
72,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Odyssey,Homer,0143039954,9780143039952,0143039954,541        pp,3.81,"1,080,485",-700,"Oct 31, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/1381.The_Odyssey
73,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Huckleberry Finn,"Twain, Mark",0142437174,9780142437179,0142437174,327        pp,3.83,"1,265,521","Feb 18, 1884","Dec 31, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/2956.The_Adventures_of_Huckleberry_Finn
74,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lord of the Flies,"Golding, William",0140283331,9780140283334,0140283331,182        pp,3.69,"2,904,294","Sep 17, 1954","Oct 01, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/7624.Lord_of_the_Flies
75,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romeo and Juliet,"Shakespeare, William",,,0743477111,281        pp,3.74,"2,603,625",1597,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Mass Market Paperback,view,/book/show/18135.Romeo_and_Juliet
76,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Hundred Years of Solitude,"García Márquez, Gabriel",,,,417        pp,4.11,"971,283",1967,"Jun 24, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Mass Market Paperback,view,/book/show/320.One_Hundred_Years_of_Solitude
77,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alchemist,"Coelho, Paulo*",0061122416,9780061122415,B00A2KBUGQ,197        pp,3.91,"3,056,484",1988,"May 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/865.The_Alchemist
78,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Mice and Men,"Steinbeck, John",0142000671,9780142000670,0142000671,107        pp,3.88,"2,546,885","Feb 25, 1937",2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/890.Of_Mice_and_Men
79,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Gatsby,"Fitzgerald, F. Scott",,,,180        pp,3.93,"5,238,956","Apr 10, 1925",1925,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/4671.The_Great_Gatsby
80,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Catcher in the Rye,"Salinger, J.D.",0316769177,9780316769174,0316769177,277        pp,3.80,"3,523,876","Jul 16, 1951","Jan 30, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/5107.The_Catcher_in_the_Rye
81,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Kill a Mockingbird,"Lee, Harper",,,,323        pp,4.26,"6,123,428","Jul 11, 1960","May 23, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 06, 2011",,Paperback,view,/book/show/2657.To_Kill_a_Mockingbird
