,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BookOfCinz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
192,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Very Cold People,"Manguso, Sarah*",0593241223,9780593241226,0593241223,208        pp,3.38,"5,347","Feb 08, 2022","Feb 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Yah.... this is a no for me.,Notes are private!,0,16,1,"May 04, 2022","May 13, 2022","May 04, 2022",,Hardcover,view (with text),/book/show/58082210-very-cold-people
193,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zo And The Forest Of Secrets,"Pilgrim, Alake*",,,,313        pp,3.67,46,"Jun 02, 2022","Jun 02, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What an adventure!!!!! Zo and the Forest of Secrets truly was an atmospheric and engaging that you will not want to finish. I loved that Alake Pilgri What an adventure!!!!! Zo and the Forest of Secrets truly was an atmospheric and engaging that you will not want to finish. I loved that Alake Pilgrim wrote a book that adults and teens alike will be mesmerized by! Set in Trinidad and Tobago, we meet Zo, her father recently left and she is staying with other family members. She keeps getting weird signs and her father warned her about the forest. Zoe decides to venture into the forest and what happens next is an adventure you will not soon forget. If you love a book filled with innocent, gumption and heart-warming moments, please consider giving this one a go. ...more",Notes are private!,0,10,1,"May 03, 2022","May 15, 2022","May 03, 2022",,Paperback,view (with text),/book/show/60629201-zo-and-the-forest-of-secrets
194,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What A Mother's Love Don't Teach You,"Taylor, Sharma",0349015511,9780349015514,0349015511,432        pp,4.18,125,unknown,"Jul 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An engaging story that you will want to know the ending! What A Mother’s Love Don’t Teach You  is Sharma Taylor’d debut novel that explores regret, moAn engaging story that you will want to know the ending! What A Mother’s Love Don’t Teach You  is Sharma Taylor’d debut novel that explores regret, motherhood, love, violence, and trust. We meet Dinah who gave away her baby to a couple she was working for. In giving up her son, the couple promised to write and keep her abreast of his progress, that did not happen. Over a decade later, Dinah is working for another couple and who shows up but her son and his adoptive parents- except her son does not know of her and the couple refuses to acknowledge. Dinah begins her first fight to have her son know her but in trying to know him, he falls into unlikely company that may have very disastrous effects. If you’ve Kei Miller’s  Augustown  and appreciate how he tells a story then you will enjoy this. I really appreciated that the author told the story from many perspectives because it felt very engaging. I felt the story started very strong but really dragged in the middle. If I am being honest- the book never haffi suh long- a solid 150 pages could have been cut and this is where I ask my age old question, “where is the editor?” Don’t get me wrong, I really enjoyed the storytelling I felt the author took too long to get to the climax and the ending felt a little rush. I did enjoy the historical look at Jamaica and I wanted more that that. Overall a solid debut- looking forward to what the author writes next....more",Notes are private!,0,18,1,"Apr 24, 2022","May 15, 2022","Apr 24, 2022",,Paperback,view (with text),/book/show/60872485-what-a-mother-s-love-don-t-teach-you
195,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dog Flowers: A Memoir,"Geller, Danielle*",1984820397,9781984820396,1984820397,272        pp,3.82,"1,634","Jan 12, 2021","Jan 12, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Why do I continue to read books that ruin me?!,Notes are private!,0,13,1,"Apr 18, 2022","May 13, 2022","Apr 18, 2022",,Hardcover,view (with text),/book/show/53305670-dog-flowers
196,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memphis,"Stringfellow, Tara M.*",0593230485,9780593230480,0593230485,272        pp,4.11,"32,671","Apr 05, 2022","Apr 05, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit underwhelming…. But what a great cover… right?!No book can stand up to the hype of Bookstagram and I think this is why I felt so underwhelmed reA bit underwhelming…. But what a great cover… right?!No book can stand up to the hype of Bookstagram and I think this is why I felt so underwhelmed reading it. Don’t get me wrong this book kinda has the makings of what great books are about:Beautiful coverMulti-generationalSet in the South Focuses on Black Women Themes of resilience, sisterhood and motherhood expertly exploredI mean… what more could I possibly ask for? I guess I could ask for more memorable characters or a plot that feels more original. Yes, some of the characters I felt were so unforgettable and truly beautifully written, the rest felt one-dimensional and characters I won’t remember.  Memphis  opens with Miriam driving her two daughters Joan and Mya to Memphis to her childhood home after leaving an abusive relationship. She is greeted by her sister August who never left Memphis and lives in the house that her Mother’s husband built with his two hands before he was killed. There is a lot of history under this roof and the North women are known in that part of Memphis. We see everyone adjusting to the new reality of living under the same roof. I am not going to lie, the book was written well enough that I needed to see how things turn out. I had to see how each character turned out and whether they got closure in certain aspects of their lives. Honestly, this one fell flat for me and it may not be the book’s fall. Beautiful cover though! ...more",Notes are private!,0,74,1,"Apr 15, 2022","Apr 17, 2022","Apr 15, 2022",,Hardcover,view (with text),/book/show/52268640-memphis
197,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bless the Daughter Raised by a Voice in Her Head: Poems,"Shire, Warsan*",0593134354,9780593134351,0593134354,86        pp,4.22,"7,265","Mar 01, 2022","Mar 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Dear Uncle, is everything you love foreign or are you foreign to everything you love?"" Some lines in this collection will leave you breathless. WOW""Dear Uncle, is everything you love foreign or are you foreign to everything you love?"" Some lines in this collection will leave you breathless. WOW...more",Notes are private!,0,39,1,"Apr 15, 2022","Apr 15, 2022","Apr 15, 2022",,Paperback,view (with text),/book/show/55835966-bless-the-daughter-raised-by-a-voice-in-her-head
198,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Sold Air in the Holy Land,"Friedlander, Omer",0593242971,9780593242971,0593242971,256        pp,4.06,646,"Apr 12, 2022","Apr 12, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Crisp and pulsating! Eleven short stories all set in Israel… sign me up! I’ve always loved a great collection on short stories, even more when they a Crisp and pulsating! Eleven short stories all set in Israel… sign me up! I’ve always loved a great collection on short stories, even more when they are all well thought out, expertly written and explores a culture and history I want to learn more about. Of the eleven stories, here are my favorites:Jaffa OrangesThe Man Who Sold Air In The Holy Land Scheheherazade and the Radio Station 97.2High Heels Alte Sachen Omer Friedlander’s writing is clever and will leave you chuckling and shaking your head because you did not see it coming. I love the themes that were explored- war, the impact of the war on families and livelihood. If you love reading short story collections, this is it! ...more",Notes are private!,0,16,1,"Apr 15, 2022","Apr 17, 2022","Apr 15, 2022",,Hardcover,view (with text),/book/show/58689976-the-man-who-sold-air-in-the-holy-land
199,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Lip Theology: For Church Girls Who've Considered Tithing to the Beauty Supply Store When Sunday Morning Isn't Enough,"Benbow, Candice Marie",059323846X,9780593238462,059323846X,224        pp,4.35,860,unknown,"Jan 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Red Lip Theology is the lens through which I understand myself as a millennial Black Woman of faith. It creates a space for both my upbringing in the Red Lip Theology is the lens through which I understand myself as a millennial Black Woman of faith. It creates a space for both my upbringing in the Black Baptist Church of the South…. It introduced me to a God much more kind, gracious, and loving than the one I’d been given in my youth and young adulthood I have been following Candice Benbow on twitter for a long while and when I see that she was writing a book I knew I had to read it. As a Black Women who grew up in the Baptist church who is a millennial and went to theology school I was salivating! I knew there were things she would say that I would want to read. I’ll be honest, this was more of a memoir than I expected. I thought it was be more about theology, Black Women, Feminism, how she viewed God, and how she grappled with her faith. I wanted more of a theology and deep dive into her faith, the Bible and what it means to be a Black Millennial Woman of faith. Some of the essays I read, I took like a step back and thought, “this sounds like blasphemy” but maybe I need to sit with that and explore why I think it such and what work I need to do and how much of the Bible I need to explore. Don’t get me wrong, the essays were well written and highly engaging, but I felt she would make statement and not explore them. It was more, “I believe this…” but didn’t show us how she came to this reasoning- giving us a biblical look into why. Overall, I thoroughly enjoyed the essays, I still do not know exactly what Red Theology means or should be, maybe I just really wanted more theology.  So much of Western Christianity is rooted in the subjugation of women, and I had been reared in a faith tradition which largely existed to give Black men the status power white people refused them in larger society. ...more",Notes are private!,0,32,1,"Apr 15, 2022","Apr 15, 2022","Apr 15, 2022",,Hardcover,view (with text),/book/show/57800573-red-lip-theology
200,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The years I lived inside,"Richardson, Nicolette*",,,,65        pp,4.00,3,unknown,"Nov 10, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We grew up calling everyone Aunty because we never want to feel disconnected again....I bought this collection of poems because I know the Poet and I We grew up calling everyone Aunty because we never want to feel disconnected again....I bought this collection of poems because I know the Poet and I have been in love with her work and the space she's managed to carve out for herself and audience. While I am not a big poetry fan, I was very interested to see how the Poet went about examining the effects of the pandemic on her live and the lives of those around her. I think we've all went through the pandemic and we are still processing a bit so it was good to see it from the perspective of someone in my age group, with somewhat similar interest. I loved that she talked about ""who is a poet?"" and who gets to be called a poet, I feel that will be great for anyone whose got a poem in them and wondering how to go about sharing it with the world. Overall, a solid collection!...more",Notes are private!,0,7,1,"Apr 10, 2022","Apr 14, 2022","Apr 10, 2022",,Paperback,view (with text),/book/show/60785851-the-years-i-lived-inside
201,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Is a Black Woman,"Cleveland, Christena",0062988808,9780062988805,,256        pp,4.33,897,"Feb 08, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2022",,ebook,view,/book/show/55200358-god-is-a-black-woman
202,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take My Hand,"Perkins-Valdez, Dolen*",0593337697,9780593337691,0593337697,359        pp,4.37,"77,456","Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2022",,Hardcover,view,/book/show/55650158-take-my-hand
203,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Sisters,"Asghar, Fatimah",0593133463,9780593133460,0593133463,352        pp,3.94,"5,162","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2022",,Hardcover,view,/book/show/60279775-when-we-were-sisters
204,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everywhere You Don't Belong,"Bump, Gabriel",1616208791,9781616208790,1616208791,264        pp,3.69,"3,602","Feb 04, 2020","Feb 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Why did it take me so long to read this book?!!!!Everywhere You Don’t Belong is Gabriel Bump’s debut novel that perfectly explores race, violence, lovWhy did it take me so long to read this book?!!!!Everywhere You Don’t Belong is Gabriel Bump’s debut novel that perfectly explores race, violence, love, regret, family and societal pressures. We are thrown into the world of Claude McKay whose parents left him with his grandmother at a very young age and never returned. Claude’s world is his grandmother and her friend Paul who lives with both of them. He lives in Chicago and is currently battling the pressures to stay in school and not be deterred by the violence around him. That fails when there is a major to throws his world off course. Honestly, there is a lot happening in the book. Some parts felt unfinished but on a whole I felt the writing was immersive and honest in a way I will remember. Being in the world of a young black man from South Side Chicago who is raised by his grandmother because his parents abandoned him- well, I kinda didn’t want to leave- I wanted to cheer for him so very bad! I also love how hilarious some moments were… I genuinely loved how the characters were jumping off the page- specifically Paul and Claude’s grandmother. This one is truly a gem and I cannot wait to see what the author writes next....more",Notes are private!,0,18,1,"Apr 10, 2022","Apr 15, 2022","Mar 20, 2022",,Hardcover,view (with text),/book/show/43212929-everywhere-you-don-t-belong
205,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Fall Out of Love Madly,"Casale, Jana*",0593447727,9780593447727,0593447727,352        pp,3.50,"6,122","Aug 02, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Packed with Millennial angst and discomfort and I could not get enough of it! Give this woman an award!!!  This is going to be the darling of millenn Packed with Millennial angst and discomfort and I could not get enough of it! Give this woman an award!!!  This is going to be the darling of millennial reads this year and trust me, you will not be disappointed. If you are a fan of Sally Rooney, Brandon Taylor’s REAL LIFE, MY YEAR OF REST AND RELAXATION and SORROW AND BLISS you are going to absolutely enjoy this beautifully, well done debut novel. HOW TO FALL OUT OF LOVE MADLY  is told from the perspective of Joy, Annie and Celine- millennial women working and living in a city trying their best to hit their fantom life goals that was pressed on them by society. Joy and Annie are friends and roommates living together but still aren’t able to cover their rent even though they hold down steady jobs that they enjoy doing. In an attempt to keep their rental, they decide to get third roommate and in walks Theo who charms them and becomes a part of their home life. After months of hinting Annie’s boyfriend finally ask her to move in so the trio now becomes a duo, but Joy doesn’t mind because now she’s got Theo to herself. Joy starts spending a lot of time with Theo and ends up falling for him, only for him to show up a few weeks later with the most stunning woman Joy has ever seen and introduces her as his girlfriend. Joy is shook but figures if she puts her best foot forward he will miraculously fall for her. Celine has been told all her life she is stunning but doesn’t really believe it. Yes, she’s reaped so many opportunities because of pretty privilege but she still doesn’t feel confident in herself. Annie moved in with her boyfriend, she thinks this is what she wants but finds herself putting on this “easy breezy cool girlfriend” act that she may not be able to keep up. She wants commitment, but does she want it from her boyfriend? Relatable, entertaining, fully and unforgettable the lives of Celine, Joy and Annie examines what it can be like for a millennial woman dating, looking for love and to grow in their career. A lot the scenes in this book was so relatable and cringy I could feel myself getting secondhand embarrassment from it. Yes there were some insanely frustrating moments, especially how the women were treated by the men- I actually wanted to SCREAM but I guess that goes back to how well written this book is. We see how these women grapple with the stage they are in their lives- the need to grow in their career, be closer to their family, to get more money and to be hit those societal markers. A novel I won’t soon forget.  One time I had a friend say that if a man says something mean to you about your body it’s like a hate crime. At first, I thought that was stupid, reckless even, but I know what she meant.   Work hierarchy in generally was something she found to be unnecessary cruel, and so when she had the chance she would do her best to rebel against it  I think something you have to remember is that people bring everything with them to work and they try to hold everything away.  ...more",Notes are private!,0,44,1,"Mar 19, 2022","Mar 27, 2022","Mar 19, 2022",,Hardcover,view (with text),/book/show/58885789-how-to-fall-out-of-love-madly
206,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women Could Fly,"Giddings, Megan",,,B09L8C8Q1W,288        pp,3.59,"5,961","Aug 09, 2022","Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2022",,Kindle Edition,view,/book/show/55851367-the-women-could-fly
207,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Token Black Girl: A Memoir,"Prescod, Danielle",1542035155,9781542035156,1542035155,255        pp,3.93,"6,058","Oct 01, 2022","Oct 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The honesty does not let up…. A memoir you won’t soon forget. So happy to get my hand on Danielle Prescod’s memoir “TOKEN BLACK GIRL…”. While I have sThe honesty does not let up…. A memoir you won’t soon forget. So happy to get my hand on Danielle Prescod’s memoir “TOKEN BLACK GIRL…”. While I have seen Prescod’s work on my newsfeed, I don’t think I was prepared for how real her memoir would be. I think she perfectly details what it is like being the only Black woman in certain spaces, especially in the fashion industry. Danielle Prescod grew up Black in an overwhelming white community, a lot of her identity was shaped based on the media she had access to which was predominantly white. We see how the media she engaged with shaped how she saw the world and herself and I think it was very jarring at times to read. I particularly loved how she spoke about her hair journey and how her body stacked up against that of her white counterparts. For a first-time memoir I felt this book was particularly honest, engaging and had a lot of teachable moments. An insightful read....more",Notes are private!,0,47,1,"Mar 17, 2022","Mar 27, 2022","Mar 17, 2022",,Paperback,view (with text),/book/show/59537948-token-black-girl
208,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love The Dark Days,"Mathur, Ira*",1845235355,9781845235352,1845235355,232        pp,4.19,110,"Jul 07, 2022","Jul 07, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So much chaos in this book, I don’t know where to start…. When I picked up this book, I thought it was supposed to be a memoir about Ira Mathur’s lif So much chaos in this book, I don’t know where to start…. When I picked up this book, I thought it was supposed to be a memoir about Ira Mathur’s life. I was so intrigued to find out more about how she left India with her parents and ended up in Tobago and all the various things that would have gone in place to make that happen. There aren’t a lot of literature (I find) written from an Indian person whose families weren’t indentured laborer but decided to leave Indian to start a new life in Tobago.Let me tell you what I enjoyed about this book – reading about Ira’ family, specifically her Grandmother, mother and sister. Yes, she gave us a raw look at the family drama, the fights and unpleasant things that took placed behind closed doors. I loved reading about their life in India and how they ended up in Tobago. I felt that part of the book was truly interesting. Yes, I felt there were so many unanswered question family wise- why didn’t she get along with her sister? What’s up with her parents currently? How did they afford to send her to colleges? Her brother’s family. Then again, there is only so much you can fit in a memoir. Here is what I didn’t like… how the book felt like a 200 page name drop of “I spent a weekend with Derek Walcott and he looked at my manuscript” honestly….that part was confounding. Why did it feel like 20% of the book was a biography of Derek Walcott’s life and his beef with VS Naipaul? Also I didn’t need the BTS of your manuscript critique- I wish the story focused more on Ira and her family and her journey. Also her relationship with her husband it was… for lack of a better word… WEIRD. I felt there was an under current of being abusive but the author did not come right out and say it. I felt his family seem like they would throw her out any time she steps out of line. Also, I wanted her to talk more about her career because she fact that her husband was well off but she was told she needed to work… man….I finished this book having more questions than answers. As far as memoirs go, I really wish it was tighter and edited better. WHY WAS THERE SO MUCH INCLUSION OF DEREK WALCOTT?!!!!!...more",Notes are private!,0,13,1,"Mar 13, 2022","Mar 18, 2022","Mar 13, 2022",,Paperback,view (with text),/book/show/60461793-love-the-dark-days
209,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The School for Good Mothers,"Chan, Jessamine*",,,,336        pp,3.54,"105,727","Jan 04, 2022","Jan 04, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We get the point that was trying to be made, we just didnt need it to be made over and over and over and over and over again.... In  The School for G We get the point that was trying to be made, we just didnt need it to be made over and over and over and over and over again.... In  The School for Good Mothers  we meed Frida, a 39 year old mother who left her daughter to go to work to grab something but spent too long in returning to her. Her State said if she doesn't want to lose her parental rights, she must attend a new program that teaches women who abandon, neglect or mistreat their children how to be better mothers. Faced with no other choice, Frida decides to spend one year learning (with a robot doll) how to be a good mother. I LOVE the premise, yes it is not new, but I like the spin that is placed on it and that it is done in a contemporary setting. I felt the first four chapters of the book evoked all the right emotions- anger, disbelief, cheering for Frida. Not being a mother, I can not being to understand what it must feel like to lose your child. I think it was a solid premise, I just felt the book went on for too long, with Chan going over the same things again and again till I actually didn't care anymore, I just wanted the book to be done and over with. ...more",Notes are private!,0,3,1,"Apr 11, 2023","Apr 16, 2023","Mar 12, 2022",,Hardcover,view (with text),/book/show/57846320-the-school-for-good-mothers
210,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Luster,"Leilani, Raven*",0374194327,9780374194321,0374194327,227        pp,3.53,"98,751","Aug 04, 2020","Aug 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A debut novel, unlike any other… it is fresh, biting, frustrating but also deeply charming- Raven Leilani did the damn thing!In Luster we meet 23 yearA debut novel, unlike any other… it is fresh, biting, frustrating but also deeply charming- Raven Leilani did the damn thing!In Luster we meet 23 year old Edie who is living in New York. working in Publishing and having a relationship with an older married man. Edie is not entirely great at her job, or maybe she just does not care to perform the role of the inoffensive Black Woman looking to appease their white co-workers. Edie ends up getting fired for inappropriate behaviour, she loses her apartment and is left homeless. During this entire time Edie is trying to maintain her relationship with Eric who is the stability and company she craves. Honestly, Edie goes through it, it seems like the deck is really stacked against her.Edie ends up living with Eric, his wife and his daughter in their white neighbourhood, the arrangement is strange A.F. and AWKWARD!Honestly, I got secondhand embarrassment the entire time I was reading this book, I cannot even lie. There were some moments where I literally laughed out loud- the writing can be very hilarious at times. Other times it becomes dark and very lonely, I felt the humanity of the characters coming through. I love that this is a book about a black young woman not giving any f*cks, it is not often I read a book like this.Even with the comedy, I loved that the author kept it very real and serious especially on the theme of race. The author explored race and racism in such a layered way and I wanted all of it!If you are looking to read something fresh and beautiful, this is it!For some reason this book gave me a Year of Rest and Relaxation vibe!...more",Notes are private!,0,33,1,"Mar 07, 2022","Mar 27, 2022","Mar 07, 2022",,Hardcover,view (with text),/book/show/51541496-luster
211,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sex Lives of African Women,"Sekyiamah, Nana Darkoa",,,B08JHT3LNL,304        pp,4.00,"2,281","Jul 22, 2021","Jul 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Relevant, timeless and a must read especially for African Women This is the book I needed to read that I didn't know I needed to read. A great, in-de Relevant, timeless and a must read especially for African Women This is the book I needed to read that I didn't know I needed to read. A great, in-depth look at the sex lives of African women who are living on and off the continent. I felt the collection was layered, informative and truly a great addition to African and African Diaspora reads. It is not every day you pick up a book that delves deeply into the intimate lives of Black Women and I wanted a lot more. I cannot recommend this collection enough. ...more",Notes are private!,0,48,1,"Mar 04, 2022","Mar 18, 2022","Mar 04, 2022",,Kindle Edition,view (with text),/book/show/57359723-the-sex-lives-of-african-women
212,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridges are for Burning,"Idonije, Bina",9789907222,9789789907229,9789907222,309        pp,3.64,128,unknown,2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I felt the book started out very strong but then wavered. So many unnecessary characters and plotlines that took away the focus from the main story. II felt the book started out very strong but then wavered. So many unnecessary characters and plotlines that took away the focus from the main story. If you enjoyed Wahala, you may like this. ...more",Notes are private!,0,11,1,"Feb 26, 2022","Feb 28, 2022","Feb 27, 2022",,Paperback,view (with text),/book/show/59883690-bridges-are-for-burning
213,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Broken People's Playlist,Chimeka Garricks*,,,,255        pp,4.33,"1,449",2020,"Jun 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An exceptional collection of short stories that will leave you breathless. Friends, I am still unable to put into words how profoundly moving this entAn exceptional collection of short stories that will leave you breathless. Friends, I am still unable to put into words how profoundly moving this entire collection is. Chimeka Garricks is a master storyteller who deserves to be read widely. I need to see more people talking about this book that left me speechless.A BROKEN PEOPLE’S PLAYLIST is a collection of twelve stories from song. At the start of each story the author lets you know the song inspiration, which I think is truly unique. Of the twelve stories my favorites are:LOST STARSHURTSONG FOR SOMEONEI’D DIE WITHOUT YOUBEAUTIFUL WARRIVERDESPERADO Yes, I am aware I kinda just rewrote the entire tracklist (I mean list of stories) but that is to show how many of these stories were actual bangers! Each story covers themes of love, lost, regret, heat-break, redemption and desire. From the musician who is faithful and will do everything except get married, to the childhood friends turn lovers who reunites after years of playing around, to the man who cheats on his wife and having to deal with the consequences, to the guy who calls the girl on a her wedding day and tells her not to get married. All of the characters are layered, deeply flawed, beautifully human and you cannot help with fall in love with them. Here's how I know Garricks is a master storyteller, they are able to write a robust story in less than ten pages and I did not once think, “I want more..”. Each story could stand on their own, each character gave me just enough. Friends, if this book is not on your list of books to read, I need you to change that. Chimeka Garricks is a master storyteller, how is it possible for him to convey so much with so little pages. I cannot recommend this collection enough. Here’s a quote I truly love: “My mother was so proud of her temper that she wore frowns like medals of honours”...more",Notes are private!,0,79,2,"Nov 2023Feb 24, 2022","Nov 27, 2023Feb 27, 2022","Feb 24, 2022",,Paperback,view (with text),/book/show/52500819-a-broken-people-s-playlist
214,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I’m Sorry You Feel That Way,"Wait, Rebecca*",152942044X,9781529420449,152942044X,400        pp,4.04,"7,882","Jul 07, 2022","Jul 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2022",,Hardcover,view,/book/show/59203767-i-m-sorry-you-feel-that-way
215,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Son of Elsewhere: A Memoir in Pieces,"Abdelmahmoud, Elamin",059349685X,9780593496855,059349685X,288        pp,4.22,"2,494","May 17, 2022","May 17, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It took two stopovers and nineteen hours of total flying time for me to become Black Son of Elsewhere is Elamin Abdelmahmoud memoir told in pieces ab It took two stopovers and nineteen hours of total flying time for me to become Black Son of Elsewhere is Elamin Abdelmahmoud memoir told in pieces about leaving behind his live in Sudan to live in Canada. We read of his father leaving because of prosecution to find refugee in Switzerland but got turned away so he made it to Canada to then send for him and his mother. We get a raw look at how Elamin went from living in Sudan to trying to fit into life in Canada. I truly enjoyed Elamin recounting his experiences, I definitely found myself crying in certain areas, especially reading about his parents and what they did to provide for him. I loved that the author included history and the 401 highway to tie the memoir all together. A truly solid read....more",Notes are private!,0,16,1,"Sep 25, 2022","Sep 25, 2022","Feb 24, 2022",,Paperback,view (with text),/book/show/58885793-son-of-elsewhere
216,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of Forgetting,"Sealy, Jasmine",0008532907,9780008532901,0008532907,336        pp,4.05,826,"Apr 26, 2022","May 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2022",,Paperback,view,/book/show/60137488-the-island-of-forgetting
217,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,955","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2022",,Hardcover,view,/book/show/57773248-notes-on-an-execution
218,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most Magnificent,"Alkins, Jeunanne*",9769535052,9789769535053,9769535052,44        pp,4.80,5,unknown,"May 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you are a Trini or want to learn more about the Magnificent Seven Buildings around the Queen's Park Savannah, this is definitely the perfect read fIf you are a Trini or want to learn more about the Magnificent Seven Buildings around the Queen's Park Savannah, this is definitely the perfect read for children and adults alike. ...more",Notes are private!,0,18,1,"Apr 25, 2022","Apr 30, 2022","Feb 14, 2022",,Paperback,view (with text),/book/show/60380286-the-most-magnificent
